rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:62KyOwfvlqqeqdBfnxHcnF","V:RGO, Molec","AZ I TI","SAUCEKIDSGANG",1,1,3,"88543"
2,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,2,5,"61294"
3,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,3,11,"45203"
4,"spotify:track:3e0vQbNB9cw7b6ke7L8ZeN","Sabi, Galena","Не си ме давай","Mega Star",2,4,8,"42740"
5,"spotify:track:1BnF35gLqCRWiTzSWgC9hK","Molec","7 Dni","Molec",1,6,46,"35018"
6,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",6,-1,1,"33321"
7,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,5,21,"32147"
8,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",8,86,2,"31550"
9,"spotify:track:1Oxshg4204lRdcogzvdP4x","Emilia, Galin","Alcohol","Emilia",2,7,22,"31399"
10,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",5,8,10,"31038"
11,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",8,9,12,"27749"
12,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",3,10,25,"26054"
13,"spotify:track:5qX0V96jKJ6zC8UImlXKmO","V:RGO, EMIL TRF, FYRE, 2bona","PARALIA","SAUCEKIDSGANG",1,11,37,"25261"
14,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,13,225,"25029"
15,"spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j","Metro Boomin, Future, Chris Brown","Superhero (Heroes & Villains) [with Future & Chris Brown]","Republic Records",3,18,11,"23747"
16,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",1,12,15,"23337"
17,"spotify:track:6UyMkM4523bYKwHIIrfuJu","Djordan, Tsvetelina Yaneva","Krasiv geroy","Payner",7,17,29,"22843"
18,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",15,15,59,"22666"
19,"spotify:track:2z0cwGTvP2Dqx5p2Ia0c9U","Emanuela","Ustnite ti mrasni","Payner",11,19,17,"22563"
20,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",4,20,47,"20555"
