rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1jHgfC8T5KxUyC5Ldw6lk9","Leo Santana","Zona De Perigo","Universal Music Ltda.",1,1,3,"16089677"
2,"spotify:track:2K9kZpwD2CzTa6iiSYYOoO","Marília Mendonça","Leão","Som Livre",1,2,10,"12467606"
3,"spotify:track:4bT4Gbs7FA4cLyZeKtlGVO","Zé Felipe","Facilita Aí","Som Livre",3,20,2,"9344506"
4,"spotify:track:4o6v3Oooyt7HF20idztRD4","Israel & Rodolffo, Ana Castela","Bombonzinho - Ao Vivo","Som Livre",1,3,15,"8690406"
5,"spotify:track:7nFvKgVumc9FcU97zGjjei","WIU","Coração de Gelo","Sony Music Entertainment",4,5,11,"7663114"
6,"spotify:track:4ASA1PZyWGbuc4d9N8OAcF","Gustavo Mioto, Mari Fernandez","Eu Gosto Assim - Ao Vivo","Universal Music Ltda.",1,4,22,"6874614"
7,"spotify:track:6eNRGL6Nkdg7RhJtmbcl0j","Mc Tato, DJ Ak beats","Luz do Luar","RF PRODUTORA",7,7,8,"6085754"
8,"spotify:track:4qDT0BeJ7BjatrN9k8AvB4","Teto, WIU, Matuê","Flow Espacial","Sony Music Entertainment",6,6,3,"5738987"
9,"spotify:track:7nwHsYxiuHo98dLI7UVkyn","Maiara & Maraisa","A Culpa É Nossa - Ao Vivo","Som Livre",8,8,9,"5598097"
10,"spotify:track:0JIYoXtJfORxI6gRpHv6ZW","Henrique & Juliano","Traumatizei - Ao Vivo Em Brasília","Virgin Music Label And Artist Services (S&D)",10,35,2,"5589117"
11,"spotify:track:1bzRhnrWU1l1u4Bby9ZbfQ","AgroPlay, Ana Castela","Nosso Quadro","AgroPlay",11,38,2,"5506788"
12,"spotify:track:4mD9hjoTckjeL1CrJCx0MT","DJ Jeeh FDC, MC Menor MT, Yuri Redicopa, Mc Pelé","Puta Mexicana","PMI Records Oficial",4,9,7,"5389895"
13,"spotify:track:1nf1HJdTWXwf9XHQebGlOd","Gustavo Mioto, Mc Don Juan","Quando Apaga A Luz - Ao Vivo","Universal Music Ltda.",13,18,4,"5274617"
14,"spotify:track:0bBwi6ddYeTv5fXgHAdfiH","MC MENOR HR, MC MENOR SG, DJ ESCOBAR","Evoque Prata","GUETTO RECORDS",1,11,16,"5238130"
15,"spotify:track:4PQ5AInr4YoBauth9YPduL","Anitta, Mc Danny, HITMAKER","Ai Papai","WM Brazil",12,16,11,"5237903"
16,"spotify:track:6Hio4nlyWL2WBL8nYlbuGt","MC K.K, Dj TG Beats, Dj Aurélio, MC Lipivox","Agudo Mágico 3","Authentic Records OFC",5,14,10,"5060540"
17,"spotify:track:2hkwwmmLC90T8BQ7t3xufq","Zé Felipe, Ana Castela, Luan Pereira","Roça Em Mim","Som Livre",5,10,13,"5022608"
18,"spotify:track:51FFbyL0PjkYtjXJQP0JoP","Gusttavo Lima","Saudade da Minha Vida - Ao Vivo","Sony Music Entertainment",18,24,3,"4896370"
19,"spotify:track:7sopDXkuzXtHt8AQpdBxmT","Ana Castela","DONA DE MIM","AgroPlay",13,13,8,"4842436"
20,"spotify:track:22sAwsBH0NoNJXnrBenQuO","MC Xenon, Os Gemeos da Putaria","Sem Aliança no Dedo","DC MUSIC",20,186,2,"4814053"
21,"spotify:track:1ELsaYdj2NlxLvkx9g24xZ","Guilherme & Benuto, Hugo & Guilherme","Haja Colírio (feat. Hugo & Guilherme) - Ao Vivo","Sony Music Entertainment",2,12,34,"4686236"
22,"spotify:track:1ACALdBWViTpLBC14Ecv8E","MC Ryan SP, Mc Daniel, Kotim","Namora Aí","WM Brazil",18,26,10,"4662333"
23,"spotify:track:2M4kQD87lKnAS9vFlb4Bez","Matheus & Kauan, Jorge & Mateus","Pactos - Ao Vivo","Universal Music Ltda.",6,17,18,"4525407"
24,"spotify:track:2BlFIe0712LBUtTHxbqjme","NATTAN, Felipe Amorim","Love Gostosinho - Ao Vivo","Vybbe",24,46,5,"4509794"
25,"spotify:track:0KXdSF0Poa57KOepZ3hKrh","Naiara Azevedo, Ana Castela","Palhaça - Ao Vivo","NA Records",18,19,5,"4371685"
26,"spotify:track:2orGm2E68ODFYOURjaES62","WIU, MC Ryan SP","Felina","Sony Music Entertainment",5,22,21,"4267184"
27,"spotify:track:4r2O8NHomHiJnFKqhYnqy1","Israel & Rodolffo, Jorge & Mateus","Perdoou Nada - Ao Vivo","Som Livre",16,21,11,"4251318"
28,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",5,15,5,"4157436"
29,"spotify:track:0oB3IBEhbmgTrL7mV0VnFq","Kadu Martins","Novinha do Onlyfans (Tchan Ran Tchan Tchan)","TS Music Oficial",10,32,16,"4105051"
30,"spotify:track:2m6ZDDrTvDQtKbwNFyI3r5","Luísa Sonza, Xamã","MAMA.CITA (hasta la vista)","Sony Music Entertainment",13,29,8,"3997838"
31,"spotify:track:2YAOJkRWy382bRMXaj48FP","Guilherme & Benuto, Matheus & Kauan","Esse B.O é Meu - Ao Vivo","Sony Music Entertainment",15,23,15,"3974155"
32,"spotify:track:5geU4byUA1hnQofQPOsPDS","Orochi, MC Ryan SP, Oruam, Xamã, Neo Beats, Kizzy","Sereia","Mainstreet Records",8,30,16,"3971635"
33,"spotify:track:3yHXEidSu4gYVRqKoI653O","Guilherme & Benuto, Xand Avião","Assunto Delicado - Ao Vivo","Sony Music Entertainment",3,25,26,"3939123"
34,"spotify:track:5WGTBzRLbjj0Sm3Br8X1rI","Mc Paiva ZS, Gabb MC, Dj Aladin GDB, Love Funk","Bandido Não Dança","Love Funk",34,34,5,"3888060"
35,"spotify:track:3gCWngngUs1uojw33vrE8K","Jorge & Mateus","5 Regras - Ao Vivo","Som Livre",7,28,29,"3759698"
36,"spotify:track:4sqpSDnTrbS8v7RMNCUyqS","Matheus & Kauan, Mari Fernandez","Não Vitalício (Nunca Mais) - Ao Vivo","Universal Music Ltda.",36,62,2,"3677270"
37,"spotify:track:3C99BfGe301JNp7BqTX5Uu","Felipe e Rodrigo","Média Boa - Ao Vivo","Virgin Music Label And Artist Services (S&D)",8,33,18,"3666891"
38,"spotify:track:0AIA4KsMsyqur8FbTVhGNT","Luan Santana","SOLTEIROU - Ao Vivo","Sony Music Entertainment",26,31,4,"3629523"
39,"spotify:track:2Vl7x4BkNhhJkEmQQMcV0V","Mc Jacaré","Toma Tapa","A Chave",27,27,10,"3515409"
40,"spotify:track:51pxwIxDVCbFHW8oyJFQXD","Simone Mendes","Erro Gostoso - Ao Vivo","Universal Music Ltda.",40,66,3,"3376205"
41,"spotify:track:1OZ4uv7OAP24Ix6j3vojLt","Mc Paiva ZS, MC Ryan SP, Kotim","Casei Com a Putaria","Love Funk",1,36,32,"3357359"
42,"spotify:track:52EYWdjiulHaehpexuowyh","MC Cabelinho, Cyclope Beatz, Red, meLLo","FOGO E GASOLINA","Bairro 13",30,40,9,"3278912"
43,"spotify:track:4kAMyuJBbmJrbr6TLOWbEk","Diego & Victor Hugo, Jorge & Mateus","Beijo de Glicose - Ao Vivo","Sony Music Entertainment",6,37,24,"3179711"
44,"spotify:track:29adI8c6c75mnnaJ3BFLID","Sony no Beat, Felupe, Mc Danny","Parecia Tempestade","Sony no beat",41,41,6,"3108619"
45,"spotify:track:2kBbHpJTc7MWs8F3XhClBD","Matheus Fernandes","Altas Loucurinhas (Uni Duni Tê) - Ao Vivo","Som Livre",45,65,6,"3080036"
46,"spotify:track:2X5o4nRiocnoaaQ2wMwaeC","DJ Cayoo, DJ ESCOBAR, Nilo, MC Myres","Sorrisin De Puto","Tropa 7lc",45,49,5,"2809399"
47,"spotify:track:6tW23l5oRR8XyYJsF5si9G","US Agroboy, Ana Castela","Eu Minto (Ao Vivo)","WM Brazil",47,55,3,"2726086"
48,"spotify:track:5smr3wYPodiv8ogWy0DE6J","Treyce","Lovezinho","Wallace Kemps",48,-1,1,"2717038"
49,"spotify:track:7qoIhutxU269Zqo9PG5IOj","Pineapple StormTv, Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã, N.I.N.A","Poesia Acústica 13","Pineapple Storm",1,50,22,"2701558"
50,"spotify:track:4NNZZXHgn9F3cCgC1YGmLl","Jorge & Mateus","Todo Seu - Ao Vivo","Som Livre",9,47,41,"2585915"
51,"spotify:track:2HMbGPbGiqGaHXzFkQAmZI","Matheus & Kauan","Basiquinho - Ao Vivo","Universal Music Ltda.",16,43,28,"2568506"
52,"spotify:track:7AwVSKaQxpidrtYBerkHKk","Ana Castela, Melody, Dj Chris No Beat","Pipoco","Ana Castela",1,54,38,"2392504"
53,"spotify:track:0redQHBfejmPUhonR5ppGC","Guilherme & Benuto, Ana Castela, Adriano Rhod","Duas Três","Sony Music Entertainment",53,-1,1,"2382053"
54,"spotify:track:7bhvRvE56NHBvedx0EeALS","Mari Fernandez, NATTAN","Comunicação Falhou - Ao Vivo","Sony Music Entertainment",12,59,42,"2350018"
55,"spotify:track:0XyPPyGes0omXppV5YE8gy","Felipe Amorim","Gostosinha é Ela","One Play",24,51,29,"2334657"
56,"spotify:track:2tFmuYL5D8zqBHvs0nG5Tn","KayBlack, Marquinho no Beat","Bonjour","GR6 Music",56,-1,1,"2263494"
57,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",10,52,46,"2258867"
58,"spotify:track:6Zw25LRLP0j0MsezDFIUM4","Hugo & Guilherme, Marília Mendonça","Mal Feito - Ao Vivo","Som Livre",2,48,57,"2249911"
59,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",5,44,21,"2235679"
60,"spotify:track:7HdWqZjUmIHK5B8zwPCRds","Leo Santana, Mc Don Juan, Mari Fernandez","Áudio Que Te Entrega - Faixa Bônus","Universal Music Ltda.",19,70,47,"2199606"
61,"spotify:track:6bwx7pcKJY05D9S6CVa1k6","Israel & Rodolffo, Maiara & Maraisa","Nem Namorado e Nem Ficante - Ao Vivo | Faixa Bônus","Som Livre",22,56,38,"2192005"
62,"spotify:track:74Le949TrZk4zwDjtWzH23","Bruno & Denner, Gusttavo Lima","Cavalo de Pau","Balada Music",46,53,18,"2084889"
