rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4PGzoH4hL1vORGOTxHdWjB","INSTASAMKA","ЗА ДЕНЬГИ ДА","NaMneCash Music",1,2,12,"90286"
2,"spotify:track:4g22x3fIQVUlY39ICUBB7Z","Big Baby Tape, Aarne","HOODAK MP3","Effective Records",1,1,3,"88174"
3,"spotify:track:0R848ny5sEpVuR1tMXZNFr","INSTASAMKA","КАК MOMMY","NaMneCash Music",2,3,9,"54832"
4,"spotify:track:2kLmAwQCBSlvtcptioAoTv","LOVV66","5IVE","LOVV66",3,5,8,"52022"
5,"spotify:track:0ePYZtHRuP9NZqlkEDCaC4","Scally Milano, 163ONMYNECK, MAYOT","Йупи Йо","Scally Milano",2,4,9,"50556"
6,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",6,6,28,"46712"
7,"spotify:track:0olubSy8HbZBrCJlSHV7ex","Кишлак","Я уёбываю в джаз","KISS KOALA",7,10,52,"46474"
8,"spotify:track:1P9oRiZJWnxe2pZmYUZ5eC","Skryptonite","Это любовь","Gazgolder Records",8,11,53,"46271"
9,"spotify:track:4oHEJ5KPf9hW1pDyQYIRIw","Aarne, BUSHIDO ZHO, ANIKV","Тесно","AA Team",1,9,28,"46181"
10,"spotify:track:5TJmu6WB8JNMNTt8XumcP1","SODA LUV","ЯЛРС","CPLUS",10,13,9,"46016"
11,"spotify:track:2c1LybaNhIwsNVNrr4wjLG","Папин Олимпос","Официантка","Streaming Club, under exclusive license to Rhymes Music Inc.",7,7,22,"44667"
12,"spotify:track:21LIoC4ZxT3F8xq9gidNbX","xxxmanera","Never Broke Again","steezy",2,8,38,"42035"
13,"spotify:track:64epifHS5CvRUVgKEDbRJm","ПОЛМАТЕРИ","маша","Streaming club, under exclusive license to Rhymes Music Inc.",6,14,8,"41885"
14,"spotify:track:26yvlxKTtN2u3mpbl6AIeI","FACE","Антидепрессант","Face",14,18,50,"40249"
15,"spotify:track:1T4999j2QjggEXFbOlQ67P","uglystephan, Scally Milano","Заберу","Mansion Music",1,15,29,"40241"
16,"spotify:track:5BY094QwLvZFh737Ytvgpy","Big Baby Tape","Like A G6","Effective Records",2,12,9,"39608"
17,"spotify:track:7itGrDB969S4fJc4GDodiA","INSTASAMKA","POPSTAR","NaMneCash Music",1,17,22,"39147"
18,"spotify:track:0VGLb6IeeG5ZqonN5EavDu","КАКАЯ РАЗНИЦА","Рассвет","Какая Разница",17,24,53,"37930"
19,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",4,19,43,"37204"
20,"spotify:track:7biChppM3c8q7qcVl7ceb2","FACE","ЛАБИРИНТ","Face",5,20,52,"35753"
21,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",5,16,5,"35577"
22,"spotify:track:6RmlamfS2Supq8wARlY0QQ","10AGE, Ramil'","Ау","Rhymes Music Inc.",4,21,53,"34690"
23,"spotify:track:0K5arhAxYWj7QxFhpKJe6z","ooes","последнее лето","rabstvo",23,25,9,"34552"
24,"spotify:track:4ZhLYdmhWdPTZcnAy9SZZO","ПОЛМАТЕРИ","ярче звёзд","Streaming Club, under exclusive license to Rhymes Music Inc.",4,22,48,"33331"
25,"spotify:track:393CkUgYBG7l3hZKvZZmdf","Три дня дождя","Перезаряжай","Три дня дождя",25,26,53,"32170"
26,"spotify:track:1yrQI5Ycgi7xU9P4i98NXL","Три дня дождя","Отпускай","Under exclusive license to Make It Music, ℗ 2022 IZBA",22,38,31,"31997"
27,"spotify:track:1vUE0zSGgb3SOpzL05qqqX","FACE","Прада","Face",27,-1,1,"31670"
28,"spotify:track:7mLWNwcvwRdEviz6SfYp8A","g3ox_em","GigaChad Theme - Phonk House Version","g3ox_em",25,30,17,"30108"
29,"spotify:track:4jvw60Iw8LpSRJwy1sOmoB","Шайни","Yeyo!","Mansion Music",1,29,53,"29651"
