rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:249Ccx4Udp9bMug0T505Vx","Trannos","Tik Tak","Capital Music",1,1,2,"49322"
2,"spotify:track:45YWebKLhmd2q2dXPPhvrI","Rack, Sin Laurent","NAPOLI","Barcode Entertainment",2,2,4,"31819"
3,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,3,5,"31396"
4,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,4,11,"21579"
5,"spotify:track:1VbsLy6fugQV3mBK7e9mS0","FLY LO, Mike G","Larry Hoover","Minos - EMI SA Distribution Deals",4,5,4,"18102"
6,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",5,8,10,"17507"
7,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",4,7,12,"15870"
8,"spotify:track:2u3kkvRqcYi56BNXEX6hri","Light, Alitiz","Drive By","Capital Music",8,-1,1,"14873"
9,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,6,21,"14381"
10,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,11,25,"13733"
11,"spotify:track:2cXQUlkrLVrfxOJe6wjhJb","SIDARTA","ERIMO","OffBeat Records",2,10,21,"13528"
12,"spotify:track:6yyMD0sKGOovYrRaE1td8w","RICTA, DJ.Silence","FUCK DA POLICE","City Center",9,9,4,"13460"
13,"spotify:track:5rrbMbJK3LGzQ6B25aBD2r","SIDARTA, Beyond","PSEMA","OffBeat Records",9,13,14,"12657"
14,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",14,177,2,"12347"
15,"spotify:track:0OyiXp4CdjqOYDSpzgfEx7","Rack, Oge, MENJU","FAVELA","Barcode Entertainment",1,15,31,"12050"
16,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,18,46,"11591"
17,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",4,17,107,"11371"
18,"spotify:track:2QDibAx72jveQXPBXOKjx2","Light, Trannos","24hrs","Capital Music",1,12,35,"11066"
19,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",5,20,19,"11014"
20,"spotify:track:2czUL73B83n4VfVeBEfXCs","SIDARTA, Beyond","AKOMI","OffBeat Records",4,19,32,"10543"
21,"spotify:track:1bPzfHjRXPvoyWaL5ZOmZE","Mente Fuerte, Rack, Beyond","Oulala","OffBeat Records",21,-1,1,"10344"
22,"spotify:track:3WCrBnWabeuTk2wr6UwaYV","BLOK3","AFFETMEM","Mundo Music",6,14,5,"10309"
23,"spotify:track:1O4LjNjQxnzqECfTKGkko6","SNIK","Erotas","Minos - EMI SA Distribution Deals",1,26,29,"10303"
