rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1tpWtFdAuY9chjl5YhzsTP","Calin, Viktor Sheen","Safír","WM Czech Republic",1,1,2,"1031517"
2,"spotify:track:0Pl0foFNy1vuVgx1NHVjSE","Calin, Viktor Sheen","Dívej","WM Czech Republic",2,2,2,"671789"
3,"spotify:track:5FXDsBtTJRSMmmWhFxhAI0","STEIN27","Habibi","WM Czech Republic",1,11,13,"411789"
4,"spotify:track:1iOXr3xZSuF62boF7ygB6L","Calin, Viktor Sheen","Benz","WM Czech Republic",3,3,2,"389696"
5,"spotify:track:4enbO9cZhJLSZ6Tf21LRnv","Calin, Viktor Sheen","Cikády","WM Czech Republic",5,5,2,"381103"
6,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,9,5,"380276"
7,"spotify:track:1mDgpMsz6fDE7DDZIV9kW3","Calin, Viktor Sheen","Berlín","WM Czech Republic",4,4,2,"356826"
8,"spotify:track:6FAQzRCF0unjLA8DBurmKp","Calin, Viktor Sheen","Soundtrack","WM Czech Republic",6,6,2,"289649"
9,"spotify:track:1I03N1q3L9npQHuDzXklaF","Ektor","Upgrade","Universal Music s.r.o.",9,15,2,"283304"
10,"spotify:track:72yR62gS5MI4bzYWM2J0I3","Calin, Viktor Sheen","Double Time","WM Czech Republic",7,7,2,"254631"
11,"spotify:track:0EaSPogtxTeJl1xxrdIAqS","Calin, Viktor Sheen","Plán B","WM Czech Republic",10,10,2,"235908"
12,"spotify:track:2MLspbafcpa876kiGpk8Ga","Calin, Viktor Sheen","Luna","WM Czech Republic",12,13,2,"233089"
13,"spotify:track:6nQsMDDFqeTFCVl9zl6NJ1","Calin, Viktor Sheen","Kudlu","WM Czech Republic",8,8,2,"233084"
14,"spotify:track:4UH117xLYeKWFlAtq9jsi2","Calin, Viktor Sheen","Limonáda","WM Czech Republic",12,12,2,"216820"
15,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,16,25,"205313"
16,"spotify:track:1uoKL0wpV8Qy4oQXXslw4p","Calin, Viktor Sheen","Southside","WM Czech Republic",14,14,2,"194582"
17,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",17,-1,1,"189864"
18,"spotify:track:2sXnat46y10FtAbW2A0ira","Calin","Hannah Montana","WM Czech Republic",1,17,49,"184821"
19,"spotify:track:4ToxkJ4VvWs026R3QfHDI3","Calin","Santé","WM Czech Republic",1,18,20,"180513"
20,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",4,22,110,"154056"
21,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",2,23,38,"152207"
22,"spotify:track:163UXyyrFlAIQapVN3DqIp","Calin","Praha/Vídeň","WM Czech Republic",1,21,74,"146693"
23,"spotify:track:0J3SIAOndpL1MS2Vq2RMQ9","Viktor Sheen","Stíny","WM Czech Republic",1,20,66,"143314"
24,"spotify:track:59md7R7fW5LjSbZITzzn3n","Vesna","My Sister's Crown","Universal Music s.r.o.",24,28,2,"140370"
25,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,19,21,"137065"
26,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",6,24,19,"134054"
27,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,32,46,"124320"
28,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",10,29,15,"123989"
29,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",6,30,19,"122039"
30,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",6,31,49,"118732"
31,"spotify:track:3rxHQ7HeJCpiei1d6ANDPW","Viktor Sheen, Calin, Hasan, Nik Tendo","Až na měsíc","WM Czech Republic",1,27,196,"114958"
