rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"710643"
2,"spotify:track:0twnZu2JhBywPQBOX92gSl","TopGunn","For Altid","Sony Music Entertainment",2,2,2,"500588"
3,"spotify:track:3lCI7M5mWqRCehrT7qiEI8","Stepz, Gilli, Lamin","Spørgsmål (feat. Gilli & Lamin)","Universal Music A/S",3,-1,1,"415884"
4,"spotify:track:6UMdjOGgEJE1khAnrGJk2k","Gobs","Tro På Kærlighed","WM Denmark",4,11,20,"353233"
5,"spotify:track:0QiwUoiD9DZ6VGF5qgf6yg","Medina, D1MA","Lidt Endnu (Medina x D1MA)",":labelmade:",5,5,3,"344639"
6,"spotify:track:3Pj6gzNBqFGI9Z1d9awvU2","Gobs","+45 1888","WM Denmark",6,-1,1,"343137"
7,"spotify:track:6CXEE50UwavPX2ExFa26EY","Gobs","I Dette Sekund","WM Denmark",7,12,2,"331706"
8,"spotify:track:12YCYHtGcwm9kbSmbcWB4f","Artigeardit","Længe Leve","Universal Music A/S",2,3,3,"327880"
9,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",2,4,11,"325746"
10,"spotify:track:4EKSw9Jzun2WFvjm2HU58X","Tobias Rahim","Flyvende Faduma","Sony Music Entertainment",1,8,28,"309133"
11,"spotify:track:2rfl7SRwfel3gNhXBmL60u","Gilli, Saveus","Verden Vågner (feat. Saveus)","Universal Music A/S",1,6,19,"299256"
12,"spotify:track:63Dymm6U4WHLRy87e8GBbo","Lamin","Gode Dage, Gode Drinks","Universal Music A/S",3,15,28,"287673"
13,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",4,13,10,"284478"
14,"spotify:track:1Xer1Y9qrReXcVk2qmsYOP","Gobs, Branco","Flytter Bjerge (feat. Branco)","WM Denmark",14,-1,1,"281902"
15,"spotify:track:3i0kzCSbAY2kDX2xiJdRLE","Benny Jamz, Gilli, KESI, B.O.C","Elo Elo","Universal Music A/S",1,9,7,"280090"
16,"spotify:track:0OHnyBb5ybSWlNpGrCvDLa","Gobs, Hjalmer","Frie Fugle (feat. Hjalmer)","WM Denmark",16,-1,1,"277597"
17,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",4,10,13,"272878"
18,"spotify:track:4vmpWGyqItUCOwFlJLjyw1","Gobs, Lasse Skriver","Endnu En Krig (feat. Lasse Skriver)","WM Denmark",18,-1,1,"272111"
19,"spotify:track:7JqI6lxV0zDu8wIUYegsGE","Tobias Rahim","ALIVE ALIVE ALIVE","Sony Music Entertainment",3,14,6,"263082"
20,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,17,25,"243185"
21,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",21,35,4,"232939"
22,"spotify:track:0BGEImCBesJKIm5kZ0fOkH","Tobias Rahim, andreas odbjerg","STOR MAND (feat. Andreas Odbjerg)","Sony Music Entertainment",1,23,79,"229465"
23,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",11,21,6,"227466"
24,"spotify:track:1qy2BuZzSU0JHnGqWRwV3N","The Minds Of 99","Og Du Blev Til En Hvid Fugl","No3",24,28,6,"222184"
25,"spotify:track:0eTCdGJVebRb5e6PXR73D9","Artigeardit","Ensom","Universal Music A/S",3,7,3,"217146"
26,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",16,24,15,"216773"
27,"spotify:track:7tleRLLNqW5yH7846TguuZ","James Hype, Miggy Dela Rosa, D1MA","Ferrari - D1MA Remix","Universal-Island Records Ltd.",14,20,7,"215823"
28,"spotify:track:5fS3B6lae85C2rA8jPfoE2","D1MA","DRØM MIG VÆK","7OUMA Records",2,26,46,"194975"
29,"spotify:track:3zkyus0njMCL6phZmNNEeN","Central Cee","LET GO","Central Cee",10,25,9,"194713"
30,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",3,18,21,"189531"
31,"spotify:track:6oNgurLd0pCnLMWPOxt5Es","Artigeardit","Snubler","Universal Music A/S",5,16,3,"189439"
32,"spotify:track:4sx6NRwL6Ol3V6m9exwGlQ","The Kid LAROI","Love Again","Columbia",22,22,3,"183515"
33,"spotify:track:06bMZsOQ6qQGHCTeM9r9bU","Danser Med Piger","Danser Med Piger","Sony Music Entertainment",11,29,36,"181176"
34,"spotify:track:09N9LGyKqWlLViq2bQjFxR","Artigeardit, Lamin","Vågen (Artigeardit X Lamin)","Universal Music A/S",8,36,38,"178763"
35,"spotify:track:22fNmvVD1bC4rWv6hg29pC","Tobias Rahim","Feberdrømmer Xx Dubai","Sony Music Entertainment",1,37,37,"177546"
36,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",36,-1,1,"177464"
37,"spotify:track:7DzV3IBvCHicokoiUCpWda","Gilli","Romario","Universal Music A/S",5,33,18,"174934"
38,"spotify:track:60GwMZeymeZYj7GiEzHQ7d","Lamin, ICEKIID","Hvad Skal Der Ske (feat. ICEKIID)","Universal Music A/S",5,27,24,"174428"
39,"spotify:track:4TduZWpCeQP1YKrrqzPbw4","Gilli","Paid","Universal Music A/S",2,39,18,"174185"
40,"spotify:track:1aOl53hkZGHkl2Snhr7opL","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",8,31,24,"172907"
41,"spotify:track:3fe2pEkW24bNn4WCOt1b0s","Tobias Rahim, Niels Brandt","Ozonlag A Energi (feat. Niels Brandt)","Sony Music Entertainment",2,32,17,"171839"
42,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,49,46,"166547"
43,"spotify:track:2hWfh8N03w8gRnSMJZyuiO","Gobs","Sig Det Igen","WM Denmark",43,-1,1,"164935"
44,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",19,42,17,"161472"
45,"spotify:track:3D0VPp6nCN9dsyUjFv2BvP","The Minds Of 99","Hurtige Hænder - Acoustic Version - Moyo Live P3","No3",26,48,208,"159134"
46,"spotify:track:6ImP4OQ986Bed0EL3XOlFo","Ida Laurberg","Terrier","Capitol Records Denmark",46,52,6,"158628"
47,"spotify:track:3riJzTjTvRcuvUfG7q7x25","Thor Farlov","Solen Op","Universal Music A/S Distributed Labels",45,45,2,"156915"
48,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",10,43,17,"155338"
49,"spotify:track:0Bz7sidJkrYTnEQoYSxU0C","Reiley","Breaking My Heart","Atlantic Records",49,-1,1,"152865"
50,"spotify:track:287uPxWhUGvBwy5e9qi1jK","Gobs, Jimilian","Renæssance (feat. Jimilian)","WM Denmark",50,-1,1,"152850"
51,"spotify:track:3LlqJkcXMBIAE5X1uUiZUN","The Minds Of 99","Under Din Sne","No3",2,41,67,"150239"
52,"spotify:track:4dbqhooQ6Q9MJsCYTKyKYe","Artigeardit","Tetovo","Universal Music A/S",4,19,3,"146987"
53,"spotify:track:0JIhRhZPF5j5dx0FGqTWxy","Cian Ducrot","I'll Be Waiting","Polydor Records",13,38,9,"140414"
54,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",24,44,78,"140054"
55,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",22,40,7,"130918"
56,"spotify:track:4XhW9iOypxiiNyIMpirPFv","Tobias Rahim","Mucki Bar","Sony Music Entertainment",1,51,53,"130182"
57,"spotify:track:6maTPqynTmrkWIralgGaoP","Mae Stephens","If We Ever Broke Up","EMI",57,-1,1,"128841"
58,"spotify:track:6e7KGsngU13kguy5hTvSxe","Gilli","Kender Ik' I Morgen","Universal Music A/S",1,54,57,"124985"
59,"spotify:track:49Pz0LmwSxs0OEQm9NQzDt","Gobs","Jeg Hader Dig, Jeg Elsker Dig","WM Denmark",59,-1,1,"121725"
60,"spotify:track:022JJHCzq3gBv39NpWxtOb","Gobs","De Ensommes Gade","WM Denmark",60,-1,1,"121355"
61,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",13,58,37,"120711"
62,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",32,57,20,"116091"
63,"spotify:track:6BxGGPBdNexcy53euZsrga","Artigeardit, KESI","Er Her (Artigeardit, KESI)","Universal Music A/S",1,53,92,"114859"
64,"spotify:track:4vOoQh9MhS9pyrbvc8LyMz","Zara Larsson","Can't Tame Her","Sommer House/Epic",56,56,3,"114116"
65,"spotify:track:2MDw2DwUDTAhexLMREWsYW","Clara","Oh My God","Sony Music Entertainment",65,82,3,"113673"
66,"spotify:track:5x2YhfYnPlwjmbba0wj2hS","Benny Jamz","Koldt Herinde","Universal Music A/S",34,34,2,"112126"
67,"spotify:track:7Ku8cFTqbFMKSWGuf1evPQ","Blæst","Juice","Universal Music A/S",9,71,47,"110981"
68,"spotify:track:5Mx9Hf6G4nZoTp5Ll9AH73","andreas odbjerg","hjem fra fabrikken","Universal Music A/S",1,63,50,"110635"
69,"spotify:track:3lt2vb4iuIJrvIccs2IlBU","andreas odbjerg","hvad skal verden med sådan en som mig?","Universal Music A/S",20,80,26,"110051"
70,"spotify:track:14LdhxElpZS0rKVV4nxtdA","Alessandra","Queen of Kings","Universal Music AS",70,112,2,"109505"
71,"spotify:track:705n1V0dBe4UOZC1oaah9a","Artigeardit","Chart","Universal Music A/S",7,30,3,"106727"
72,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",37,77,7,"106637"
73,"spotify:track:4N5s8lPTsjI9EGP7K4SXzB","George Ezra","Green Green Grass","Columbia",61,84,24,"104605"
74,"spotify:track:5UDkdxN87TOPiL7cTNkh7l","Hans Philip","Rose","Universal Music A/S",48,50,4,"103551"
75,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",61,69,20,"103432"
76,"spotify:track:3xWGA8pa0IKFI7IMPri4P0","Ed Sheeran","Shivers","Atlantic Records UK",1,83,75,"102209"
77,"spotify:track:4lJHf4DSh3LfuzPEKEcsRm","Gobs, Hkeem","Ild & Vand (feat. Hkeem)","WM Denmark",77,-1,1,"100784"
78,"spotify:track:7iuM7vnvSjX9qqcuFtij1T","andreas odbjerg","føler mig selv 100","Universal Music A/S",12,89,147,"100681"
79,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",44,68,18,"100159"
80,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",24,78,26,"99463"
81,"spotify:track:0HaRLPnr887lcQM2YQzkff","Burna Boy, Ed Sheeran","For My Hand (feat. Ed Sheeran)","Spaceship/ Bad Habit/Atlantic Records",20,65,32,"99362"
82,"spotify:track:7G7fGKCHMvg4sUIw4MjDAA","Gobs","Blå Jeans","WM Denmark",82,-1,1,"99163"
83,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",73,73,23,"99127"
84,"spotify:track:2tL2e5cK6yeF5s7a3gtjmq","Gobs","Knuste Hjerter Heler Aldrig","WM Denmark",84,-1,1,"98801"
85,"spotify:track:6Ig8oKFBOseEULJGC6nl07","Benny Jamz","VI VARME","Universal Music A/S",6,62,33,"98319"
86,"spotify:track:2qu0CT9kxrXUIltBW09K7B","Jimilian, Branco","Wow Wow (feat. Branco)","Flex Music",11,46,5,"98248"
87,"spotify:track:5YdnOm5990Kfq1Jodws98B","Felix Jaehn, Ray Dalton","Call It Love","Virgin",62,81,12,"97861"
88,"spotify:track:4OqBSwyAzEEMnESPYmb1Xp","Jonah Blacksmith","House On Fire","WM Denmark",30,74,42,"96523"
89,"spotify:track:49clGe0PtbYUx3vB7tyk3A","Rocazino","All My Love","Universal Music A/S",40,70,190,"96199"
90,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",80,92,8,"95931"
91,"spotify:track:7qEHsqek33rTcFNT9PFqLf","Lewis Capaldi","Someone You Loved","Vertigo Berlin",10,85,213,"93228"
92,"spotify:track:6sCvvleqKbeyOkQDieBYgp","Rihanna","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Roc Nation/Def Jam/Hollywood",11,120,16,"93087"
93,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",19,79,19,"93011"
94,"spotify:track:614RTZYXauXsqJ1n2GUPmg","Lukas Graham, Mickey Guyton","Home Movies","Warner Records",40,55,5,"92860"
95,"spotify:track:567e29TDzLwZwfDuEpGTwo","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,88,84,"92308"
96,"spotify:track:2GajeoOS17ifAmYX8xxPZw","Benny Jamz, Gilli, KESI, B.O.C","Ibiza","MXIII",1,99,87,"92303"
