rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2mnXxnrX5vCGolNkaFvVeM","Arcángel, Bad Bunny","La Jumpa","Rimas Entertainment LLC.",1,1,12,"185233"
2,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",1,2,6,"143934"
3,"spotify:track:4FAKtPVycI4DxoOHC01YqD","Yandel, Feid","Yandel 150","La Leyenda LLC",3,5,6,"139413"
4,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,3,41,"134614"
5,"spotify:track:6mYeBTeXcz25ZeAwjW6apF","El Alfa, Rochy RD, Chael Produciendo","LOS POBRES Y LOS RICOS","EL JEFE RECORDS",5,8,3,"127538"
6,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",6,7,19,"117008"
7,"spotify:track:2lmWwBLVJ2P0HX491zkYws","Eladio Carrion","Mbappe","Rimas Entertainment LLC",1,9,13,"116773"
8,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",3,6,36,"115329"
9,"spotify:track:3Zyk5Vd9WNPNVWxvb0EZTk","KAROL G, Romeo Santos","X SI VOLVEMOS","UMLE - Latino",9,11,2,"102818"
10,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",2,12,41,"99000"
11,"spotify:track:54ELExv56KCAB4UP9cOCzC","Ñengo Flow, Bad Bunny","Gato de Noche","Rimas Entertainment LLC",3,13,8,"94352"
12,"spotify:track:1dnlWBC8oXaxzDQWtDxies","Bulin 47, Flow 28","Po Po Po","VULCANO MUSIC ENTERTAINMENT",2,15,12,"93280"
13,"spotify:track:7qgovmYLU3BUltCBdYUPKg","Anuel AA, Treintisiete, Yailin la Mas Viral","Del Kilo","Real Hasta La Muerte, LLC",9,17,10,"90231"
14,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",6,14,5,"88387"
15,"spotify:track:1MUJMUO1dywCGUsYYOUFnH","Rochy RD, Jonatan Burlon","Hay Santo","Team Wawawa Records | Distributed by VULCANO",12,20,10,"88299"
16,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",16,16,26,"88237"
17,"spotify:track:4k869Bb2tOOH1l4HpIQK5D","Flow 28, Ceky Viciny, B One El Productor De Oro","Se Comenta","Gotera Records",17,19,6,"85722"
18,"spotify:track:5erXVUirf9qivKY5sJOanE","Anuel AA, Foreign Teck","EL NENE","Real Hasta La Muerte, LLC",4,21,16,"81854"
19,"spotify:track:4UGqAW9i7NtE5mW9xzm6yk","Rauw Alejandro, Baby Rasta","PUNTO 40","Sony Music Latin/Duars Entertainment",3,25,21,"81320"
20,"spotify:track:2ALlACw9HxS1naFyAwXj3Z","Onguito Wa, La Melma Music, Leo RD","Me la Subió","Waldo Calle Records/La Melma Music",14,24,15,"80232"
21,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",2,22,32,"79140"
22,"spotify:track:1aUq8rjW1EwkAkMri4VfJy","Rauw Alejandro, Lyanno, Brray","LOKERA","Sony Music Latin/Duars Entertainment",8,29,29,"78666"
23,"spotify:track:0CYTGMBYkwUxrj1MWDLrC5","Feid","CHORRITO PA LAS ANIMAS","UMLE - Latino",23,23,9,"77806"
24,"spotify:track:5S4aEL1BMsgLvCSt4BijHd","Romeo Santos, Chris Lebron","SIRI","Sony Music Latin",5,26,24,"77210"
25,"spotify:track:48UX3JH23V6syy4kAkGfhn","Kevin Roldan, Bryant Myers","S.E.X.O","UMLE - Latino",25,-1,1,"71842"
26,"spotify:track:6NSt2HFIMe5dEDo7Aq2Tf5","Eladio Carrion","Caras Vemos","Rimas Entertainment LLC",2,27,13,"70311"
27,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",3,33,41,"68466"
28,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",1,28,41,"67887"
