rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"50062"
2,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",2,11,2,"40474"
3,"spotify:track:6YS0bPEionrniTERIcCXP7","Bedwetters","Monsters","bedwetters",3,48,5,"37417"
4,"spotify:track:1k2SmfxevBCq4Gti0LhDfT","OLLIE","Venom","OLLIE",2,18,6,"35555"
5,"spotify:track:3Fv30jj4a0aS2blKks2Al5","Púr Múdd","Kõik Mis Sa Teed","PÚR MÚDD",5,-1,1,"34994"
6,"spotify:track:3pvzk44kwy8u46wtglCKzd","ALIKA","Bridges","Universal Music Oy",6,61,7,"33603"
7,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",3,3,10,"26066"
8,"spotify:track:63YH4W1jfTXbuS9LNSCTXB","gameboy tetris, nublu","KUHU KADUS STEN?","WM Finland",1,6,15,"24167"
9,"spotify:track:45GJmcFYh1hxHxwdg5KBQm","Karl-Erik Taukar","Silmad pärani kinni","Funk Productions",2,2,3,"23850"
10,"spotify:track:4Wrko6Z1GXaiiY75DBOv4j","Meelik","Tuju","Meelik",10,94,5,"23575"
11,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,5,11,"22949"
12,"spotify:track:41XLcwECxYj7tokaF2a7sA","nublu","kastehein","nublu",1,7,28,"21578"
13,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",13,-1,1,"20706"
14,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",3,9,15,"19930"
15,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",1,10,21,"19626"
16,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,8,25,"19544"
17,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",10,12,12,"19478"
18,"spotify:track:7IK25tcCFFqkU08EbTRxsc","STEFAN","Kiri külmkapi peal","Moonwalk",18,24,14,"18342"
19,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,4,21,"17713"
20,"spotify:track:4FyesJzVpA39hbYvcseO2d","Lil Uzi Vert","Just Wanna Rock","Generation Now/Atlantic",20,20,17,"17500"
21,"spotify:track:3NnUKBIW38zdrgYwIwlcaY","m els","So Good (At What You Do)","WM Finland",21,140,5,"17029"
22,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,13,46,"17000"
23,"spotify:track:6yWAlfKGH5AMHlxT4ZtCVg","Púr Múdd, Grete Paia","Ainult Unustamiseks","PÚR MÚDD",3,23,40,"16611"
24,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",14,14,26,"16019"
25,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",6,16,38,"15457"
26,"spotify:track:1LIvdWNdKmHvU0FJvw2diN","Luude, Mattafix","Big City Life","Warner Records",4,27,35,"15358"
27,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",5,15,19,"15133"
28,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",17,17,15,"14314"
29,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",2,19,15,"14291"
30,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",6,22,107,"14117"
31,"spotify:track:21rYCEejlfM0LYRlfzxGeM","Lovejoy","Call Me What You Like","Anvil Cat Records",31,-1,1,"13815"
32,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",3,29,38,"13780"
33,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",33,70,4,"13730"
34,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",3,25,17,"13638"
35,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,31,105,"13210"
36,"spotify:track:7exHT4swWOKL5addPeqkLP","Måneskin","THE LONELIEST","Epic",7,21,19,"13197"
37,"spotify:track:6b37xrsNCWYIUphFBazqD6","Manu Chao","Me Gustas Tu","Radio Bemba",22,28,24,"13016"
38,"spotify:track:3Oww84xrmgjyr5J1ilOmAf","Luude, Colin Hay","Down Under (feat. Colin Hay)","Sweat It Out",1,36,59,"12909"
39,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",18,34,24,"12759"
40,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",11,32,143,"12753"
41,"spotify:track:1Oiw6x4fhsCEuh4CMaa8kc","Karl Killing, villemdrillem","hoia end (feat. villemdrillem)","WM Finland",1,30,7,"12742"
42,"spotify:track:0zKbDrEXKpnExhGQRe9dxt","Tiësto","Lay Low","Musical Freedom",32,54,6,"12407"
43,"spotify:track:5FkJHVudUByVjanCqFXRql","Mr.Kitty","After Dark","Negative Gain Productions",14,45,77,"11865"
44,"spotify:track:5RobAV5ROH5KARimi7n3cO","venbee, goddard.","messy in heaven","Columbia",44,55,8,"11863"
45,"spotify:track:4PGzoH4hL1vORGOTxHdWjB","INSTASAMKA","ЗА ДЕНЬГИ ДА","NaMneCash Music",24,42,12,"11794"
46,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",39,43,24,"11782"
47,"spotify:track:7JDPjTzXu2rIbWjoAmKPLq","Arop","Kommunikatsiooni Probleem","Grammilinn Records",6,60,34,"11530"
48,"spotify:track:0FA4wrjDJvJTTU8AepZTup","Lil Uzi Vert, sped up nightcore, ARIZONATEARS","Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore",48,-1,1,"11439"
49,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",40,41,27,"11277"
50,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",26,40,9,"11226"
51,"spotify:track:3zkyus0njMCL6phZmNNEeN","Central Cee","LET GO","Central Cee",5,52,9,"11168"
52,"spotify:track:4g22x3fIQVUlY39ICUBB7Z","Big Baby Tape, Aarne","HOODAK MP3","Effective Records",9,26,3,"11157"
