rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7qnR06N2Ekj9iBOQHiFqdq","Essam Sasa","مسا مني ليكوا","Krakeb Entertainment",1,2,5,"241945"
2,"spotify:track:0zzrAsIPYKENTWOwZqYjYp","Mohammed Saeed","Alo Aleky","Modissa - Mohammed Saeed",1,1,13,"238055"
3,"spotify:track:6J2LvJwmgpauEsaY6h06fW","Wingii, Lil Noby, Tommy, FL EX, Husayn","Freedom Music: Scene Cypher 3","Kord",3,3,7,"205361"
4,"spotify:track:6zh6n6FzAPZxKYr1gWkemc","Lege-Cy","Msh Da Elle Ekhtarto","Vinyl Entertainment, a Division of RaxRecords Music Group",4,-1,1,"194623"
5,"spotify:track:1VfR7wqvEB9vQZrpizMRmf","Bahaa Sultan","Beraha Ya Sheekha","Sony Music Entertainment",5,11,3,"186965"
6,"spotify:track:5kdlxZ5skOYY3VK8RlfEIZ","Wegz","البخت","Takwene",1,4,51,"179966"
7,"spotify:track:68WRDAU8QecpIyasp2BEby","Muslim - مُسلِم","Aleb Fel Dafater","Digital Sound",2,5,8,"178013"
8,"spotify:track:6v9noMonS9GMI3Yx9CsSmF","Ahmed Saad, NORDO, Ahmed Zaeem","Ya 3araf","Digital Sound",6,6,6,"154857"
9,"spotify:track:6gg53gW5wlz0jSQmOcqIfY","FL EX, Husayn","MESAMA3EEN","FL EX",6,7,9,"148955"
10,"spotify:track:2BHxg3zP8IdRvvWPVavzqB","Wegz, Ash","Amira","Ash",1,8,26,"124191"
11,"spotify:track:0PTlHYXWyCeayIw3Tpafdl","Essam Sasa","عره فافي عامل مغامر - بت انتي حب حياتي","Essam Saasa",3,9,30,"115859"
12,"spotify:track:4vIbws1xp082bv0zl8vLaJ","Cairokee","Basrah w Atooh","Cairokee-Roma",4,13,21,"112248"
13,"spotify:track:00TO3hVgOAgfKrRjrKEZxx","Afroto","7ALA","The Basement Record",4,14,7,"111013"
14,"spotify:track:0SbObewB36qKLWcaxMntej","Farid","بأمارة مين","New Era",2,10,20,"108671"
15,"spotify:track:7ydZcXrYQhW0YRGsH7zgJr","Essam Sasa","اه يا بخته اللي يزاملني ( روح بقلبك مش بجسمك )","Essam Sasa",10,12,11,"107339"
16,"spotify:track:5hiQSNo6jQbQ2m2gBZs7bU","Muslim - مُسلِم","Etnaset","Digital Sound",1,15,69,"105724"
17,"spotify:track:641KAqGlHS7CH0wCrhh0Ir","Husayn, FL EX","Stop - Magnolia","Maadi Town Mafia",4,16,37,"103367"
18,"spotify:track:3TFIDBWstsKUbXBGedJAWO","FL EX","LOGAN","Maadi Town Mafia",14,20,26,"99980"
19,"spotify:track:4gQ6fFX5GwpUc7TdthnnKw","3enba, Essam Sasa","On Fire","Sharqi Production 2022",9,18,14,"98444"
20,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",14,24,10,"97257"
21,"spotify:track:3FdV0iO6fskyPeYnrMsKPM","Essam Sasa","وسط دموع وجراح","Essam Saasa",13,21,85,"94829"
22,"spotify:track:49odA1EtwSkPefTEeIwqBx","Mohammed Saeed","Konty 2olely","Modissa - Mohammed Saeed",9,22,63,"94412"
23,"spotify:track:3g4p8OgtpxHpEHzEjnRo6J","Muslim - مُسلِم","Mesh Nadman","Digital Sound",10,17,59,"94113"
24,"spotify:track:6cpTq72SH9QSocMTnGEKg5","Afroto, Marwan Moussa","Brazil","The Basement Records",2,19,29,"92947"
25,"spotify:track:2HbrI0oakRE7qNXoK74zNR","Ahmed Saad","El Youm El Helw Dah","Sony Music Entertainment",9,23,30,"92556"
26,"spotify:track:1hpjMinSryyJGslYdF0cyy","Marwan Moussa","حدوته المانى","The Basement Records",2,25,31,"87144"
27,"spotify:track:4U7uW9KlqalDKu8ff9OyDm","Marwan Moussa","Aloomek","The Basement Records",2,28,52,"81940"
28,"spotify:track:20MpmTGEcFIfMxxqobnxnl","Zap Tharwat, Muslim - مُسلِم, Sary Hany","Ghasb Anny","Digital Sound",20,33,17,"81717"
29,"spotify:track:13CV3gU68sljNILYjjaIBR","Wingii, FL EX","Khamsa","Maadi Town Mafia",10,27,22,"80231"
30,"spotify:track:0Kb87SCKl8pFyKm0yD9TYf","Mohamed Mounir","لِلّي","Ideology",5,29,30,"79718"
31,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",6,26,21,"79104"
32,"spotify:track:3LXPZvEHf0vhgFKs4giHSS","Bahaa Sultan","Ta3ala Adalla3ak","Free Music - Nasr Mahrous",3,44,59,"78767"
33,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",24,30,5,"78443"
34,"spotify:track:1GKqff6G0zabRInKN9Vz1S","Cairokee","James Dean","Cairokee-Roma",1,31,22,"76864"
35,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",7,34,11,"76306"
