rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0jz7L1HGCL81c6scYojIRI","Cledos, jambo","kilsoi","Sony Music Entertainment Finland",1,-1,1,"621845"
2,"spotify:track:0tNhrnTkLSMUkql3iTCgW4","KUUMAA","Ylivoimainen","Universal Music Oy",1,1,5,"544832"
3,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,2,5,"464480"
4,"spotify:track:4f1IC0mWzqRcYtsALav0kJ","william, Korelon","Ei vitus (feat. Korelon)","Sony Music Entertainment Finland",2,3,3,"424545"
5,"spotify:track:5RX8T3EoTuXcybAxe6oPAw","Käärijä","Cha Cha Cha","WM Finland",2,4,5,"403630"
6,"spotify:track:12zIIWVV5guPmsV7yQGsOM","Gettomasa","Vastustamaton","PME Records",1,6,15,"355198"
7,"spotify:track:0lPrY8sXUen0bqga0BIeWa","KUUMAA","Tulipalo","Universal Music Oy",7,8,33,"342912"
8,"spotify:track:1mHRqzrSR9MQaryDj6GibE","BEHM","Sata vuotta","WM Finland",1,5,5,"342594"
9,"spotify:track:0jDvY7YKzncG41sg1clKs9","Aliisa Syrjä","2:02","WM Finland",9,-1,1,"323801"
10,"spotify:track:08Y12A4mwKiGIOvap0hHPH","Lauri Haav","Aino","PME Records",6,7,4,"298981"
11,"spotify:track:3KOKML3DT5AbPOQYWjBZTh","Gettomasa, Van Hegen","Shamppanjadieetillä","PME Records",1,11,38,"279626"
12,"spotify:track:2IWvgjThRD86tBtx19JYLn","Jore & Zpoppa, william","Bämä (feat. william)","Laundry Music Company",4,10,9,"267875"
13,"spotify:track:3STatpBP2zJ1CTca7PRSKp","Bee","Viimeisiä sanoja","Sony Music Entertainment Finland",13,-1,1,"260626"
14,"spotify:track:3nNtD3vtQ8yhrxQ5bxaRAB","Sebastian Noto, ibe","Ylläs (feat. ibe)","Skorpioni",12,14,3,"249610"
15,"spotify:track:6hyJhnQGx5vfiCW2RE09oT","Vesala, Aali","Miks pitää itkeä (feat. Aali)","WM Finland",15,-1,1,"247641"
16,"spotify:track:4Mg2rAHrqKXQzLRIwr4j9r","ibe","FAMOUS","Skorpioni",2,12,7,"239585"
17,"spotify:track:6ISLBKxChtxZ5Ws6nO6Cbi","Portion Boys","Samaa taivasta katsotaan","Sony Music Entertainment Finland",5,13,4,"233737"
18,"spotify:track:1HWHZOi6LZNVYrbQPTaTh2","JVG, Samu Haber","Purjeissa","WM Finland",9,9,2,"218610"
19,"spotify:track:3ESZvpA3ETjDWXtzBpol3n","BESS","Lähtee käsistä","Universal Music Oy",19,-1,1,"214935"
20,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,20,25,"212714"
21,"spotify:track:4EXBxZeqKIayJa65KtAwZw","VIIVI, Robin Packalen","Ihana kipu","Universal Music Oy",1,17,16,"212089"
22,"spotify:track:2Xt73nX1u3QHzJmQlpuGMP","Blacflaco, Etta","My love & homie","Ghettobaby.ent",2,21,13,"197172"
23,"spotify:track:1Myk7vkJ2IZm88Vt9IC21u","Benjamin","Hoida mut","WM Finland",6,16,5,"190264"
24,"spotify:track:47EttOPfJblOFsztpSseEm","Keira","No Business On The Dancefloor","Universal Music Oy",9,19,5,"188503"
