rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:249Ccx4Udp9bMug0T505Vx","Trannos","Tik Tak","Capital Music",1,1,2,"1197511"
2,"spotify:track:45YWebKLhmd2q2dXPPhvrI","Rack, Sin Laurent","NAPOLI","Barcode Entertainment",1,2,4,"725520"
3,"spotify:track:2u3kkvRqcYi56BNXEX6hri","Light, Alitiz","Drive By","Capital Music",3,-1,1,"651215"
4,"spotify:track:1VbsLy6fugQV3mBK7e9mS0","FLY LO, Mike G","Larry Hoover","Minos - EMI SA Distribution Deals",2,3,4,"627634"
5,"spotify:track:1MD67DskmJhSXmuHe8p7Wt","Wang, Mateos Nps","Gia Panta","Wang",5,-1,1,"400826"
6,"spotify:track:6yyMD0sKGOovYrRaE1td8w","RICTA, DJ.Silence","FUCK DA POLICE","City Center",3,4,4,"391132"
7,"spotify:track:5rrbMbJK3LGzQ6B25aBD2r","SIDARTA, Beyond","PSEMA","OffBeat Records",1,5,14,"348043"
8,"spotify:track:60zQyrq9mbhlE4YxTkudjO","Ellize, Kidd","Lamborghini Weiss","OffBeat Records",6,6,3,"334857"
9,"spotify:track:1bPzfHjRXPvoyWaL5ZOmZE","Mente Fuerte, Rack, Beyond","Oulala","OffBeat Records",9,-1,1,"311237"
10,"spotify:track:2cXQUlkrLVrfxOJe6wjhJb","SIDARTA","ERIMO","OffBeat Records",1,7,21,"298275"
11,"spotify:track:3qFj5MapvQvQH4u1PIVX9n","Light, Trannos, Alitiz","Gagarin","Capital Music",1,11,12,"266530"
12,"spotify:track:2QDibAx72jveQXPBXOKjx2","Light, Trannos","24hrs","Capital Music",1,8,36,"244065"
13,"spotify:track:7k2h3IHuFUQLclllRPRKTZ","Anastasia","Mystiko","Minos - EMI SA Distribution Deals",6,14,13,"240065"
14,"spotify:track:4L9IptXt2LfSck0TY7m1SD","FANN, Bloody Hawk, Hades","Exw Thema","FANN",6,10,5,"239905"
15,"spotify:track:0OyiXp4CdjqOYDSpzgfEx7","Rack, Oge, MENJU","FAVELA","Barcode Entertainment",1,16,31,"239289"
16,"spotify:track:3ZBjsEi5IF54yXCizKTNdi","Trannos, FLY LO","Tn","Capital Music",2,9,12,"233502"
17,"spotify:track:2WmQtBy5wG8rdeqYhwljNK","Roi 6/12, TOQUEL","Forema","Minos - EMI SA Distribution Deals",2,12,20,"222497"
18,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,13,5,"213908"
19,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,15,11,"213362"
20,"spotify:track:2Vm1AL0pK6UIvNEiIBxsj0","City Center, RICTA","EMMONH","City Center",2,20,20,"213015"
21,"spotify:track:2czUL73B83n4VfVeBEfXCs","SIDARTA, Beyond","AKOMI","OffBeat Records",3,19,32,"209290"
22,"spotify:track:29kTgA9pGo9RYwhED65ZrS","Light, Fy, Trannos","Obsessed","Capital Music",2,26,33,"208617"
23,"spotify:track:24Zq6jOHkjoPOQn42ZyRJs","Rack, MENJU, Oge","Dancer","Barcode Entertainment",3,21,17,"203278"
24,"spotify:track:1O4LjNjQxnzqECfTKGkko6","SNIK","Erotas","Minos - EMI SA Distribution Deals",1,27,30,"202314"
25,"spotify:track:1QphVfogCxCARRZLergCjS","SIDARTA, Beyond","MON AMIE","OffBeat Records",4,33,14,"199104"
26,"spotify:track:5btENPtD4TAjRGkC4IXafe","Light, Melisses, Skive","Epiloges","Capital Music",1,18,33,"198596"
27,"spotify:track:6N0PJxd5oBMinXWFYK9zo4","Bossikan, Chico Beatz","Bossi Claus","Minos - EMI SA Distribution Deals",1,22,9,"196821"
28,"spotify:track:0v4BTk3Vlhmfduww4WFOwA","SIDARTA, Beyond","ADRENALINA","OffBeat Records",4,25,27,"194299"
29,"spotify:track:1OGTkqFF8EmYZvDLuHAXsw","Rack, Beyond","AMOR","Barcode Entertainment",5,23,31,"190369"
30,"spotify:track:5YxvdEAIKhCAPBZNNPnTGe","Mente Fuerte, Beyond, Issy Beats","Apothimeno","OffBeat Records",10,37,16,"189441"
31,"spotify:track:0yHkbTORVndswYARPdzteN","SNIK, Ivan Greko","Gaza","Minos - EMI SA Distribution Deals",2,30,18,"183914"
32,"spotify:track:0C11SdO6nuqHDx230fZ2Gh","SIDARTA, Saske, Beyond","MEDITERRANEAN","OffBeat Records",1,29,37,"181884"
33,"spotify:track:2oAoWaGzQeq8JMywmukQ8J","Hawk, Baghdad","CELINE","Above The Hood",1,28,39,"177776"
34,"spotify:track:4xZ59WxpeOJ8REpvsdfraN","Wang, Mateos Nps","WOAH","Wang",8,24,3,"174673"
35,"spotify:track:7ATav6YyDdbHnEJ4ALXjpj","Katohos, RICTA, Stepper","Tutorial","Katohos",35,59,2,"173875"
36,"spotify:track:27GSRTfL7fEnLAEr3fB5YX","Saske, Beyond, Issy Beats","PADOU","OffBeat Records",2,32,54,"170814"
37,"spotify:track:3vxOiWJAjI6ZS7zVlL6uT7","Trannos","To Kserw","Capital Music",5,17,16,"170027"
38,"spotify:track:6XK6R1ir3k0iPkwGbmVIEV","FLY LO, Mike G","Crystal","Minos - EMI SA Distribution Deals",1,31,24,"166868"
39,"spotify:track:0PUzUn6NlCsVeomsUg9SKx","TOQUEL, SIDARTA, Beyond","Palmous","Minos - EMI SA Distribution Deals",11,40,38,"154430"
40,"spotify:track:61BaxNqs8df4B4Vtndb9DE","Mad Clip, Light, Skive","Nani","Mad Clip",1,38,42,"153990"
41,"spotify:track:457R4xC0mHC4pkYqaGOY2D","Ivan Greko, BeTaf Beats","JET II","Black Phone Entertainment",17,34,4,"148918"
42,"spotify:track:5uKsIyOxbFPop0sZ7LmI9J","Eleni Foureira, Mente Fuerte, Fy, Trannos, Bobito, Ayman","El Telephone - Remix","Panik Records",2,42,17,"148196"
43,"spotify:track:5Tbuk8Mr01Y53EWmrM7D4r","Rack","UNIQUE","Barcode Entertainment",4,44,13,"147989"
44,"spotify:track:3N2iBFazoTUIvgcqu2PdDZ","Trannos, Eleni Foureira","Egw & Esy","Panik Records",1,35,27,"147596"
45,"spotify:track:2Rpfa4gDFr3q96himB2c3m","FLY LO, Mike G","Reckless","Minos - EMI SA Distribution Deals",9,39,15,"145118"
46,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",38,50,10,"140606"
47,"spotify:track:03x0o1jOLLiGMyN0SgjtVM","Saske, Gamecue","ALITHEIA","OffBeat Records",7,52,43,"139132"
48,"spotify:track:5PQ9WamrmmWxnftASffcu9","Rack, Oge","OXI","Barcode Entertainment",5,36,6,"137417"
49,"spotify:track:2LHUIYOsCZ19mDp2xRxj1u","Antzy Samiou","Parallili Agapi","ALPHA RECORDS",49,142,2,"136356"
50,"spotify:track:2Hl382Ahx7IV5i2Qfu5m2Q","GMARK","Tattoo","GMARK",21,45,18,"134346"
51,"spotify:track:5j2qq0EBEAceOdff92l4qZ","TOQUEL","Beverly Hills","Minos - EMI SA Distribution Deals",3,46,40,"132954"
52,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",30,47,12,"131225"
53,"spotify:track:6YfzfBiC4dpF5yv63QcLCY","TOQUEL","Skoni","Minos - EMI SA Distribution Deals",8,49,38,"130879"
54,"spotify:track:3Ih2cQKuXvsKOFlhZAnBDW","Melisses","Crayon","Panik Records",23,51,12,"124881"
55,"spotify:track:0cOGWQcGaMe5HsGO9AEw25","FLY LO, Mike G","G Walk","Minos - EMI SA Distribution Deals",3,48,18,"124657"
56,"spotify:track:1zVSvXZbu4P5JTUzM3PmlZ","Onad, Kidd","TIRANA","Black Money Records",52,53,3,"121626"
57,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",9,41,21,"121076"
58,"spotify:track:4ba3bmE2i6SvEXIaJYhUoJ","Anastasia","Ligo Ligo","Minos - EMI SA Distribution Deals",4,60,37,"112274"
59,"spotify:track:718XWLo3fyDFH5RWp5Q5nN","RICTA, Night Grind, City Center","Salonikios","City Center",6,55,31,"110284"
60,"spotify:track:79ONnVChS4kZDeXuGPUyJ0","Nikos Oikonomopoulos","Eglima Kardias","Epic",60,68,3,"105735"
61,"spotify:track:3vKqBFEJWVtJ4rQQLt3Dbe","HGEMONA$, LEX","Epiloges - Prod. By Skive","Minos - EMI SA Distribution Deals",7,54,9,"104277"
62,"spotify:track:0qQiT7KDAZGP1WdkWvqNah","TOQUEL, Sin Laurent","Platina","Minos - EMI SA Distribution Deals",5,64,38,"101286"
63,"spotify:track:65Yng6OVGMLDJVhiKFxpCa","SIDARTA, Beyond","BENZ","OffBeat Records",24,58,14,"99284"
64,"spotify:track:5tbMaO9qbA9dMQnoOtRAUR","Bossikan, Roi 6/12, WhiteShadow","Bossidonas","Minos - EMI SA Distribution Deals",3,66,33,"97018"
65,"spotify:track:2Zf1yuGx7fy8WSUNV5KMZW","Raps On The Run, Dani Gambino, Dj The Boy","Zinedine","Raps On The Run",49,56,27,"95125"
66,"spotify:track:3OGv5aAfxKGmkstUtsfFUC","LEX, Dof Twogee","Air Max","Lex",4,84,40,"94698"
67,"spotify:track:5YT0slA5sVnH8cwiJcpgx0","Raps On The Run, Wang, Electabaz","Atlanta","Raps On The Run",25,82,7,"93313"
68,"spotify:track:5RgDsqAkTC4BVcjvM7yfQ8","Light, Finem","Bella Vita","Capital Music",11,61,32,"92727"
69,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",60,62,46,"92442"
70,"spotify:track:2zJdRbci1gCEidwFo2wYOE","SIDARTA, ObieDaz, Pala Tranx","GIA NA","OffBeat Records",28,65,32,"92009"
71,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",3,72,46,"91777"
72,"spotify:track:3gMkuoFyby1uUf7rR7y8Km","Konstantinos Argiros, Light","Iliovasilema - (Part 2 - Fos)","Panik Platinum",5,85,42,"91747"
73,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",10,67,43,"91515"
74,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",20,57,5,"90554"
75,"spotify:track:0mBpzm8OfmBouihZ54biML","TOQUEL, ObieDaz","Kokaina","Minos - EMI SA Distribution Deals",1,96,92,"88890"
76,"spotify:track:7I6fZpYaW9BjlXJEKFL1Su","Rack, BretBeats, Beyond","DEN EIMAI DIKOS SOU","Barcode Entertainment",4,76,31,"88464"
77,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",24,70,25,"88371"
78,"spotify:track:0VfJj7Z3IQjF6lh5DhQYTs","Strat, Ivan Greko, Saxpas","Den Exw Sima","Black Phone Entertainment",11,71,23,"87877"
79,"spotify:track:1sCoE0cd8o6mrTsWOsRImL","Ellize","Aformi","OffBeat Records",66,75,13,"87086"
80,"spotify:track:0VO8gYVDSwM1Qdd2GsMoYK","Swedish House Mafia, The Weeknd","Moth To A Flame (with The Weeknd)","Republic Records",13,81,69,"85498"
81,"spotify:track:14vob2HI6mgV6R8rAmWDO5","Strat, BeTaf Beats","POULAS","Black Phone Entertainment",43,43,2,"84804"
82,"spotify:track:4XtCM0qWk51wpqwaOTrSmc","Hawk, Tsaki, Baghdad","GINA","Above The Hood",10,74,39,"84577"
83,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",59,69,42,"84233"
84,"spotify:track:07qyw1D9R324YyFNZGUUdl","Light","Cc","Capital Music",5,77,89,"83701"
85,"spotify:track:5Ez6RiTPCrGb4rQGPftA2Y","Konstantinos Argiros, Matthaios Tsahouridis","Matonoun Oi Skepseis - (Part 1 - Nostalgia)","Panik Platinum",77,90,13,"83161"
86,"spotify:track:3jP6Yx6d8608AU4aIRJsE2","Kings, Fy, Mc Daddy","Macarena","Panik Records",6,80,19,"82617"
87,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,89,141,"82268"
88,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",88,-1,1,"81962"
89,"spotify:track:3VDRhvxmkGrRzJUl97aCvw","Giorgos Kakosaios","Kane Mas Ti Hari","Panik Records",74,97,20,"81656"
90,"spotify:track:7AaxFtkinG6n5fw6ZUuxHE","Anastasia","Amarties","Minos - EMI SA Distribution Deals",2,100,57,"81572"
91,"spotify:track:2jeuoMQB17m1KOMR7EiG9m","Wang","Meine Gia Ligo","Wang",63,106,10,"81366"
92,"spotify:track:7FEoY5i0wiTlwWpwZttqz5","Bexli, ATC Nico, ATC Coco, KoyDaNephew","NoNo","ATC Family",56,78,19,"81082"
93,"spotify:track:1oa2VjfQHY3jOMhr4INBOf","Eleni Foureira, Hawk","Aya","Panik Records",20,105,37,"80851"
94,"spotify:track:3zkyus0njMCL6phZmNNEeN","Central Cee","LET GO","Central Cee",5,88,9,"80763"
95,"spotify:track:7hVXZVcmpcHq1DJ05dnFZK","SNIK, Rack","NANA","Minos - EMI SA Distribution Deals",1,91,58,"78953"
96,"spotify:track:73KYTCSbVlj5E02qWj8DPF","TOQUEL","Sandra","Minos - EMI SA Distribution Deals",5,118,164,"78711"
97,"spotify:track:21xcnEC8ZIr8nTtI8xyDeS","TOQUEL, Sin Laurent","Panorama","Minos - EMI SA Distribution Deals",1,87,38,"78507"
98,"spotify:track:3DbiL7GTCopFHk9t9qpDut","Leaderbrain, RICTA","Latina","BlackBandana",1,99,80,"78177"
99,"spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j","Metro Boomin, Future, Chris Brown","Superhero (Heroes & Villains) [with Future & Chris Brown]","Republic Records",28,101,11,"77572"
100,"spotify:track:7DHGbhOkxuhxPX13WopBLw","Light","Teddy Bruckshot","Capital Music",10,92,32,"74998"
101,"spotify:track:2z4kjQGOaN9TEQ6uYgS21l","Feisty, RICTA, Mateos Nps, DJ.Silence","BELLA","Good Vybz Music",27,102,32,"74823"
102,"spotify:track:1r0pVvbYV1x6QZTk9wNOqo","EPITHE, Echo","Aroma","Minos - EMI SA Distribution Deals",59,73,5,"74540"
103,"spotify:track:61sfFpr4TG2fV9PjQlU6vL","Roi 6/12","ALITHIA","Minos - EMI SA Distribution Deals",35,83,9,"73968"
104,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",17,86,15,"73664"
105,"spotify:track:7IokpTW54OgzPu6Q3fkVHn","TOQUEL, Rack, ObieDaz","Aftoktonia","Minos - EMI SA Distribution Deals",1,108,63,"72275"
106,"spotify:track:5ahPNTYu8v9MNaB7vjFfyB","Dani Gambino","ISLAMABAD","Elite Musik",18,103,90,"71904"
107,"spotify:track:2tq1vcOwuhgSuq1QEdLKjz","Aspa","Ela","Minos - EMI SA Distribution Deals",31,161,20,"71746"
108,"spotify:track:6bgI3JZPDLm6gDE75utatQ","Baby Gang","Mentalité","Atlantic/WM Italy",94,94,6,"71415"
109,"spotify:track:7MNH5tWJn8UkMPW6GwcUWM","Yolte","Fantastic","Royal Ent",43,79,21,"69502"
