rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:172oAbLGpgeCsukno7oBRe","Keung To","風雨不改 (電影《阿媽有咗第二個》主題曲)","EEG Music",1,1,27,"333772"
2,"spotify:track:1dBroK67DSaaEE5kvkVjzG","Keung To","作品的說話","Music Nation Records Co Ltd.",1,2,42,"296245"
3,"spotify:track:11IqNbLOD4s4nVYSuEttFR","Keung To","Dear My Friend,","Music Nation Records Co. Ltd.",1,3,80,"286755"
4,"spotify:track:3IxGmKdOkv7tgMCzyKF2Xm","MC 張天賦","世一","WM Hong Kong",1,4,5,"258890"
5,"spotify:track:2E5X5HbBHBUeo2juTSgTMX","Anson Lo 盧瀚霆","偷情","Universal Music Ltd.",3,7,4,"243083"
6,"spotify:track:4umaD9GJDZMihD9mal7vd1","Keung To","鏡中鏡","Music Nation Records Co. Ltd.",3,8,59,"239092"
7,"spotify:track:3mVO7XaN9ULGNuXteiCOz3","陳卓賢 Ian","再見 寧靜海","Music Nation Records Co. Ltd.",5,5,5,"236314"
8,"spotify:track:3b4dQtIVyVhQdbYVfrik0k","Anson Lo 盧瀚霆","永順街39號","Music Nation Records Co Ltd.",1,6,14,"228918"
9,"spotify:track:3x2hKSUf8O8IqI1shmxGnp","MC 張天賦","老派約會之必要","WM Hong Kong",1,10,31,"213093"
10,"spotify:track:48yFnEAkBdOmqvhZ6NaR4U","Dear Jane","到底發生過什麼事","WM Hong Kong",1,9,17,"208654"
11,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",11,16,7,"175827"
12,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",5,12,9,"175028"
13,"spotify:track:2vJreatDgwtXWKpkqpPUZ3","陳卓賢 Ian","地球上的最後一朵花","Music Nation Records Co. Ltd.",4,13,16,"171976"
14,"spotify:track:5L3pDOYct21zjioooK0IqX","Anson Lo 盧瀚霆","同居陌生人 (ViuTV劇集: 百萬同居計劃歌曲)","Music Nation Records Co Ltd.",10,11,10,"167047"
15,"spotify:track:1ZrnCyms7CBYsCvkkVIkt8","MC 張天賦","記憶棉","WM Hong Kong",1,14,69,"165957"
16,"spotify:track:6flgMTTqhbJSNryAPCYcvA","陳卓賢 Ian","留一天與你喘息","Music Nation Records Co. Ltd.",1,15,53,"161417"
17,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",17,17,5,"131351"
18,"spotify:track:433FK3gktWwmjkAPMSqVNO","MC 張天賦","時候不早","WM Hong Kong",2,18,62,"130971"
19,"spotify:track:2rbbJ2xZFJa2DriR5h0TBS","陳卓賢 Ian","Distance","Music Nation Records Co. Ltd.",6,20,31,"120023"
20,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",18,24,10,"114766"
21,"spotify:track:5awK4mHW8B2bCuX8G0Grvb","MC 張天賦","小心地滑","WM Hong Kong",1,23,45,"108733"
22,"spotify:track:2P5Eeh29qJrYa1T27cdL3B","MC 張天賦","反對無效","WM Hong Kong",2,22,89,"108448"
23,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",23,26,29,"106788"
24,"spotify:track:4pnqbvjkdoIKUzmfr1bUho","Anson Lo 盧瀚霆","Mr. Stranger","Music Nation Records Co Ltd.",4,19,51,"104080"
25,"spotify:track:1jPDZpQoMwgmP3CzmIiTxB","Jay Fung","給缺席的人唱首歌","Media Asia Music Limited",13,27,33,"97381"
26,"spotify:track:62ZpTeNkawwXCr7tNtF8Zz","MC 張天賦","乖乖報到","WM Hong Kong",22,25,4,"97203"
27,"spotify:track:7xE3HkKaZFhtzrt2FiwNOd","Keung To","Master Class","Music Nation Records Co. Ltd.",4,29,99,"91753"
28,"spotify:track:1Bnmeza32UZ1frQTxGexnt","Edan 呂爵安","LOVERSE","Music Nation Records Co. Ltd.",16,28,7,"88380"
29,"spotify:track:2pFkBa11TZLwI4t4uzIWdi","陳卓賢 Ian","Got U","Music Nation Records Co. Ltd.",7,30,42,"88141"
30,"spotify:track:5AnD1Tmu5hKPeHGyxGq6LJ","Leo Ku, Edan 呂爵安","飄流教室","EEG Music",8,31,35,"81611"
31,"spotify:track:6rLZknU66zYG9Q2NI4fCYl","Keung To","無人不知的戰果 (ViuTV劇集: 季前賽主題曲)","Music Nation Records Co Ltd.",7,32,13,"80468"
32,"spotify:track:7wDHnKKyw7GSw9ihEHTXm3","Hins Cheung","賽勒斯的愛","EEG Music",4,37,40,"77410"
33,"spotify:track:1rTnGbIahUmq6fK8RWAXfd","陳卓賢 Ian","鯨落","Music Nation Records Co. Ltd.",7,38,114,"76949"
34,"spotify:track:40NvsEFexANIROSnKIMYXB","Leo Ku, MC 張天賦","自我安慰","EEG Music",13,39,24,"76771"
35,"spotify:track:1eId3TVzGrwv73YAWAVQMX","Jason Chan","你瞞我瞞","Sony Music Entertainment",16,21,321,"76670"
36,"spotify:track:1Pt5syTlJvn3FOqAET84WF","Leo Ku, Tyson Yoshi","2nd Favourite 第二最愛","EEG Music",19,34,9,"76479"
37,"spotify:track:0Rhz56u8K6hjzxNCGkJjhi","Eason Chan","盲婚啞嫁","Universal Music Ltd.",16,36,6,"75913"
38,"spotify:track:32QnXosZq7A11knnBAEqk7","Terence Lam","一人之境 in C major","Terence Lam Production & Co.",1,50,145,"74408"
39,"spotify:track:4knMu3Cbg277Di6oEkpeRA","Kaho Hung","還原淚","WM Hong Kong",17,44,20,"74242"
40,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",33,33,21,"73777"
41,"spotify:track:4ckh5VN2HYQ8TzS51Nh7ol","Hins Cheung","俏郎君","EEG Music",6,43,110,"73500"
42,"spotify:track:39HrUxcvKF3jtLz7fUDWXc","Hikaru Utada","First Love","Universal Music LLC",6,40,12,"73046"
43,"spotify:track:2pIUpMhHL6L9Z5lnKxJJr9","NewJeans","Attention","ADOR",34,47,29,"72076"
44,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",2,42,22,"71929"
45,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,46,26,"71413"
46,"spotify:track:0PNlAxz1G2WLTC8WRMxUmg","MC 張天賦","乾","WM Hong Kong",17,41,22,"71257"
47,"spotify:track:5st8nBxaC9GX6Dl3VMXTbM","Terence Lam","在空中的這一秒","Terence Lam Production & Co.",2,35,63,"70648"
48,"spotify:track:4fsQ0K37TOXa3hEQfjEic1","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",24,49,18,"69842"
49,"spotify:track:69zgyr5HVKdInjeKpq1qHa","831","想見你想見你想見你(電視劇""想見你""片尾曲)","Rock Records Co., Ltd.",2,113,114,"69684"
50,"spotify:track:4co81zh3xm4y6ZcyLj4eTz","Kaho Hung","及時行樂","WM Hong Kong",24,52,55,"68295"
51,"spotify:track:72OVnXDzugvrCU25lMi9au","WeiBird","如果可以 - 電影""月老""主題曲","Sony Music Entertainment",4,53,63,"66981"
52,"spotify:track:2i40AXmoYGkzzW3C3OUoG6","Terence Lam","記得","Terence Lam Production & Co.",8,54,27,"65080"
53,"spotify:track:07hNtsHI2yS6a4sblgPyp0","Gareth.T","笑住喊","WM Hong Kong",16,45,17,"64925"
54,"spotify:track:1WzMnzTmdWbJZ3OhizMtbX","MC 張天賦, Kaho Hung","Frenemy","WM Hong Kong",15,51,27,"63809"
55,"spotify:track:7o4T6JqF9oakRouiBexoiT","MC 張天賦","最低保障","WM Hong Kong",31,48,4,"62820"
56,"spotify:track:6K6L5LL0lvfGGEqJxDavTn","Jer 柳應廷","坐看雲起時","Music Nation Records Co Ltd.",15,62,12,"61205"
57,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",16,65,46,"60977"
58,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",9,57,17,"60779"
59,"spotify:track:6zeblz6qaURo2JphS7XeFz","Edan 呂爵安, Feng Ze","一表人才","Music Nation Records Co. Ltd.",2,59,65,"60462"
60,"spotify:track:2W9MxlcyMWmeHgZNnCSosb","Kaho Hung","污糟兒","WM Hong Kong",19,67,31,"60448"
61,"spotify:track:0NaXXkY7Lss2VF3sYISJXG","C AllStar","留下來的人","Media Asia Music Limited",10,58,96,"59047"
62,"spotify:track:6l5q8rkGYOwrheeWK5puyL","Jeffrey 魏浚笙","第一個迷","BTBAS Entertainment Limited",23,55,7,"58287"
63,"spotify:track:1Qc5ibrjJE0HVFXMs9T1io","Jason Chan","有天 - From THE FIRST TAKE","Sony Music Entertainment",63,147,2,"57511"
64,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",61,70,25,"56965"
65,"spotify:track:61AZsmFB3VoJdmraMk5ZSn","TAEYANG, Jimin","VIBE (feat. Jimin of BTS)","THEBLACKLABEL/Interscope Records",24,64,5,"56652"
66,"spotify:track:2YF2QvEFNGbIgNQaUzLk4Q","Gareth.T","勁浪漫 超溫馨","WM Hong Kong",6,69,64,"56476"
67,"spotify:track:2jxqkUylLlJl7p45bFbH9u","Dear Jane","懷舊金曲之夜","WM Hong Kong",67,-1,1,"55282"
68,"spotify:track:3i804ijVjXeLrMKGIiVCHm","Keung To","一號種籽","Music Nation Records Co. Ltd.",68,71,25,"55029"
69,"spotify:track:2w9A7fvq6ka5CB9l7wDZXG","Keung To","蒙著嘴說愛你","Music Nation Records Co. Ltd.",8,60,111,"54548"
70,"spotify:track:2gYj9lubBorOPIVWsTXugG","IVE","After LIKE","Starship Entertainment",9,79,26,"54272"
71,"spotify:track:4Pzi0povbtMOuVyGKGNOKu","Edan 呂爵安","小諧星","Music Nation Records Co. Ltd.",1,75,82,"54208"
72,"spotify:track:1UJYWfzyPjRwmlCawgJroV","Anson Lo 盧瀚霆","King Kong","Music Nation Records Co Ltd.",4,56,37,"54186"
73,"spotify:track:4c9hHw1PUYXHfKFASXo8H0","Terence Lam","某種老朋友","Terence Lam Production & Co.",1,74,53,"53966"
74,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",19,85,38,"53749"
75,"spotify:track:567e29TDzLwZwfDuEpGTwo","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,80,84,"53521"
76,"spotify:track:3H9gYJcdtqeUiM8WX8YrZz","Wilfred Lau","思覺失調","Go East Entertainment Company Ltd",34,63,122,"53061"
77,"spotify:track:5Odq8ohlgIbQKMZivbWkEo","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",9,81,34,"52386"
78,"spotify:track:33bb4ipPqbeTdZLOAix27Z","Anson Lo 盧瀚霆","Megahit","Music Nation Records Co. Ltd.",4,68,74,"50899"
79,"spotify:track:5oJgKQOjypEUqBHnKCfAZs","MC 張天賦, Kiri T","世一 (不可一世) [feat. Kiri T]","WM Hong Kong",79,-1,1,"50740"
80,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",68,84,5,"50599"
81,"spotify:track:3hU9nGBhYJQwvF8BJ4PUcE","Kay Tse","囍帖街","Cinepoly Records Co. Ltd.",19,87,321,"50421"
82,"spotify:track:0rhI6gvOeCKA502RdJAbfs","TOMORROW X TOGETHER","Sugar Rush Ride","Republic Records - TXT",40,66,3,"49636"
83,"spotify:track:3PrIhODothki0YvYW3qCOT","Leo Ku","必殺技","Gold Typhoon Hong Kong",57,90,235,"49186"
84,"spotify:track:1Gjmwy8JhscqBBh5DUdzGv","MC 張天賦","Overkill","WM Hong Kong",32,72,12,"48409"
85,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",81,83,11,"48075"
86,"spotify:track:38DlSDrx9tgc5Gfq6y3aBa","TWICE","MOONLIGHT SUNRISE","Republic Records - TWICE",44,73,4,"47720"
87,"spotify:track:2Z0nzG4jTLJCTx69vvrLCb","Edan 呂爵安","攀上天梯的螞蟻 (電影 《過時.過節》主題曲)","Music Nation Records Co. Ltd.",42,86,14,"47345"
88,"spotify:track:5Gi88IBuzFwSTAAcYcqpqL","Keung To","孤獨病","Music Nation Records Co. Ltd.",15,78,94,"46942"
89,"spotify:track:3CsYuAe0Oi7t9w1jxWfHob","Kaho Hung","主角光環","WM Hong Kong",25,94,71,"46855"
90,"spotify:track:7eZJLfMQ5mDtejHitRkzRf","Panther Chan","凡星 (天星銀行airstar音樂劇場主題曲)","WM Hong Kong",35,89,78,"46742"
91,"spotify:track:06sDxr7MbbwFyTP1f6rvvl","Edan 呂爵安","E先生 連環不幸事件","Music Nation Records Co. Ltd.",1,96,107,"46384"
92,"spotify:track:5w3SN2UjZRuuvPLAisQuaC","Jason Chan","你瞞我瞞 - From THE FIRST TAKE","Sony Music Entertainment",47,61,3,"46367"
93,"spotify:track:3kQvyf0lMEpcn0xGWM1blY","吳林峰, 謝芊彤","我也難過的","Sunny Idea HK Ltd.",44,92,49,"46181"
94,"spotify:track:2KogAeAixsmxIzDmMHKhjY","Terence Lam","下一位前度 in Ab major","Terence Lam Production & Co.",4,93,166,"46115"
95,"spotify:track:2FgDWCqMCIAATvqr9ozeYm","Hins Cheung","櫻花樹下","Universal Music Ltd.",24,91,255,"46023"
96,"spotify:track:7eBpUuPnDTfbeP1P4P93CS","BSS, Lee Young Ji","Fighting (Feat. Lee Young Ji)","PLEDIS Entertainment",96,155,2,"45538"
97,"spotify:track:0USeB0Tykai3QZj5YAUclG","Shi Shi","眼淚記得你 - 電影《想見你》主題曲","Rock Records Co., Ltd.",97,-1,1,"44904"
98,"spotify:track:0Q5VnK2DYzRyfqQRJuUtvi","IVE","LOVE DIVE","STARSHIP Entertainment",11,95,46,"44858"
99,"spotify:track:3fuQNXu8hnIFadJqPXiQn7","Kaho Hung","逆時車站","WM Hong Kong",27,107,82,"44716"
100,"spotify:track:78CCQf4q1XDiBxNQCU3Tg4","Gareth.T, asiatic.wav","孤單","WM Hong Kong",56,88,5,"44659"
101,"spotify:track:0pupuSkMBGpzsqG3fWcyPe","Dear Jane","銀河修理員","WM Hong Kong",1,103,152,"44633"
102,"spotify:track:2S0xQFTOafzeErzgTaQavg","COLLAR","The Bright Side","Music Nation Records Co Ltd.",45,77,5,"44240"
103,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",103,106,10,"43069"
104,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",51,97,16,"42919"
105,"spotify:track:35bTq9CeIvJQTKrPuSoDv8","Keung To, AGA","I Know (feat. AGA)","Universal Music Ltd.",10,102,39,"42860"
106,"spotify:track:2DwUdMJ5uxv20EhAildreg","NewJeans","Cookie","ADOR",99,99,17,"42698"
107,"spotify:track:1k4epQqpbGkyIm3O6bRALu","COLLAR","OFF/ON","Music Nation Records Co Ltd.",14,101,27,"42302"
108,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",62,100,24,"41853"
109,"spotify:track:2WVbMoHdWCspdiEa7OnG1D","Hins Cheung","春秋","Universal Music Ltd.",17,111,307,"41165"
110,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",110,112,6,"41110"
111,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",111,-1,1,"41085"
112,"spotify:track:6MCjmGYlw6mQVWRFVgBRvB","YOASOBI","夜に駆ける","YOASOBI",23,108,138,"40806"
113,"spotify:track:0h7QMc9ZRzA9QJrbEHytn2","JIN","The Astronaut","BIGHIT MUSIC",19,105,16,"40775"
114,"spotify:track:7zYZYyaMmfsc7Jp4ZHd6UX","Anson Lo 盧瀚霆","不可愛教主","Music Nation Records Co. Ltd.",1,98,85,"40581"
115,"spotify:track:53lFtfrl5Of2Hkr5eiNscQ","Terence Siufay","時光機","Gold Typhoon Hong Kong",48,76,321,"40048"
116,"spotify:track:7Fr7Ag2bQyJl86BtsFmdOW","Jace Chan, Terence Lam","隔離 - Studio Live Duet","Universal Music Ltd.",3,116,125,"39657"
117,"spotify:track:6NnCWIWV740gP7DQ8kqdIE","(G)I-DLE","Nxde","Cube Entertainment",18,114,18,"38644"
