rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,2,5,"298043"
2,"spotify:track:1jI95q1ZSLZuVNdOMwaoUL","KKevin, L.L. Junior","Csavargó","KKEVIN",2,5,4,"281336"
3,"spotify:track:3cGzuLfzd4DpuQoV2W8AIk","Manuel","100 Hiba","Gold Record Music Kft.",1,1,3,"233272"
4,"spotify:track:18DVypBkvcJtVFzQr5Ly7J","Beton.Hofi, Hundred Sins","BAGIRA","Universal Music Kft. Hungary",1,12,26,"226979"
5,"spotify:track:2BAmnTI9arntwH5BRP3EZx","Manuel","Idegen","Gold Record Music Kft.",3,3,3,"220141"
6,"spotify:track:30JqjpV2qLhBfewhuF3Pey","Manuel, Azahriah","Toxic","Gold Record Music Kft.",4,4,3,"205966"
7,"spotify:track:6aINWu0V4uW9fggLqPq9xO","Manuel","Utolsó dal","Gold Record Music Kft.",6,6,3,"185451"
8,"spotify:track:6OP0vGVuzlr50nFFAEDhlN","T. Danny, KKevin","Csirió","T. Danny",8,26,2,"179743"
9,"spotify:track:0gW2MaJU6dWtgrrlFzwbE5","Manuel","Popstar","Gold Record Music Kft.",2,9,8,"177173"
10,"spotify:track:7jxraJulUuGw5kRjQtB7ah","Manuel","Vigyázz","Gold Record Music Kft.",7,7,3,"167814"
11,"spotify:track:1dApWF2K4c91sOq0esaufz","Manuel","3 Nap","Gold Record Music Kft.",8,8,3,"163884"
12,"spotify:track:5sybMF2Gbm98ociatHQFpT","Kain, Ekhoe, Pogány Induló","Latyo és haze","Kain",10,23,5,"151145"
13,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",3,18,25,"147667"
14,"spotify:track:6QsetQd65b8nsSBfPPSHvu","Manuel, Ekhoe","Legenda","Gold Record Music Kft.",11,11,3,"142746"
15,"spotify:track:3XKdJfbBwnxUnn5tdaJoYL","DESH, Azahriah","Papa","Supermanagement",2,17,17,"142134"
16,"spotify:track:1o0TkBcMTkkOg1KUeB4riK","Azahriah","four moods","Supermanagement",1,20,28,"137768"
17,"spotify:track:6WBuRbov384zl6wPJ49piD","Kolg8eight, Csoky, Beton.Hofi, Pogány Induló","Rizikó","6000 RECORDS",17,25,2,"133419"
18,"spotify:track:6S1K0f5Pn3a2b4u4HS7z27","Manuel, T. Danny","Legnagyobb Rapper / Lamborghini Álmok","Gold Record Music Kft.",10,10,3,"130405"
19,"spotify:track:36BUjFSteZsyz3VWU88VlO","Manuel","Rossz kéz","Gold Record Music Kft.",13,13,2,"128648"
20,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,21,21,"117796"
21,"spotify:track:6w9aIT3TyqClXIcKyw6W1a","KKevin, Bruno X Spacc","Topshit","KKEVIN",1,29,17,"116420"
22,"spotify:track:1cf5u4F1zIvn9wUjhqzxm9","Ekhoe","Forog a világ","On The Low Inc.",2,31,13,"112557"
23,"spotify:track:33zWUivvsRkfnOYx4FUmPt","Kiss Kevin","Csinibaba","Gold Record Music Kft.",3,30,23,"106679"
24,"spotify:track:0nQuoTxzDIVoWzaTgF5xtW","Dzsúdló, Azahriah","Várnék","Supermanagement",1,37,28,"102331"
25,"spotify:track:33TX7P63iqZnzZmI5BDbbX","Manuel, Mihályfi Luca","Rendben, Pt. 2 - Bonus Track","Gold Record Music Kft.",15,15,2,"102319"
26,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",13,42,10,"100626"
27,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",27,-1,1,"98643"
28,"spotify:track:3uAoUHEPlLa5pWKpOrmIxo","VALMAR","SZÍNVAK","VLMR MUSIC",12,41,16,"97894"
29,"spotify:track:3587lsrur0nDemFY0xbpN9","Pogány Induló","Pogi Hip-Hop","3739008 Records DK",9,32,5,"96798"
30,"spotify:track:6Rc6C6S4lgT5j1OekgI155","Azahriah, DESH","Pullup","Supermanagement",1,39,39,"96569"
31,"spotify:track:3kmBT0nbeNoaRlFMZbAOfb","Grasa","Tilidin","NGZ OTL",14,44,9,"96223"
32,"spotify:track:5FW58MYtSU6mFxp88eOHI8","DESH","Malibu","Supermanagement",15,43,17,"94509"
33,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",10,38,11,"93608"
34,"spotify:track:40aMWTWSoy3Qsm4y78BpYU","Manuel, Figura, Ekhoe","Balenciaga, Pt. 2","Gold Record Music Kft.",14,14,3,"90691"
35,"spotify:track:4Os68ICIOhJVOPfl53TjBP","Beton.Hofi, ajsa luna, Hundred Sins, Beatrick","TISZALÖK","Universal Music Kft. Hungary",7,35,24,"90576"
36,"spotify:track:0CyPMRxLuoteZTXuILKB1K","Manuel","Balenciaga","Gold Record Music Kft.",4,19,37,"90220"
37,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",17,46,38,"88890"
38,"spotify:track:1tAyEL10PQDcIvEL2o75wt","Azahriah","figyelj","Supermanagement",2,36,28,"88571"
39,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",15,45,49,"87751"
40,"spotify:track:4JcDCN9MbUoLq1pmVV92su","Manuel","21","Gold Record Music Kft.",16,16,2,"87389"
41,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,48,46,"87126"
42,"spotify:track:6RLcLw3zlqZFhL0dxQrEvD","ByeAlex és a Slepp, LUCA","Rózsaszín Mustang","Gold Record Music Kft.",7,34,3,"83985"
43,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",32,49,15,"83599"
44,"spotify:track:4ZoqUUprg6VCVnInONR6IP","Manuel, Young Fly","Hosszú út","Gold Record Music Kft.",22,22,2,"81274"
45,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",23,51,12,"81027"
