rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:6dXiWwFrcGieqnoLYzPNp5","Mahalini","Sial","Hits records",1,1,3,"10014568"
2,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,2,10,"4351530"
3,"spotify:track:3N2WeXxSjngB1DSi8vrI8C","Aruma","Muak","Sony Music Entertainment",3,4,11,"4105329"
4,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",2,5,19,"3855551"
5,"spotify:track:7nQoDLkzCcoIpKPQt3eCdN","raissa anggiani","Kau Rumahku","Alfarecords",1,6,27,"3642078"
6,"spotify:track:3i0h88q1HBtbdIg2bPxs54","Awdella","Tertawan Hati","Hits records",3,3,20,"3583265"
7,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",2,8,9,"3069971"
8,"spotify:track:6Hii26x3qDErVitnGW8QtO","Feby Putri, Fiersa Besari","Runtuh","BYNC Record",1,7,70,"2994380"
9,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",9,10,7,"2944828"
10,"spotify:track:26cvTWJq2E1QqN4jyH2OTU","Anggi Marito","Tak Segampang Itu","PT. Universal Music Indonesia",9,9,6,"2819784"
11,"spotify:track:4z6FksNI6MLCDTHrNJXhO0","Mario G klau","Semata Karenamu","Mario G Klau",2,12,15,"2751805"
12,"spotify:track:50x1Ic8CaXkYNvjmxe3WXy","New West","Those Eyes","Republic Records",10,11,19,"2737940"
13,"spotify:track:1USA6DXJ1qsucoKnDu4vnu","Budi Doremi","Tak Kan Hilang","dr.m",2,13,15,"2734223"
14,"spotify:track:1ixNEKbIZTTZ5LIz3rr9jD","Jogja Hip Hop Foundation","Cintamu Sepahit Topi Miring","Java Hip Hop",14,29,8,"2701659"
15,"spotify:track:3nHxZEe1dT7zs73DG6pNll","Tiara Andini","Usai","PT. Universal Music Indonesia",10,14,12,"2668942"
16,"spotify:track:6Iq3sgLVrqqZfRitLaeHkn","Mahalini","Sisa Rasa","Hits records",3,28,69,"2551133"
17,"spotify:track:5MIpcd16T59wFeqAChSYwC","Last Child","Duka","dr.m",12,17,84,"2528055"
18,"spotify:track:1mruWrUwAVe2XkksUQiaHK","Virgoun, Audy","Selamat (Selamat Tinggal)","dr.m",12,16,187,"2489127"
19,"spotify:track:2dIBMHByUGcNPzmYBJ6OAj","Hindia","Evaluasi","Sun Eater",1,15,66,"2472111"
20,"spotify:track:0PtJbtW50jcvvswNPn3QGd","For Revenge","Serana","Didi Music",11,19,40,"2459886"
21,"spotify:track:2hHeGD57S0BcopfVcmehdl","Tulus","Hati-Hati di Jalan","TulusCompany",1,21,50,"2455528"
22,"spotify:track:2AaaE0qvFWtyT8srKNfRhH","Raim Laode","Komang","Raim Laode",22,-1,1,"2325014"
23,"spotify:track:1dQQ2QlnvXUehsRUrukKmf","One Direction","Right Now","Syco Music",13,20,21,"2253340"
24,"spotify:track:2UgCs0i0rNHUH2jKE5NZHE","Andra & The Backbone","Sempurna","GP Records",15,22,252,"2214470"
25,"spotify:track:4GfK1qOF3uBWidbPlTCQRL","Tulus","Monokrom","TulusCompany",12,18,307,"2200003"
26,"spotify:track:6fX8WwxAQ6rCPIC7lMgztu","Mahalini","Kisah Sempurna","Hits records",4,34,43,"2189542"
27,"spotify:track:5zsVcDTZEKISPTCLYiTdwb","Hal","L","Typeast Record",8,26,43,"2180491"
28,"spotify:track:1ZPVEo8RfmrEz8YAD5n6rW","Juicy Luicy","Lantas","E-Motion Entertainment",3,31,107,"2133776"
29,"spotify:track:3TFdXrYIubXABQh0CxIiSs","Soegi Bornean","Asmalibrasi","Irama Records",2,27,31,"2114430"
30,"spotify:track:7mZxM64cMYQdx2vopaGrDf","Andmesh","Andaikan Kau Datang - From ""Miracle in Cell No. 7""","Hits records",7,23,23,"2110823"
31,"spotify:track:1b0aDgrG775i4sPQgJGmkU","Keisya Levronka","Tak Ingin Usai","PT. Universal Music Indonesia",1,25,39,"2072921"
32,"spotify:track:3JjnGLK8IxkNLvo8Lb3KOM","One Direction","18","Syco Music",27,30,16,"2042019"
33,"spotify:track:630DpnzdfjdVqv2yLfPbAX","Nadin Amizah","Bertaut","Sorai",1,24,142,"2031380"
