rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"66900"
2,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,3,10,"36549"
3,"spotify:track:0yecDQdx8NxpvcswRJM6uh","Herra Hnetusmjör, Friðrik Dór, Þormóður","Vinn Við Það","Alda Music",2,2,2,"33212"
4,"spotify:track:3ovhC4v5a73S0afcOHhnu2","Hafdís Huld","Dvel ég í draumahöll","Alda Music",1,5,231,"27758"
5,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",3,4,11,"27300"
6,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",6,39,2,"27159"
7,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",5,8,13,"24144"
8,"spotify:track:1l2AHO7bb47QGFKJmXhXMz","Hafdís Huld","Litlar stjörnur","Alda Music",3,9,198,"23670"
9,"spotify:track:5myQVDBhZvE7DIvsQICuKn","Hafdís Huld","Óskasteinar","Alda Music",4,10,209,"22500"
10,"spotify:track:0Xh9sOCT7ZvmKg8KthRYnH","Hafdís Huld","Sofðu unga ástin mín","Alda Music",5,11,203,"22481"
11,"spotify:track:6sCvvleqKbeyOkQDieBYgp","Rihanna","Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By","Roc Nation/Def Jam/Hollywood",3,20,16,"21047"
12,"spotify:track:1MWg9aH6OhteqF1RXR3J5w","Hafdís Huld","Sofa urtubörn","Alda Music",8,12,186,"20931"
13,"spotify:track:0RT86wBrufYQZSdN852Wjn","Hafdís Huld","Ljós","Alda Music",10,13,179,"19814"
14,"spotify:track:5pn6OskYybJrrqcdlNpBvk","Hafdís Huld","Bíum bíum bambaló","Alda Music",9,15,189,"19704"
15,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,14,25,"19372"
16,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,7,21,"18703"
17,"spotify:track:1ZzSy8HeLFZAeuQi577bhB","Hafdís Huld","Ævintýralönd","Alda Music",12,16,172,"18681"
18,"spotify:track:7nzeIh8kUdieUBLPXch9wi","Hafdís Huld","Góða nótt","Alda Music",14,17,168,"18472"
19,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,23,46,"18194"
20,"spotify:track:1sgn8wmK2kuJrF9ppsnH2F","Hafdís Huld","Frost er úti fuglinn minn","Alda Music",17,21,162,"17712"
21,"spotify:track:5faV3B9PfIOabLD8PPUAxo","BRÍET","Dýrð í dauðaþögn","One Little Independent",4,18,27,"17423"
22,"spotify:track:2q2cdTPrbgWSxLFFXjjaoO","Hafdís Huld","Bí bí og blaka","Alda Music",18,22,172,"17377"
23,"spotify:track:51J0zLsmKb265vmylOJGMr","Hafdís Huld","Sofðu","Alda Music",18,24,160,"17368"
24,"spotify:track:6Vd8hxisvvbtZloYVH5kAo","Bubbi Morthens, Auður","Tárin falla hægt","Alda Music",1,19,21,"17001"
25,"spotify:track:5TBNZCGMR1NJtJrrg606m0","Hafdís Huld","Nóttin læðist inn","Alda Music",18,25,162,"16880"
26,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",26,37,5,"16796"
27,"spotify:track:3LP5YM7IMwmffWXPE1VBf1","Hafdís Huld","Sólskin","Alda Music",14,27,170,"16260"
28,"spotify:track:6xsUlQIjfduRdQt88yekZ5","Hafdís Huld","Þú ert","Alda Music",23,28,156,"15731"
29,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",11,26,9,"15287"
30,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",13,30,17,"14819"
31,"spotify:track:38KOnmdRLQrizMIFHIwuOA","Emmsjé Gauti","Klisja","Emmsje ehf",14,29,18,"14788"
