rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0mHC3BK9vFGoEU0EcGPWRZ","Lazza","CENERE","Universal Music Italia srL.",1,11,2,"13399252"
2,"spotify:track:42koUxIEdY4kVqcLRjp6uE","Mr.Rain","SUPEREROI","Atlantic/WM Italy",2,5,2,"9119595"
3,"spotify:track:2a3mQSOYa91goACTglQ6Rz","Marco Mengoni","Due Vite","Epic",3,6,2,"8350288"
4,"spotify:track:2j8E9m3kDHfxFnGhN4fXaC","Madame","IL BENE NEL MALE","Universal Music Italia srL. (Sugar)",4,22,2,"7036027"
5,"spotify:track:35BICD5dEJLVicj9cV0jhe","Rosa Chemical, Bdope","MADE IN ITALY","Universal Music Italia srL.",5,41,2,"5656354"
6,"spotify:track:74cyFjvgjyiFiQ3QxszFWq","Tananai","TANGO","Universal Music Italia srL.",6,40,2,"5571541"
7,"spotify:track:1Zr8LezOCv9IKPm9cwN27F","Elodie","Due","Universal Music Italia srL.",7,14,2,"4862765"
8,"spotify:track:7EZcLhi3EhKMb408cHOQOU","Colapesce, Dimartino","Splash","RCA Numero Uno",8,39,2,"4280534"
9,"spotify:track:3slQ550jA1udn2keXTvu1U","Ultimo","Alba","Ultimo Records",9,15,2,"4233798"
10,"spotify:track:59nchDV5vZqIP0m1DgpSuS","Mara Sattei","Duemilaminuti","Columbia",10,18,2,"3978059"
11,"spotify:track:5eNBwkUW7ZojK8q0vsH6TD","Coma_Cose","L'ADDIO","Asian Fake",11,16,2,"3789785"
12,"spotify:track:2x9GwGubDShXuI7aWGX03J","Paola & Chiara","Furore","Columbia",12,58,2,"3787084"
13,"spotify:track:5coGRpcrHdoLBuTLAeKGxu","ARIETE","MARE DI GUAI","Universal Music Italia srL.",13,21,2,"3329891"
14,"spotify:track:4JMUDnSDAeMQ2a3BwbxsxC","Olly","Polvere","Epic",14,32,2,"2783760"
15,"spotify:track:2Iu0yOaTZngkVbWGz65TeK","gIANMARIA","MOSTRO","Epic",15,28,2,"2782443"
16,"spotify:track:5pFKuNJdKLyMceZuopqVFF","BLANCO","L'Isola Delle Rose","Universal Music Italia srL.",4,4,3,"2755008"
17,"spotify:track:1xUnvxp9DFrpwXnO0RHKUp","Guè, ANNA, Sfera Ebbasta","Cookies N' Cream (feat. ANNA & Sfera Ebbasta)","Universal Music Italia srL.",1,1,5,"2684272"
18,"spotify:track:3ohY8vvPOrkBUM5LivS0Cg","Levante","Vivo","Parlophone/WM Italy",18,109,2,"2485554"
19,"spotify:track:6V56v1doz8vc9tVXgY4HXY","Articolo 31","UN BEL VIAGGIO","Columbia",19,96,2,"2231886"
20,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,7,30,"2115362"
21,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",1,3,5,"2080476"
22,"spotify:track:4midGjEpVz0mYkIdQMFX3l","Geolier, Lazza, Takagi & Ketra","CHIAGNE (feat. Lazza & Takagi & Ketra)","Columbia",1,12,16,"2071190"
23,"spotify:track:72FMKiJcDj3jjUFJgLvZ5Q","Giorgia","parole dette male","Microphonica S.r.l.",23,125,2,"2064580"
24,"spotify:track:2E32Pv8w20r6ZH4oFecxOf","Geolier, Sfera Ebbasta","X CASO (feat. Sfera Ebbasta)","Columbia",1,8,6,"2015509"
