rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4PGzoH4hL1vORGOTxHdWjB","INSTASAMKA","ЗА ДЕНЬГИ ДА","NaMneCash Music",1,1,12,"162437"
2,"spotify:track:3b1csq4T7y11X9WSAweCB4","Bakr","Эталон красоты","Infinity Music",1,2,26,"102462"
3,"spotify:track:0dY8qhMk6KOxw51j36GtlM","Ulukmanapo, Bakr","Расстояние","Infinity Music",1,3,39,"88487"
4,"spotify:track:1Y3yCJ0YaoiNvicBkBJjXf","Jah Khalib","Доча","Jah Khalib/МММ",1,4,11,"87187"
5,"spotify:track:33r51tO7fefxJw4dKsY1qa","V $ X V PRiNCE","Мурашки","Студия СОЮЗ",3,5,29,"81682"
6,"spotify:track:6z3RBRZVdV34ZjFKgjmDXA","Bakr","Вредина","Infinity Music",3,7,29,"73975"
7,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",6,6,29,"70843"
8,"spotify:track:41gRAnGJ3hyF0GLMe4Rx4h","Bonapart","Алмата-Семей","Rhymes Music Inc.",7,8,31,"68179"
9,"spotify:track:0R848ny5sEpVuR1tMXZNFr","INSTASAMKA","КАК MOMMY","NaMneCash Music",4,9,8,"65512"
10,"spotify:track:1iBDgZDBkV8LTjFbNDcvOO","Xcho","Про любовь","Glass Cage",3,11,32,"61462"
11,"spotify:track:4LuV1V6PIz1FWv1ajY6OkO","Ayau","sybyrlaiyn <3","Закрытый клуб",4,14,18,"58779"
12,"spotify:track:75C98tVaHUtjYZTIcy9U7U","Xcho","Ты и Я","Glass Cage",3,10,47,"57308"
13,"spotify:track:61LzrwAFSbIob0mW0bQYNR","akha","Insomnia","Akha",7,13,8,"56948"
14,"spotify:track:7itGrDB969S4fJc4GDodiA","INSTASAMKA","POPSTAR","NaMneCash Music",1,17,22,"56777"
15,"spotify:track:3qPi9H4HOdYIl9Lr4WPLJU","Bakr","Очи","Infinity Music",11,12,40,"56226"
16,"spotify:track:1vievxaPscSfHvaduvcSE2","V $ X V PRiNCE, Кисло-Сладкий & Bonah","Дом 50","Студия СОЮЗ",16,20,29,"55634"
17,"spotify:track:2M0GvCcAMNNvhcnIIY0BnP","MEREY","Betperde","ÕZEÑ",12,16,7,"54829"
18,"spotify:track:5oDzu4mpi13XnbBteabhYF","V $ X V PRiNCE","Суета","Vernый",3,23,38,"52872"
19,"spotify:track:1P9oRiZJWnxe2pZmYUZ5eC","Skryptonite","Это любовь","Gazgolder Records",19,24,53,"52834"
20,"spotify:track:2DHX9faMGUQQTwD1Ot4ch2","INSTASAMKA","MONEYKEN LOVE","NaMneCash Music",1,19,32,"52527"
21,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",12,21,11,"51157"
22,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",9,15,5,"51038"
23,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",1,22,18,"50492"
24,"spotify:track:5AYJuHpCgVxS9742DWvYUk","coldcore","Revelations","SAVAGE$TATION",18,18,29,"48763"
25,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",5,25,43,"48334"
26,"spotify:track:47LveuCJ6HyDnddF5b659S","V $ X V PRiNCE, Taspay","Ойлаш","Студия СОЮЗ",26,28,16,"48258"
27,"spotify:track:4TQfMvGF7yMIspZ0CNLaCu","Hiro","Особа крутая","Media Land",15,29,37,"47979"
28,"spotify:track:4oHEJ5KPf9hW1pDyQYIRIw","Aarne, BUSHIDO ZHO, ANIKV","Тесно","AA Team",1,38,28,"46590"
29,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",25,30,9,"45900"
30,"spotify:track:5ra09IpXEagKCe9n1Zcb7x","Qanay, ALI","Lolly","Triple A",17,36,25,"45426"
31,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",8,33,53,"45000"
32,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",6,34,53,"44735"
33,"spotify:track:5i3H6himHZaKZT3Dk8lr8Z","Bakr","Сирень","Infinity Music",8,35,42,"44575"
34,"spotify:track:2uHjk6Eska0jA0dsMY7vBr","Rusha, M'Dee","Qolshatyr","Закрытый клуб",22,31,8,"43928"
35,"spotify:track:3e4Oiy7Cx0QYelNNPdqJoi","V $ X V PRiNCE, De Lacure","Су","Студия СОЮЗ",35,43,29,"43501"
36,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",30,40,41,"43180"
37,"spotify:track:675AarEBSWDwtxNaiIvNYX","Bakr","За любовь","Infinity Music",25,26,20,"43148"
38,"spotify:track:4e7aAr4YOn5inSXdXn05ZB","Xcho, Ramil'","Январь","Glass Cage",38,42,4,"42909"
39,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",39,-1,1,"42733"
40,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",5,39,13,"42569"
41,"spotify:track:0o9zmvc5f3EFApU52PPIyW","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",6,37,25,"41800"
42,"spotify:track:7mLWNwcvwRdEviz6SfYp8A","g3ox_em","GigaChad Theme - Phonk House Version","g3ox_em",42,47,17,"41498"
43,"spotify:track:3ACYaC2pM4wA1KFIj0Fyk9","ELMAN, MONA","Черная любовь","RAAVA MUSIC",19,32,28,"41060"
44,"spotify:track:4V6xeXI8PvKDj9y9E6QWJY","Bakr","Ойлорумда","Curltai Music",34,45,22,"41041"
45,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",5,27,21,"40802"
46,"spotify:track:1P2goYva6Y2MYM9mPMcYKh","Bakr","Статус души","Infinity Music",13,41,43,"39639"
47,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",47,48,34,"39274"
48,"spotify:track:47vnQjxyQYM30wkZTgTIpO","Duman","Жіберем қалай?","Turan Media",5,44,33,"38993"
49,"spotify:track:01ovvmz6UHFeuCh6pLcBe4","V $ X V PRiNCE, Tony Tonite","Карусель","Студия СОЮЗ",22,46,23,"38470"
50,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",50,56,36,"37702"
51,"spotify:track:1tVJ6OAOSN5D7e0kwrhdqc","Irina Kairatovna, Shiza","Kõk tu","ГОСТ",1,50,48,"37606"
52,"spotify:track:4woTEX1wYOTGDqNXuavlRC","Eminem, Dina Rae","Superman","Aftermath",6,51,30,"34388"
53,"spotify:track:4g22x3fIQVUlY39ICUBB7Z","Big Baby Tape, Aarne","HOODAK MP3","Effective Records",49,49,3,"34086"
54,"spotify:track:7biChppM3c8q7qcVl7ceb2","FACE","ЛАБИРИНТ","Face",9,57,52,"33726"
55,"spotify:track:43wgyQXc2M9KmTDUqVzugM","MiyaGi & Endspiel, Rem Digga","I Got Love","Hajime Records",23,58,53,"33607"
56,"spotify:track:4SoNwm8ceBTUWdE5Ua5dxF","Irina Kairatovna","5000","ГОСТ",7,54,53,"33486"
57,"spotify:track:4vGLXaEI5rIWrudvqqt4CV","Xcho, timmate, Пабло","Нарекай","Effective Records",54,55,4,"33180"
