rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"107327"
2,"spotify:track:6daToaVPOx55J5gGLgy7B0","Jessica Shy","Dėl Tavęs","OpenPlay",2,2,4,"73896"
3,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",3,25,2,"57118"
4,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",2,3,10,"48449"
5,"spotify:track:6RmV54gl0nByycqhTajiiZ","Jessica Shy, Nombeko Auguste","Tyliai Pakuždėk","OpenPlay",1,7,45,"41139"
6,"spotify:track:39kSk40grKRucDyfLx4Cjf","Remis Retro, YVA","Panelė Verta Milijono","Universal Music Oy",1,8,13,"41019"
7,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,4,11,"40930"
8,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,6,46,"40781"
9,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",3,12,15,"36422"
10,"spotify:track:149qQkZez6yujONJspKw7U","Jessica Shy","Šokam Lėtai","OpenPlay",1,10,57,"36328"
11,"spotify:track:4SA3hKVvIbnDWjwH1Hnp1C","dj nevykele","aerobika","4023789 Records DK",1,11,33,"35601"
12,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",5,9,12,"35159"
13,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,13,25,"33162"
14,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,5,21,"32351"
15,"spotify:track:4FyesJzVpA39hbYvcseO2d","Lil Uzi Vert","Just Wanna Rock","Generation Now/Atlantic",15,23,17,"30373"
16,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",1,14,21,"30286"
17,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",17,37,5,"29618"
18,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",12,17,26,"28595"
19,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",5,18,37,"27503"
20,"spotify:track:1RVJAcgtIaXuUzAqCXwsh0","Gabrielė Vilkickytė","širdies","Gabrielė Vilkickytė",20,-1,1,"27130"
21,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",16,16,15,"26829"
