rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"57506"
2,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",2,21,2,"40452"
3,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",2,3,10,"31932"
4,"spotify:track:2XhLiOVoMTWR0LNkvVEYA5","Sudden Lights","Aijā","Sudden Lights",4,92,2,"29138"
5,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,4,11,"28065"
6,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",1,5,15,"27990"
7,"spotify:track:4PGzoH4hL1vORGOTxHdWjB","INSTASAMKA","ЗА ДЕНЬГИ ДА","NaMneCash Music",3,7,12,"27361"
8,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,6,25,"26305"
9,"spotify:track:4FyesJzVpA39hbYvcseO2d","Lil Uzi Vert","Just Wanna Rock","Generation Now/Atlantic",9,11,17,"26301"
10,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",10,-1,1,"25772"
11,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,2,21,"25419"
12,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",8,10,12,"24830"
13,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,9,46,"24773"
14,"spotify:track:4g22x3fIQVUlY39ICUBB7Z","Big Baby Tape, Aarne","HOODAK MP3","Effective Records",3,8,3,"21089"
15,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",1,13,21,"20449"
16,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",11,12,10,"20308"
17,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",4,16,209,"20032"
18,"spotify:track:1bDbXMyjaUIooNwFE9wn0N","Drake, 21 Savage","Rich Flex","OVO / Republic Records",1,14,15,"19951"
19,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",3,19,36,"19773"
20,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",3,15,19,"19611"
21,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",21,40,4,"18871"
22,"spotify:track:0R848ny5sEpVuR1tMXZNFr","INSTASAMKA","КАК MOMMY","NaMneCash Music",8,20,7,"18808"
23,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",16,17,26,"18676"
24,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",3,18,108,"18619"
25,"spotify:track:68Dni7IE4VyPkTOH9mRWHr","J. Cole","No Role Modelz","Roc Nation Records LLC",14,22,285,"18612"
26,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",9,23,38,"17813"
27,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",19,25,41,"17132"
28,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",13,24,24,"16764"
29,"spotify:track:7MXVkk9YMctZqd1Srtv4MB","The Weeknd, Daft Punk","Starboy","Universal Republic Records",1,32,81,"16728"
30,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",26,27,13,"16670"
31,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",29,29,31,"16636"
32,"spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j","Metro Boomin, Future, Chris Brown","Superhero (Heroes & Villains) [with Future & Chris Brown]","Republic Records",17,44,11,"16415"
33,"spotify:track:7DbdUf8aHSYoliSjO6LZv6","Beach Weather","Sex, Drugs, Etc.","8123 / Arista Records",10,28,37,"16353"
34,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",23,26,21,"16200"
35,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",20,35,27,"15880"
36,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",4,34,49,"15845"
37,"spotify:track:0FA4wrjDJvJTTU8AepZTup","Lil Uzi Vert, sped up nightcore, ARIZONATEARS","Watch This - ARIZONATEARS Pluggnb Remix","sped up nightcore",37,-1,1,"15784"
38,"spotify:track:5gDWsRxpJ2lZAffh5p7K0w","The Weeknd, Lana Del Rey","Stargirl Interlude","Universal Republic Records",38,39,37,"15676"
39,"spotify:track:4lLmG1fatRUgnRz0Ol0WUi","JAY-Z, Kanye West, Mr Hudson","Why I Love You","Roc Nation/RocAFella/IDJ",39,62,3,"15380"
40,"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","XXXTENTACION","Revenge","Bad Vibes Forever / EMPIRE",17,30,91,"14998"
41,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",3,41,17,"14871"
42,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",37,38,24,"14832"
43,"spotify:track:5FkJHVudUByVjanCqFXRql","Mr.Kitty","After Dark","Negative Gain Productions",15,46,84,"14796"
44,"spotify:track:6Ox1rvlwEpB49drasQm6RF","Lil Peep","Star Shopping","Lil Peep",25,43,186,"14731"
45,"spotify:track:4oHEJ5KPf9hW1pDyQYIRIw","Aarne, BUSHIDO ZHO, ANIKV","Тесно","AA Team",1,50,28,"14598"
46,"spotify:track:02MWAaffLxlfxAUY7c5dvx","Glass Animals","Heat Waves","Polydor Records",1,42,114,"14504"
47,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",47,48,12,"14300"
48,"spotify:track:1cKHdTo9u0ZymJdPGSh6nq","The Weeknd, Gesaffelstein","I Was Never There","Universal Republic Records",24,51,42,"14285"
49,"spotify:track:4k6Uh1HXdhtusDW5y8Gbvy","Steve Lacy","Bad Habit","L-M Records/RCA Records",5,45,32,"14158"
50,"spotify:track:3AVrVz5rK8Hrqo9YGiVGN5","Cigarettes After Sex","Apocalypse","PTKF",29,52,61,"14155"
51,"spotify:track:11BKm0j4eYoCPPpCONAVwA","Lady Gaga","Bloody Mary","Interscope",6,47,12,"14080"
52,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",32,36,13,"14075"
53,"spotify:track:7lQ8MOhq6IN2w8EYcFNSUk","Eminem","Without Me","Aftermath",26,55,105,"14046"
54,"spotify:track:37F7E7BKEw2E4O2L7u0IEp","Freddie Dredd","Limbo","Doomshop Records/RCA Records",8,53,15,"13876"
55,"spotify:track:1xzi1Jcr7mEi9K2RfzLOqS","Beyoncé","CUFF IT","Parkwood Entertainment/Columbia",20,49,22,"13796"
56,"spotify:track:6b37xrsNCWYIUphFBazqD6","Manu Chao","Me Gustas Tu","Radio Bemba",54,54,9,"13640"
57,"spotify:track:2HbKqm4o0w5wEeEFXm2sD4","Kendrick Lamar, Jay Rock","Money Trees","Aftermath",31,59,133,"13627"
58,"spotify:track:3RKjTYlQrtLXCq5ncswBPp","Baby Tate","Hey, Mickey!","Yung Baby Tate",13,31,5,"13591"
59,"spotify:track:4woTEX1wYOTGDqNXuavlRC","Eminem, Dina Rae","Superman","Aftermath",31,57,31,"13577"
60,"spotify:track:3hxIUxnT27p5WcmjGUXNwx","Hotel Ugly","Shut up My Moms Calling","Hotel Ugly, under exclusive license to Amuseio AB",29,33,22,"13119"
61,"spotify:track:7itGrDB969S4fJc4GDodiA","INSTASAMKA","POPSTAR","NaMneCash Music",1,58,22,"12909"
62,"spotify:track:6IyoLWzljeR3ldQo4KWHT6","Yeat","Out thë way","Field Trip Recordings/Geffen Records",61,63,11,"12876"
63,"spotify:track:2K7xn816oNHJZ0aVqdQsha","The Neighbourhood","Softcore","Columbia",3,60,59,"12807"
64,"spotify:track:58ge6dfP91o9oXMzq3XkIS","Arctic Monkeys","505","Domino/Warner Records",20,67,78,"12571"
65,"spotify:track:3cJjqvXbFwiWgnuWgoyhPM","Steve Lacy","Dark Red","Three Quarter",24,87,80,"12498"
66,"spotify:track:3uUuGVFu1V7jTQL60S1r8z","Lost Frequencies, Calum Scott","Where Are You Now","Epic Amsterdam",5,68,76,"12353"
67,"spotify:track:7yq4Qj7cqayVTp3FF9CWbm","Vance Joy","Riptide","Atlantic Records",48,70,289,"12318"
68,"spotify:track:086myS9r57YsLbJpU0TgK9","Arctic Monkeys","Why'd You Only Call Me When You're High?","Domino Recording Co",25,65,120,"12246"
69,"spotify:track:4sx6NRwL6Ol3V6m9exwGlQ","The Kid LAROI","Love Again","Columbia",37,37,3,"12178"
70,"spotify:track:3F5CgOj3wFlRv51JsHbxhe","Drake, 21 Savage","Jimmy Cooks (feat. 21 Savage)","OVO",5,66,35,"11990"
71,"spotify:track:0fyfPkT2929pU4hsqJqp7y","Mauku Sencis, Grandmasters Neons","Piepist Seju","Pis Pa Skapi Records",4,94,32,"11927"
72,"spotify:track:21rYCEejlfM0LYRlfzxGeM","Lovejoy","Call Me What You Like","Anvil Cat Records",72,-1,1,"11769"
73,"spotify:track:6EtKlIQmGPB9SX8UjDJG5s","Labrinth","Formula","Masterworks",11,74,83,"11758"
74,"spotify:track:3yfqSUWxFvZELEM4PmlwIR","Eminem","The Real Slim Shady","Interscope",45,76,99,"11706"
75,"spotify:track:4VXIryQMWpIdGgYR4TrjT1","Juice WRLD","All Girls Are The Same","Juice WRLD Mixtape / ISR P&D",41,101,137,"11687"
76,"spotify:track:4EWCNWgDS8707fNSZ1oaA5","Kanye West","Heartless","Roc-A-Fella",66,95,38,"11623"
77,"spotify:track:3YUpElHV3qtXmraZXkbeaB","Sudden Lights","Laternas","Sudden Lights",77,-1,2,"11622"
78,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",28,71,17,"11599"
79,"spotify:track:31mzt4ZV8C0f52pIz1NSwd","Hotel Ugly","Shut up My Moms Calling - (Sped Up)","Hotel Ugly, under exclusive license to Amuseio AB",36,56,8,"11597"
80,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",23,61,5,"11568"
81,"spotify:track:2wGSgTmgSF3xjRrHkTc25R","The Game, 50 Cent","Hate It Or Love It","Geffen",6,77,34,"11527"
82,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",34,106,10,"11485"
