rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2L1MgWewnKsCx9MKykjZJw","Dizzy DROS","M3a L3echrane","Independent",1,-1,1,"379971"
2,"spotify:track:7AM2uga26rlhKu1a27MyFS","Draganov","WILI","CHBK",2,-1,1,"308176"
3,"spotify:track:3ejjmzEsUfObGdmmQRVmM2","Niro, ElGrandeToto","Qui sait ? (feat. ElGrandeToto)","Ambition Music",3,-1,1,"172302"
4,"spotify:track:6vEtT2Vu5MprdI69pATbLm","Mocci","Talet Lghiba","SSC Music",1,1,12,"131605"
5,"spotify:track:0SUlLkixUcXSZeYaCatnZP","7ari","Vvs","Zayn Corporation",1,3,6,"118959"
6,"spotify:track:5IJRqarA4QIc2qAw74mYo9","DYSTINCT, Bryan Mg","Ghazali (feat. Bryan Mg)","Avalon Music",1,2,37,"102358"
7,"spotify:track:5OInx13SpghEifbS5bQmwq","Snor","Dawk Lya","3786579 Records DK",7,8,74,"100465"
8,"spotify:track:5zgOQGcG0oTDUQVc45q1BY","kouz1","Love","SSC Music",4,4,5,"93028"
9,"spotify:track:5uFJwscfsYN5NFL7bUl3p3","ElGrandeToto","Silhouette","BNJ CITY BLOCK",1,6,14,"91544"
10,"spotify:track:7f783hK2ilf4bwfayaNvdB","Mons","Lovini","Othmane sakhi",4,5,49,"86319"
11,"spotify:track:6h8Q07MtQBabHOjObg1a57","ElGrandeToto","Gueule tapée","RCA Group",1,9,28,"83839"
12,"spotify:track:6L1hnXrPSKAoOFmdOA8ANa","kouz1","Magic","SSC Music",1,7,48,"81787"
13,"spotify:track:2Vr7Qvt5a9f6W9m6ifke4K","ElGrandeToto, Ayra Starr","Comforter (feat. Ayra Starr)","RCA Group",2,10,32,"78325"
14,"spotify:track:5ovEmtHmbmWmmN1jeoJAyP","Bo9al","SME3NI","Lkwan City",14,34,2,"76078"
15,"spotify:track:0tfrAZsEOELEAcjCs46TJ5","Draganov","Taline","Mr-draganov",2,13,52,"75168"
16,"spotify:track:3hjXb9FRFRt7H13KlNhGPA","7ari","Kima Bakri","Zayn Corporation",2,12,6,"71694"
17,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",11,11,7,"71002"
18,"spotify:track:0Iu2Jrfy91hMgIUtS9FFIX","Dollypran","Rosita","B13SAVAGE",7,49,31,"70667"
19,"spotify:track:6mKrkIikIDiBRC9ZqjbeNl","Inkonnu","BREDA","1546531 Records DK",1,27,55,"68011"
20,"spotify:track:1gq11LOJxrQob0EsPRwAMm","Draganov, Inkonnu","Lbaroud","Mr-draganov",1,14,72,"65809"
21,"spotify:track:7MahBaXzhvYCL7w9wXF4Wx","Draganov","CHICHI","Draganov",1,20,31,"62415"
22,"spotify:track:357H2ZL3Ml7OH0MCrp4mwi","L'morphine","Sucré Salé","lmorphine",5,24,61,"59285"
23,"spotify:track:1xs8bOvm3IzEYmcLJVOc34","Ayra Starr","Rush","Mavin Records",15,15,10,"59187"
24,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",13,16,5,"54611"
25,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",9,17,11,"52955"
26,"spotify:track:0zzrAsIPYKENTWOwZqYjYp","Mohammed Saeed","Alo Aleky","Modissa - Mohammed Saeed",18,19,6,"50633"
27,"spotify:track:3nMLSphMk9zGtpJCB1zm8K","Vargas","DIFFERENT V2","VARGAS ©",27,-1,1,"50450"
28,"spotify:track:5isvUTOCs9UNdwBR8e8oGE","ElGrandeToto","7elmet ado 6","BNJ CITY BLOCK",11,18,6,"49664"
29,"spotify:track:6Cz19JJwGyVgvYS04kMdSi","Lartiste","00:00","Zayn Corporation",4,23,18,"48170"
30,"spotify:track:4ERqimtfCADVUI256ishDr","Draganov","FORSSA","Draganov",5,51,16,"47776"
31,"spotify:track:0jqUiExctgLt7bcghvD7Kw","Manal","Makhelaw magalou","Bench & Guess Entertainment",2,44,33,"47713"
32,"spotify:track:6bgI3JZPDLm6gDE75utatQ","Baby Gang","Mentalité","Atlantic/WM Italy",22,22,22,"47278"
33,"spotify:track:7syDtybPIIxoR1jvz6w8nI","MA3IZ","JRO7I","MA3IZ",3,21,35,"47013"
34,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",20,26,18,"46974"
35,"spotify:track:40jfMLYNI2KujchwoPwc0a","Mons","Iori 5","saroute muzik",4,46,8,"46966"
36,"spotify:track:5TS6S3z1cmGEe9jVHXcP8o","Don Bigg, Reda Taliani","L'Étranger","DBF",1,29,19,"46763"
37,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",25,30,10,"46700"
38,"spotify:track:1EYeZGTMCjV7uVey5fNWXM","CKay, ElGrandeToto","love nwantiti (feat. ElGrande Toto) - North African Remix","WM South Africa",1,25,130,"46540"
39,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",3,28,25,"43581"
40,"spotify:track:78N2ZYtm1Lk5KHMZcGu4MX","L'morphine","Sparadra","lmorphine",1,56,41,"42696"
41,"spotify:track:186NCtNk1tUYS7c2DxgJ7O","V","Christmas Tree","MOST CONTENTS",4,35,53,"42068"
42,"spotify:track:2ieat98TO6yujpLeTsb9U4","7ari, Lartiste","Maria","Zayn Corporation",4,31,6,"42027"
43,"spotify:track:1ThaPy4W188i5SFdjXl64J","Demi Portion, ElGrandeToto","Casablanca","La bulle corporation",2,32,41,"41343"
44,"spotify:track:39EXZNMxb4RBHlRjnRaOKp","V","Sweet Night","(주)블렌딩",7,42,54,"41040"
45,"spotify:track:6AbdVUwJ7z0xqjZh9HQ9vV","Vargas","ØKHØWA Pt. 2","VARGAS ©",19,43,3,"41005"
