rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,1,10,"847927"
2,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",2,2,7,"646902"
3,"spotify:track:6dXiWwFrcGieqnoLYzPNp5","Mahalini","Sial","Hits records",3,16,3,"576802"
4,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",2,3,9,"566066"
5,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",2,4,19,"500594"
6,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",1,5,25,"481940"
7,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",2,6,5,"458651"
8,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",7,7,7,"418886"
9,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",3,8,11,"390418"
10,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",8,9,10,"388477"
11,"spotify:track:3i0h88q1HBtbdIg2bPxs54","Awdella","Tertawan Hati","Hits records",9,10,16,"374598"
12,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",8,11,77,"333570"
13,"spotify:track:4z6FksNI6MLCDTHrNJXhO0","Mario G klau","Semata Karenamu","Mario G Klau",11,13,13,"330630"
14,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",12,12,29,"312078"
15,"spotify:track:6raMBnVBIvvUngMLyDdzyP","Fabio Asher","Rumah Singgah","Fabio Asher",3,14,40,"308340"
16,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",8,17,10,"302439"
17,"spotify:track:50x1Ic8CaXkYNvjmxe3WXy","New West","Those Eyes","Republic Records",12,19,21,"297232"
18,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,22,46,"280870"
19,"spotify:track:2CJvBRL5ZevYir3mbFdcm6","Dalia Farhana","Langit Yang Sama","Universal Music Sdn Bhd - Distributed Labels",19,-1,1,"275930"
20,"spotify:track:4ewazQLXFTDC8XvCbhvtXs","Joji","Glimpse of Us","88rising Music/Warner Records",1,18,36,"274671"
21,"spotify:track:6Iq3sgLVrqqZfRitLaeHkn","Mahalini","Sisa Rasa","Hits records",21,24,57,"269127"
22,"spotify:track:0o9zmvc5f3EFApU52PPIyW","Fujii Kaze","Shinunoga E-Wa","Universal Music LLC",6,21,27,"264605"
23,"spotify:track:6u2B9FZFAEFKEQhSWhKg4z","Masdo","Inilah JalanNya","WM Malaysia",23,62,5,"260443"
24,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",11,20,10,"255990"
25,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",4,15,21,"250077"
26,"spotify:track:1b0aDgrG775i4sPQgJGmkU","Keisya Levronka","Tak Ingin Usai","PT. Universal Music Indonesia",2,23,38,"243743"
27,"spotify:track:1xK59OXxi2TAAAbmZK0kBL","d4vd","Romantic Homicide","Darkroom/Interscope Records",14,26,25,"243040"
28,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,25,17,"241657"
29,"spotify:track:0otRX6Z89qKkHkQ9OqJpKt","James Arthur","Car's Outside","Columbia Local",29,45,6,"226369"
30,"spotify:track:08MFgEQeVLF37EyZ7jcwLc","Zack Tabudlo","Pano","Universal Music Philippines Inc.",20,30,15,"219444"
31,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",26,28,22,"217559"
32,"spotify:track:2eAvDnpXP5W0cVtiI0PUxV","Ruth B.","Dandelions","Columbia",5,33,102,"216281"
33,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",6,32,17,"213186"
34,"spotify:track:26hOm7dTtBi0TdpDGl141t","Joji","Die For You","88rising Music/Warner Records",1,31,15,"212036"
35,"spotify:track:5XeFesFbtLpXzIVDNQP22n","Arctic Monkeys","I Wanna Be Yours","Domino Recording Co",26,29,32,"212026"
36,"spotify:track:0QzuaeCEEOV40Pn7IvKEny","dhruv","double take","Little Worry/RCA Records",3,27,93,"210466"
37,"spotify:track:6VhuP99TE6gYNQRJIlAWFD","Stephen Sanchez","Until I Found You","Republic Records",3,47,41,"204102"
38,"spotify:track:7gRFDGEzF9UkBV233yv2dc","BLACKPINK","Shut Down","YG Entertainment/Interscope Records",1,34,22,"203786"
39,"spotify:track:4fsQ0K37TOXa3hEQfjEic1","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",19,35,18,"201405"
40,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",8,43,37,"199649"
41,"spotify:track:6I3mqTwhRpn34SLVafSH7G","Justin Bieber","Ghost","RBMG/Def Jam",1,39,72,"197508"
42,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",11,40,16,"196400"
43,"spotify:track:5Odq8ohlgIbQKMZivbWkEo","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",2,41,34,"194366"
44,"spotify:track:61AZsmFB3VoJdmraMk5ZSn","TAEYANG, Jimin","VIBE (feat. Jimin of BTS)","THEBLACKLABEL/Interscope Records",12,36,5,"193032"
