rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:5V9XFfvCG4WP5ZdISOLvaF","Ayra Starr","Sability","Mavin Records",1,-1,1,"486319"
2,"spotify:track:1wADwLSkYhrSmy4vdy6BRn","Omah Lay","soso","Sire",1,2,31,"307265"
3,"spotify:track:7ErtOGQ9DwyQa3lwP77j4u","Ruger","Asiwaju","Columbia",1,3,14,"277315"
4,"spotify:track:79xHOEYZKZEj6fPkmhQboa","Asake","Yoga","YBNL Nation / EMPIRE - Asake",1,1,3,"276907"
5,"spotify:track:50Fnn6VgRmPXcCKKBFUxm0","Spyro","Who Is Your Guy?","Azuri",5,7,4,"205331"
6,"spotify:track:5F4OfeowSReF93KcH2eUcG","Young Jonn","Xtra Cool","Chocolate City Music",1,4,21,"204681"
7,"spotify:track:7wMYtt3SEquaep8sWCdQqp","Khaid","Jolie","NEVILLE RECORDS",7,12,4,"202190"
8,"spotify:track:7zhLSGUbneW7Tm3wpp3HjY","Rexxie, Naira Marley, Skiibii","Abracadabra","HitxlabNG / Dvpper Music",4,5,16,"197321"
9,"spotify:track:59VpttBOjuFDpOOdqeTDiI","Young Jonn, Olamide","Currency","Chocolate City Music",9,94,2,"195542"
10,"spotify:track:5FCS33n2pWeNBFjQpwKaiH","Boy Spyce","Folake","Mavin Records",10,18,3,"194546"
11,"spotify:track:0AoBY2Y3qs6dtGgOD6c91N","Burna Boy","Alone","Roc Nation/Def Jam/Hollywood",9,9,15,"188447"
12,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",6,11,9,"171584"
13,"spotify:track:4Mlgf7GD6bbx09N4uxqU3S","Wande Coal, Olamide","Kpe Paso","Starstruck Management / EMPIRE",8,8,3,"170961"
14,"spotify:track:4iL7caaYvGopP9d6hdlMAi","Zinoleesky","Personal","Marlian Music",2,10,9,"163898"
15,"spotify:track:7qcOfwTMGLkzOmC1sIFwfr","Zlatan, Seyi Vibez","Let There Be Light","Zanku Records",6,6,3,"155512"
16,"spotify:track:5ycsqezujKrwviU3VFhci1","Asake","Terminator","YBNL Nation / EMPIRE",1,13,26,"152641"
17,"spotify:track:1lrHmP6m1Qcmhwlg2yrjdU","Joeboy","Body & Soul","emPawa Africa Limited",11,15,4,"149631"
18,"spotify:track:5UwxpuGHkwiojKDaPC5ZNu","Asake","Joha","YBNL Nation / EMPIRE",1,14,24,"148978"
19,"spotify:track:1xs8bOvm3IzEYmcLJVOc34","Ayra Starr","Rush","Mavin Records",1,17,22,"145208"
20,"spotify:track:3IQT2MM49GkXfHF9eemaw5","Victony, Tempoe","Soweto","Encore Recordings",5,19,28,"143621"
21,"spotify:track:2eknBYpfzA4Mp5zWHMGac5","Young Jonn","If You Leave","Chocolate City Music",17,21,17,"138614"
22,"spotify:track:2qWwuCVeMjF9mUT0S5Iqvl","Fireboy DML, Asake","Bandana","YBNL Nation / EMPIRE",1,20,32,"133148"
23,"spotify:track:6wuMo4ZR83PhlhXhJ1S3VY","BNXN fka Buju, Kizz Daniel, Seyi Vibez","GWAGWALADA","T.Y.E. / EMPIRE",23,-1,1,"122170"
24,"spotify:track:5YbPxJwPfrj7uswNwoF1pJ","Burna Boy","Last Last","Spaceship/ Bad Habit/Atlantic Records",1,27,40,"121964"
25,"spotify:track:56iVI65i40FrCO5p382IrK","Seyi Vibez","Chance (Na Ham)","Vibez Inc / Dvpper Music",13,26,16,"120027"
26,"spotify:track:3dQBUVzA9qw3iUOfzRla8T","Mavins, Rema, Boy Spyce, Crayon, Bayanni, Magixx, LADIPOE, Ayra Starr, Johnny Drille","Won Da Mo","Mavin Records",1,25,15,"119767"
27,"spotify:track:47rtDAZmqRUjba0V1en3XY","Kizz Daniel","RTID (Rich Till I Die)","FlyBoy INC / EMPIRE",8,23,6,"118178"
28,"spotify:track:2woGTVY8Vx46aYuXfMmwwE","BNXN fka Buju","Traboski","T.Y.E. / EMPIRE",2,22,12,"113861"
29,"spotify:track:1YUrCnmAEQbdmTeucn3WCl","Bella Shmurda, Omah Lay","Philo","Dangbana Republik",10,31,22,"113857"
30,"spotify:track:2wgvxtggKVzPkl0smF2UzI","Asake","Organise","YBNL Nation / EMPIRE",1,29,24,"112728"
31,"spotify:track:7v6HbQggLsB2UUCqABkJoX","Minz, BNXN fka Buju, Blaqbonez","WO WO (Remix)","NSE Under Exclusive License to emPawa Africa Limited",21,24,4,"112183"
32,"spotify:track:3rmqNsOiGqqvFNTmGlzl4R","Bayanni","Ta Ta Ta","Mavin Records",6,32,11,"112036"
33,"spotify:track:1DA2ADZs6O28y2rmdmpekw","Wizkid, Ayra Starr","2 Sugar (feat. Ayra Starr)","Starboy/RCA Records",1,33,14,"111689"
