rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:17iAh2zKuYtwOSTFvQIYY0","Boef, Lil Kleine, $hirak","Herinnering","BOEFMUSIC",1,-1,1,"3354987"
2,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"1822320"
3,"spotify:track:4fWyBvLIPO68D2Ff87t1em","Maan, Goldband","Stiekem","8ball Music",1,2,15,"1440738"
4,"spotify:track:0LVjBdjZvJykxed42ExTLf","Claude","Ladada (Mon Dernier Mot)","Cloud 9 Digital",1,4,15,"1394372"
5,"spotify:track:323zcUSa2qrq0aUAwL30sT","Zoë Tauran","Therapie","Universal Music, a division of Universal International Music BV",3,3,4,"1365835"
6,"spotify:track:50vXZhuyOfXaEkG3jVacmd","FLEMMING","Paracetamollen","8ball Music",5,5,9,"1146260"
7,"spotify:track:1L8sanepRgDJlQTsPQ4mU1","Boef, Cristian D, $hirak","Probleem","BOEFMUSIC",1,7,6,"1144385"
8,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",8,8,11,"1004978"
9,"spotify:track:0xLnJgUHvPnq6n2ESDSMXF","Bilal Wahib, Fabienne Bergmans","Ik Space","Top Notch Music BV",3,6,5,"932172"
10,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",9,10,13,"928286"
11,"spotify:track:5tiTVSryX1Hu09cPsNvaIR","Suzan & Freek","Slapeloosheid","Sony Music Entertainment",8,12,6,"901000"
12,"spotify:track:4o943cZWj08kb6qSc4UpCt","Ashafar, KA","ZIDANE","Ashafar",12,-1,1,"868903"
13,"spotify:track:2LcmbuYX7tyR4DWy3b273L","Goldband","Noodgeval","Goldband",4,9,28,"862927"
14,"spotify:track:1HFFfvXM13DA5hYt6SjhZj","Vlins, Laura Yasmin","Stemgeluid","LASER [BNL]",11,11,5,"862069"
15,"spotify:track:4mgYtnnm01NgTKLlMpF10h","$hirak, Cristian D, Ronnie Flex, KM, Emms","Baddie","Maison $hirak",14,14,2,"844433"
16,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,15,25,"754927"
17,"spotify:track:5y9KXJV7Gwk3Up34fyPWMr","Boef, KA","Natte Sokken","BOEFMUSIC",8,16,3,"747019"
18,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",16,19,10,"743923"
19,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",17,17,15,"731264"
20,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,13,21,"679917"
21,"spotify:track:3zkyus0njMCL6phZmNNEeN","Central Cee","LET GO","Central Cee",6,20,9,"670948"
22,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",10,18,111,"664246"
23,"spotify:track:4VIehrP2qQjaH2vDyp4G0v","Lusho","New Balance","LASER [BNL]",23,-1,1,"655870"
24,"spotify:track:7Gzz44FpTbZu0DNVVZjwPs","Metejoor, Hannah Mae","Wat Wil Je Van Mij","FruityLabel",24,27,7,"636280"
25,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",25,28,7,"631285"
26,"spotify:track:1aOl53hkZGHkl2Snhr7opL","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",7,21,24,"618420"
27,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",8,24,17,"604267"
28,"spotify:track:1ruXNzERqtHdoXULOAcCsJ","Antoon, Dopebwoy","Meteoriet","Dreamteam",13,23,18,"597193"
29,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",2,22,19,"593127"
30,"spotify:track:65PPYvLLxqXwYEIdpW8fy6","Trobi, Ronnie Flex, Bilal Wahib","Love Song","Trobi Music",3,26,7,"593026"
31,"spotify:track:0JIhRhZPF5j5dx0FGqTWxy","Cian Ducrot","I'll Be Waiting","Polydor Records",25,25,8,"581657"
32,"spotify:track:5YdnOm5990Kfq1Jodws98B","Felix Jaehn, Ray Dalton","Call It Love","Virgin",30,30,9,"575573"
33,"spotify:track:0zKbDrEXKpnExhGQRe9dxt","Tiësto","Lay Low","Musical Freedom",33,36,6,"571520"
34,"spotify:track:1xs8bOvm3IzEYmcLJVOc34","Ayra Starr","Rush","Mavin Records",34,40,6,"569464"
35,"spotify:track:4TT0EXjO9vF3rsYY9fcrV8","Djaga Djaga","Ride Or Die 2","OJ Fam Entertainment",35,-1,1,"564392"
36,"spotify:track:0DDcpc9ImOsGUWupRj2xu5","Kris Kross Amsterdam, Ronnie Flex, Zoë Tauran","Adrenaline","Cloud 9 Digital",5,31,22,"563708"
37,"spotify:track:3K00Ib1shkOEiAXU5pec6e","Lost Frequencies, Elley Duhé, X Ambassadors","Back To You","Epic Amsterdam",30,33,7,"561540"
38,"spotify:track:443rDqZIaqvZzJ1DgdJNgr","Kris Kross Amsterdam, Donnie, Roxeanne Hazes","Der Af (Oya Lélé)","Cloud 9 Digital",38,-1,1,"557261"
39,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",37,37,9,"548388"
40,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",16,29,17,"541121"
41,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",41,128,2,"534097"
42,"spotify:track:1635wWSdp29PO3GxYhy991","Jengi","Bel Mercy","Mad Decent",34,35,10,"521771"
43,"spotify:track:7exHT4swWOKL5addPeqkLP","Måneskin","THE LONELIEST","Epic",29,32,19,"515554"
44,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,38,46,"508155"
