rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"1009184"
2,"spotify:track:6TYFXyFTDZ6qwFPuBJfWpK","Emma Steinbakken, Hver gang vi møtes","Floden","Columbia",1,3,9,"963115"
3,"spotify:track:14LdhxElpZS0rKVV4nxtdA","Alessandra","Queen of Kings","Universal Music AS",2,2,5,"843405"
4,"spotify:track:5WnH3XfHwtR7KH7KfVUDqe","Emma Steinbakken, Hver gang vi møtes","Delilah","Columbia",4,-1,1,"733573"
5,"spotify:track:3mrOghCXTH1wg1JliCHenY","Ballinciaga","En Shot","Virgin Music Label And Artist Services",4,4,2,"679117"
6,"spotify:track:7GZ0lQasbKSKie0I1Bv7Vd","Isah, Maria Mena, Hver gang vi møtes","Alt du vil ha","SDKT Entertainment AS",2,7,7,"572491"
7,"spotify:track:0xbSjXWyD0M1ucTtKHPd2N","JONE, Silke","Ekko inni meg","Tylden",4,6,5,"510381"
8,"spotify:track:7esGcqsNB1vSVAeVDfOW1c","Isah, Hver gang vi møtes","Hopelessly Hopeless","SDKT Entertainment AS",5,8,4,"482719"
9,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",4,10,10,"461998"
10,"spotify:track:4vOoQh9MhS9pyrbvc8LyMz","Zara Larsson","Can't Tame Her","Sommer House/Epic",9,9,3,"458129"
11,"spotify:track:1EWRs6LpS4PL5gTbWaUMs6","Den BB, Oskar Westerlin","HVA SA DU","Universal Music AS Distributed Labels",5,5,2,"426512"
12,"spotify:track:1J6GFv4CtXFuG0Ip7e0OZt","Emma Steinbakken, Hver gang vi møtes","For vår jord","Columbia",12,24,2,"407620"
13,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,13,25,"399082"
14,"spotify:track:6Wu2r3oKnrObZf8a18QVJH","Arif Murakami, Karpe","(Åh) Tåmy, Tåmy - Rifla x Sheriff","Nora Streams",3,11,7,"378348"
15,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",6,14,11,"359814"
16,"spotify:track:0bg4gJlfoDR0ICj58UfmdF","Chris Abolade","Sorry, jeg har pult en annen","WM Norway",9,12,3,"350927"
17,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",7,17,13,"326088"
18,"spotify:track:3aiOu3VFNOD9omIGG7nSq1","Aden Foyer","The Ballet Girl","Columbia",2,19,17,"319162"
19,"spotify:track:28mdpto16dpOw2vl5B4MWi","Broiler, PandaPanda","Det eneste jeg vil er å ha det fett","Sky Music",5,15,8,"317379"
20,"spotify:track:0imwUR7oy4kgX2IjMoLPDy","Henrik von Grogg, Henrik Viken","OPP I BAKKEN","Chinpoko Records",10,16,4,"300786"
21,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",18,21,15,"291806"
22,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",9,22,105,"288965"
23,"spotify:track:3VjEyvyWkd09eE6h1weCfn","Emma Steinbakken, Hver gang vi møtes","Show Me","Columbia",23,32,3,"286341"
24,"spotify:track:0zKbDrEXKpnExhGQRe9dxt","Tiësto","Lay Low","Musical Freedom",17,25,6,"284797"
25,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",25,123,2,"283855"
26,"spotify:track:56kyGGwLIVAR30ZFiASn8Q","Ballinciaga, David Mokel","Dans På Bordet","Virgin Music Label And Artist Services",1,28,53,"260807"
27,"spotify:track:5YdnOm5990Kfq1Jodws98B","Felix Jaehn, Ray Dalton","Call It Love","Virgin",27,30,14,"260539"
28,"spotify:track:5cUqVMM5kxpkud2kKK7LCi","Bjørn Eidsvåg, Hver gang vi møtes","Skal ikke gråte","Columbia",18,26,4,"259316"
29,"spotify:track:6maTPqynTmrkWIralgGaoP","Mae Stephens","If We Ever Broke Up","EMI",29,-1,1,"259205"
30,"spotify:track:4sx6NRwL6Ol3V6m9exwGlQ","The Kid LAROI","Love Again","Columbia",17,20,3,"256973"
31,"spotify:track:6iAzs8DCRsCDkr3UCyptXO","Hkeem, Makosir","Danser videre i livet","RCA Records Label",1,33,16,"244328"
32,"spotify:track:4f3SD5C93R8QXPNmAip2PR","Freddy Kalas, Hver gang vi møtes","Dans","Alter Ego Music",24,29,4,"243425"
33,"spotify:track:1aOl53hkZGHkl2Snhr7opL","Dean Lewis","How Do I Say Goodbye","Universal Music Australia Pty. Ltd.",5,31,24,"242316"
34,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",2,18,21,"240740"
35,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",13,27,8,"239505"
36,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",2,37,46,"236403"
37,"spotify:track:4olmG0sFJ6L0LVI8ssiZFz","vinni","glorie","MER Recordings AS",4,35,62,"212003"
38,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",10,38,21,"207367"
39,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",7,42,17,"206147"
40,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",19,47,9,"205442"
41,"spotify:track:4FWbsd91QSvgr1dSWwW51e","P!nk","TRUSTFALL","RCA Records Label",23,23,3,"204167"
42,"spotify:track:6b02mOA9cRfwiX69pFuXUo","Morgan Sulele, William Gamborg","Oppmerksomhet","RCA Records Label",1,40,14,"203617"
43,"spotify:track:1q5bvHyIeQDzbPTHzmw0ix","Freddy Kalas, Hver gang vi møtes, Timbuktu","Hallo","Alter Ego Music",43,-1,1,"202858"
44,"spotify:track:2NijPPmzSplyT9d4YdeLse","Broiler, Tessa Odden","Rain","Sky Music",31,44,3,"198620"
45,"spotify:track:2coLAzVouJE4BC8lrKbDLk","Karpe, Omar Sheriff","PAF.no","A & K",1,45,55,"196846"
46,"spotify:track:1J96wGoxfB5Wi4cIABwYwF","bibbebaby, Matty.B, Keiser Augustus, PRELLA, minki minaj, Fjernstad","Bundasliga 2023 - Hjemmesnekk","Keiser Augustus",46,52,2,"193385"
47,"spotify:track:3azJifCSqg9fRij2yKIbWz","Tory Lanez","The Color Violet","One Umbrella Records",34,43,20,"192411"
48,"spotify:track:4v8yhLDEcRQ6BynXcCrGMo","Marstein","Frida Kahlo","Def Jam Recordings Norway",1,41,21,"191944"
49,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",31,46,22,"190504"
50,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",50,68,4,"189610"
51,"spotify:track:4Md2DqRJUozRDBnEdDLdz9","Amara","Leve","WM Norway",36,36,2,"163501"
52,"spotify:track:36KK75jbIyYOAyqoB8W064","Ulrikke","Honestly","Ulrikke Records",34,34,6,"159652"
53,"spotify:track:60deDJnxH7G68DwxfbN9aQ","Rike Venner","Tenerife Tapes","Virgin Music Label And Artist Services",26,66,24,"158471"
54,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",40,50,6,"149132"
55,"spotify:track:63W1J9kATzxUMbINhRwn3D","Kris Winther, Dolla$Bae, DJ Black","Barra Brava","WM Norway",34,56,14,"147024"
56,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",9,59,39,"142822"
57,"spotify:track:3h2IRgTZrU4hSNCePszT23","UNDERGRUNN","Italia","UG Records",3,57,46,"141440"
