rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4FAKtPVycI4DxoOHC01YqD","Yandel, Feid","Yandel 150","La Leyenda LLC",1,1,8,"178233"
2,"spotify:track:29epP1fWAPigLlCi0h5iU2","Jossef, Kevin Roldan","Clickiamos","UMLE - Latino",2,-1,1,"149046"
3,"spotify:track:1zsPaEkglFvxjAhrM8yhpr","Ozuna, Feid","Hey Mor","Aura Music Corp.",3,3,19,"130129"
4,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",1,2,6,"119664"
5,"spotify:track:5ww2BF9slyYgNOk37BlC4u","Manuel Turizo","La Bachata","Sony Music Latin/La Industria",1,4,37,"116585"
6,"spotify:track:2CeKVsFFXG4QzA415QygGb","Feid","Feliz Cumpleaños Ferxxo","UMLE - Latino",4,5,26,"112714"
7,"spotify:track:2mnXxnrX5vCGolNkaFvVeM","Arcángel, Bad Bunny","La Jumpa","Rimas Entertainment LLC.",1,6,12,"105712"
8,"spotify:track:3Zyk5Vd9WNPNVWxvb0EZTk","KAROL G, Romeo Santos","X SI VOLVEMOS","UMLE - Latino",7,7,2,"93869"
9,"spotify:track:0CYTGMBYkwUxrj1MWDLrC5","Feid","CHORRITO PA LAS ANIMAS","UMLE - Latino",8,8,11,"92894"
10,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",3,9,5,"86394"
11,"spotify:track:4iRHjxLojZsyclcODm5NOv","BARBEL","Casaya","Jovenes Millonario",11,14,6,"84926"
12,"spotify:track:2tTmW7RDtMQtBk7m2rYeSw","Bizarrap, Quevedo","Quevedo: Bzrp Music Sessions, Vol. 52","DALE PLAY Records",1,10,33,"84903"
13,"spotify:track:0T2pB7P1VdXPhLdQZ488uH","Feid","Normal","UMLE - Latino",12,12,32,"81514"
14,"spotify:track:6eB74UiUNkI7JJBhhr3Y6C","Milo Mae, Kevin Roldan","Tu Gato Bellaco - Remix","Virgin Music Label And Artist Services (P&D)",1,20,4,"80113"
15,"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Bad Bunny, Chencho Corleone","Me Porto Bonito","Rimas Entertainment LLC",1,11,41,"78694"
16,"spotify:track:3k3NWokhRRkEPhCzPmV8TW","Bad Bunny, Bomba Estéreo","Ojitos Lindos","Rimas Entertainment LLC",1,13,41,"74884"
17,"spotify:track:48UX3JH23V6syy4kAkGfhn","Kevin Roldan, Bryant Myers","S.E.X.O","UMLE - Latino",17,-1,1,"72884"
18,"spotify:track:0jDkzYfkYI5faOTftiqydF","Jorkan, Akim, Yemil, Danny Yash","ALBERTO NAVARRO (feat. Danny Yash)","WEA Latina on behalf of AGM Ent.",10,17,17,"69229"
19,"spotify:track:5Eax0qFko2dh7Rl2lYs3bx","Bad Bunny","Efecto","Rimas Entertainment LLC",3,15,41,"69074"
20,"spotify:track:5jt25aFjW2kNoBqaEVaz5W","Mora, Feid","LA INOCENTE","Rimas Entertainment LLC",14,18,46,"68281"
21,"spotify:track:6WbAhuwE6fCOriBu5786X1","KAROL G, Ovy On The Drums","CAIRO","UMLE - Latino",16,16,14,"64908"
22,"spotify:track:4WiQA1AGWHFvaxBU6bHghs","Quevedo","PUNTO G","Quevedo",15,21,15,"63229"
23,"spotify:track:2KQj2OQo0UcJ2uFAe5LG47","Mole, BARBEL","Tu Loco","MoleMusic",23,24,8,"61686"
24,"spotify:track:54ELExv56KCAB4UP9cOCzC","Ñengo Flow, Bad Bunny","Gato de Noche","Rimas Entertainment LLC",9,19,8,"59176"
25,"spotify:track:1sbNEFiURUYfy024cJX8JG","Feid","Ferxxo 100","UMLE - Latino",20,22,37,"58417"
26,"spotify:track:7dSZ6zGTQx66c2GF91xCrb","KAROL G","PROVENZA","UMLE - Latino",1,23,43,"55693"
27,"spotify:track:6Xom58OOXk2SoU711L2IXO","Bad Bunny","Moscow Mule","Rimas Entertainment LLC",2,30,41,"53335"
28,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,28,46,"53158"
29,"spotify:track:1IHWl5LamUGEuP4ozKQSXZ","Bad Bunny","Tití Me Preguntó","Rimas Entertainment LLC",2,25,41,"52513"
30,"spotify:track:1aUq8rjW1EwkAkMri4VfJy","Rauw Alejandro, Lyanno, Brray","LOKERA","Sony Music Latin/Duars Entertainment",14,32,29,"52380"
31,"spotify:track:0fea68AdmYNygeTGI4RC18","J Balvin, Bad Bunny","LA CANCIÓN","Universal Music Latino / Rimas",2,29,190,"51690"
32,"spotify:track:31i56LZnwE6uSu3exoHjtB","Bad Bunny","Neverita","Rimas Entertainment LLC",8,26,41,"50767"
33,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",24,31,24,"48281"
34,"spotify:track:6G12ZafqofSq7YtrMqUm76","Shakira, Ozuna","Monotonía","Sony Music Latin",5,27,18,"46999"
35,"spotify:track:4UGqAW9i7NtE5mW9xzm6yk","Rauw Alejandro, Baby Rasta","PUNTO 40","Sony Music Latin/Duars Entertainment",15,39,21,"45900"
36,"spotify:track:5q86iSKkBtOoNkdgEDY5WV","Quevedo","VISTA AL MAR","Quevedo",32,37,23,"44092"
37,"spotify:track:2lmWwBLVJ2P0HX491zkYws","Eladio Carrion","Mbappe","Rimas Entertainment LLC",5,35,13,"43189"
38,"spotify:track:0Sfn2TYbpQtCGMBf6C0Y6T","Quevedo, Myke Towers","PLAYA DEL INGLÉS","Quevedo",29,40,9,"42520"
39,"spotify:track:4MULhpFgyate8oE1KGCSd0","Yemil","JIGGIRI FREESTYLE, Vol. 1","The Yeyo Movement",33,38,13,"42207"
40,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",35,47,9,"41308"
41,"spotify:track:1ga4PztXOIw1yBbdUt2X8v","KAROL G, Maldy","GATÚBELA","UMLE - Latino",10,34,25,"41138"
42,"spotify:track:7JHUlJCUhUvMLNGsrDf4K1","Robi Guid, Lh Da Produzza","Mojaita","DPMG INC.",42,84,3,"41104"
