rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0uZFcsx96wzbixsULmrg8o","SunKissed Lola","Pasilyo","Independent",1,2,9,"4069788"
2,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",1,1,10,"3675023"
3,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",3,3,8,"3267292"
4,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",4,4,7,"2726678"
5,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",2,5,5,"2417601"
6,"spotify:track:78Sw5GDo6AlGwTwanjXbGh","d4vd","Here With Me","Darkroom/Interscope Records",3,6,18,"2288282"
7,"spotify:track:47sq83n5WN22ZzYnGn8aTy","Adie, Janine Berdin","Mahika","O/C Records",1,7,37,"2187958"
8,"spotify:track:37F0uwRSrdzkBiuj0D5UHI","The Weeknd","Reminder","Universal Republic Records",8,10,4,"2147556"
9,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",3,8,9,"1920538"
10,"spotify:track:4AULw1VRyJP17zMvwgTIUs","Calein","Umaasa","O/C Records",7,11,21,"1800253"
11,"spotify:track:0V3wPSX9ygBnCm8psDIegu","Taylor Swift","Anti-Hero","Taylor Swift",1,9,17,"1756118"
12,"spotify:track:2LBqCSwhJGcFQeTHMVGwy3","The Weeknd","Die For You","Universal Republic Records",10,12,77,"1631785"
13,"spotify:track:5uCax9HTNlzGybIStD3vDh","James Arthur","Say You Won't Let Go","Columbia",1,22,321,"1455484"
14,"spotify:track:6dgUya35uo964z7GZXM07g","Sabrina Carpenter","Nonsense","Island Records",8,18,12,"1446283"
15,"spotify:track:4mc3rUoMwwiNTHA4al9nNd","Lola Amour","Fallen","Warner Music Philippines",10,21,33,"1394098"
16,"spotify:track:0HAG6nIiEKd75yGpovuSJQ","Arthur Nery","Isa lang","Viva Records",2,15,61,"1391389"
17,"spotify:track:0kDeE8TezXDY1QadpjAQQq","Kenaniah","Bahala Na","O/C Records",13,17,19,"1390938"
18,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",7,13,21,"1385419"
19,"spotify:track:16iRlyUMJVPqz62DlomMre","NOBITA","Ikaw Lang","IndieTV",2,14,90,"1345820"
20,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",17,19,11,"1327499"
21,"spotify:track:2e7iqtA42EPXTtiiAlblC1","Moira Dela Torre","Babalik Sa'yo (from ""2 Good 2 Be True"")","ABS-CBN Music",2,24,26,"1318868"
22,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",9,16,12,"1300867"
23,"spotify:track:5xwBIieMMFUmLDgvG4DjFe","Stacey Ryan","Fall In Love Alone","Island Records",17,28,18,"1297384"
24,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",4,27,46,"1296729"
25,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",19,20,28,"1254903"
26,"spotify:track:3rWDp9tBPQR9z6U5YyRSK4","Taylor Swift","Midnight Rain","Taylor Swift",2,23,17,"1248094"
27,"spotify:track:3W4U7TEgILGpq0EmquurtH","yuji, putri dahlia","Old Love","yuji",23,29,24,"1226761"
28,"spotify:track:2vnd3JVvcLs2LxRFwC6mKu","Shanti Dope","City Girl","Universal Records",22,30,11,"1219981"
29,"spotify:track:2jbf9EytR7fzpSrPWAYCf9","Adie","Paraluman","O/C Records",3,32,93,"1203921"
30,"spotify:track:08MFgEQeVLF37EyZ7jcwLc","Zack Tabudlo","Pano","Universal Music Philippines Inc.",1,31,62,"1189715"
31,"spotify:track:5Y35SjAfXjjG0sFQ3KOxmm","SZA","Nobody Gets Me","Top Dawg Entertainment/RCA Records",15,26,10,"1166773"
32,"spotify:track:1AuxZd50Dpaz0cCWphYryh","iluna","panaginip","evosound",32,33,6,"1155650"
33,"spotify:track:0p7s2EXYWLca0UOdQyQrNN","Mayonnaise","Jopay","Sony Music Entertainment",5,25,29,"1129575"
34,"spotify:track:1gH1h30wkQdd9zhY3j7a8T","Rex Orange County","THE SHADE","Rex Orange County",3,34,33,"1120118"
35,"spotify:track:5IgjP7X4th6nMNDh4akUHb","Chris Brown","Under The Influence","Chris Brown Entertainment/RCA Records",3,35,29,"1086713"
36,"spotify:track:4z7xboLD3PqY9dOUscS2ly","mrld","Ikaw Pa Rin","O/C Records",35,36,19,"1075162"
37,"spotify:track:5CUQnKjA6nlteCnxMKsjIu","Adie","Tahanan","O/C Records",6,40,63,"1065234"
38,"spotify:track:0QHEIqNKsMoOY5urbzN48u","Meghan Trainor","Made You Look","Epic",4,37,17,"1047977"
39,"spotify:track:6UN73IYd0hZxLi8wFPMQij","Coi Leray","Players","Uptown / Republic Records",39,134,2,"1034398"
40,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",30,39,24,"1011861"
41,"spotify:track:3h8uWt8HNyDNubPSEBgTPG","Zack Tabudlo","Yakap","Universal Music Philippines Inc.",41,43,19,"1008133"
42,"spotify:track:1Y3LN4zO1Edc2EluIoSPJN","Stephen Sanchez, Em Beihold","Until I Found You (with Em Beihold) - Em Beihold Version","Republic Records",11,45,16,"992399"
43,"spotify:track:5Odq8ohlgIbQKMZivbWkEo","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",1,38,34,"991843"
44,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",44,-1,1,"982191"
45,"spotify:track:2xRGPubKBTHX6iyrpQvtCy","Chris Brown, Ludacris","Wet The Bed (feat. Ludacris)","Jive",4,41,13,"968721"
46,"spotify:track:50x1Ic8CaXkYNvjmxe3WXy","New West","Those Eyes","Republic Records",46,63,32,"951798"
47,"spotify:track:0WZqHCoOBXqgCCIsUZLC2a","Arthur Nery","Pagsamo","Viva Records",1,46,72,"948916"
