rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:4VsP4Dm8gsibRxB5I2hEkw","Kaifi Khalil","Kahani Suno 2.0","1944121 Records DK",1,1,30,"296809"
2,"spotify:track:1zhpW0PLYAhzF3X49GaAOX","Sachin-Jigar, Arijit Singh, Amitabh Bhattacharya","Apna Bana Le","Zee Music Company",2,2,14,"187267"
3,"spotify:track:6qrifdo7QINdPQr80IelGi","Rovalio, Abdul Hannan","Iraaday","Rovalio",2,4,41,"149462"
4,"spotify:track:1418IuVKQPTYqt7QNJ9RXN","King","Maan Meri Jaan","Warner Music India",2,3,13,"138787"
5,"spotify:track:3oWv5qDKYN7MH6FdlglMN5","Guru Randhawa, Sanjoy","Moon Rise","T-Series",5,8,10,"133618"
6,"spotify:track:0OdztoASgKBBNcAgtErk0X","Abdul Hannan, Rovalio","Bikhra","2636621 Records DK",1,6,41,"130544"
7,"spotify:track:0CtZpaOhtzvLV3FfcsVpQo","Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Besharam Rang (From ""Pathaan"")","YRF Music",2,5,10,"128135"
8,"spotify:track:08Isz2ETWSBhvIl8UpKYsp","Shubh","No Love","SHUBH",2,7,41,"124119"
9,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",6,9,25,"122357"
10,"spotify:track:24MMjyA3NLqCsDJfsn51eg","Sharn, 40k, The Paul","Mi Amor","Desi Avenue",10,16,5,"121393"
11,"spotify:track:1aL9518P5G72N92b48tuKw","AP Dhillon","Summer High","RUN-UP RECORDS",1,12,28,"112229"
12,"spotify:track:6xFWVY7hS55qaF7fXBEw7X","Abdul Hannan, BAIG","Siyah","Abdul Hannan",12,13,31,"111394"
13,"spotify:track:1d5lpW3gUyq537iuyrb9Lf","Aditya Rikhari","Samjho Na","CollabX Productions",6,10,40,"109138"
14,"spotify:track:6FAYpZ4jve8vpvTwUvjK6H","Vishal-Shekhar, Arijit Singh, Sukriti Kakar, Vishal Dadlani, Shekhar Ravjiani, Kumaar","Jhoome Jo Pathaan","YRF Music",11,11,8,"104660"
15,"spotify:track:42TMa2hgBNjte4uV7jNCnQ","Shubh, Ikky","Baller","SHUBH",4,14,23,"103455"
16,"spotify:track:0hOqMsscursarJjpcMgGgu","Hassan & Roshaan, Shae Gill","Sukoon","Hassan & Roshaan",7,15,20,"97893"
17,"spotify:track:3wz2vWhYnnBoFmgMkqtzLy","Chani Nattan, Inderpal Moga","Daku","Kharku Life Records",11,19,31,"93782"
18,"spotify:track:4UMIv5jd9gK98a39BQRD9X","Pritam, Arijit Singh, Amitabh Bhattacharya","Kesariya","Sony Music Entertainment India Pvt. Ltd.",1,18,31,"93162"
19,"spotify:track:7lvDsmTRXFE3dK4OjvRiWB","Shae Gill, Ali Sethi","Pasoori","Giraffe Pakistan",1,17,41,"90228"
20,"spotify:track:29m79w9xPMH4YCD6r8JSmV","AP Dhillon, Gurinder Gill, Intense","Excuses","RUN-UP RECORDS",4,22,41,"86336"
21,"spotify:track:63ePciJowGDT5SyRTxGAR2","Snehit Bansal, Sharn","Mi amor - Slowed + Reverb","4806042 Records DK",21,31,4,"84777"
22,"spotify:track:6TClJ8jXi3OBV7gcrU3jx5","AP Dhillon, Gurinder Gill","TERE TE","RUN-UP RECORDS",17,30,41,"84129"
