rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0KMDkQbcglNudXuynwKMs6","club2020, Oki, Otsochodzi, Taco Hemingway, Young Leosia, Dwa Sławy, Gruby Mielzky","Malibu Barbie","2020",1,1,5,"1799505"
2,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,2,5,"1583683"
3,"spotify:track:6NQ83ioZQLARpVmW3mVA7C","Mata","2 IZOTEKI","SBM Label",3,3,4,"1174408"
4,"spotify:track:3Nqxx5fdl3FQlrk3zarRmA","2115, Bedoes 2115, White 2115, Taco Hemingway","DRESSCODE","2115",1,5,9,"1055782"
5,"spotify:track:42oETtYJmIto319MtlarHO","ReTo, Słoń, Wroobel","Król jest nagi","spacerange",5,107,2,"954241"
6,"spotify:track:05MYJf19LSo2E1lZ0RrMAC","Mata","MŁODY PADEREWSKI","e-Muzyka",2,4,5,"918709"
7,"spotify:track:4JmaOG7bfj1uNv8jEUg0Ce","Kuban, Favst","na okrągło","dobzi ludzie.",1,8,11,"840510"
8,"spotify:track:384lHduuDsrR4HPUwR3fG4","sanah","Nic dwa razy (W. Szymborska)","Magic Records",1,9,18,"832100"
9,"spotify:track:47oaZ79K7rQguUTuT87H13","club2020, Taco Hemingway, Oki, Otsochodzi, Young Igi, Łajzol, Gruby Mielzky, HAŁASTRA, Kukon, Dwa Sławy, Young Leosia, CatchUp, Margaret, schafter, DZIARMA, Szczyl, Miły ATZ, @atutowy","CYPHER2022","2020",9,182,2,"814684"
10,"spotify:track:09m29we7x9tgxyo6f3OQ87","Kizo, BeMelo, Gory","Discopolo","spacerange",2,7,10,"790242"
11,"spotify:track:0Mh7nzWn5BHJSenmaUSEt6","Bambi","IRL","BE Records",11,-1,1,"785888"
12,"spotify:track:6UOHjZeSsR2buBhgGOWFc5","Mr. Polska, SRNO","Dotyk (Touch)","MyMusic",12,-1,1,"781229"
13,"spotify:track:3AhdoOmU6GLR0I96HMWAM4","Kuban, Bedoes 2115, Favst","pamiętam siebie","dobzi ludzie.",6,6,2,"751056"
14,"spotify:track:2VYT8yaxvwXyRvAWZqM7Ws","Cyrko","Prywatny bal","Sony Music Entertainment",14,23,4,"735801"
15,"spotify:track:2yxPqxHbj1L7vrCpHLtAcG","Dawid Podsiadło","mori","Pur Pur",1,20,17,"733802"
16,"spotify:track:3f9Ugg030LDe0p6ospTORC","Gibbs, Kiełas","Piękny Świat","Universal Music Polska Sp. z o.o.",1,13,39,"685116"
17,"spotify:track:0xgjoNVg2yQ8ybTez85IqI","Żabson","Przynajmniej nie kłamię","INTERNAZIOMALE",17,-1,1,"660043"
18,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",6,11,5,"641204"
19,"spotify:track:3j1a22N3VBL62Z1rUVJvTt","Avi, @atutowy","Nieskończoność","Moya Label",12,12,2,"639067"
20,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",4,10,21,"633549"
21,"spotify:track:5KAQJfejYiIa8M6Kyw6Xgr","Malik Montana, Szamz","OMDB","Epic/Malik Montana",16,16,3,"597216"
22,"spotify:track:79qk9XiwYlTfcgdptq6lH6","Hinol Polska Wersja, Jano Polska Wersja, Gibbs, Polska Wersja","EXIT","D.A. Records",15,15,3,"590542"
23,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",2,19,25,"547369"
24,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",22,22,5,"532196"
25,"spotify:track:08sMDBcjUBXWV99gZI092C","Miszel, Kabe","Rarara","QueQuality",4,17,13,"527956"
26,"spotify:track:65HEZXKmXqSQlvyWFUyagn","Sandra S","Big Klamoty","Boro Inc Celebration Productions",26,29,3,"516194"
27,"spotify:track:5YvL3ytkusKcM5ozxD9fKN","White 2115","RiRi","SBM Label",1,25,36,"512469"
28,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",6,21,19,"508614"
29,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",17,31,9,"502277"
30,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",20,27,11,"466423"
31,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,45,46,"463637"
32,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",32,-1,1,"460831"
