rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:2BsJFgVnk4FYTyzyovwQ5A","rares, Bogdan DLP","La tine și la bani - From ""Romina VTM"" The Movie","MMxB",1,1,10,"184881"
2,"spotify:track:1cr9iS5IDEcrxNrRszr6wr","Tzanca Uraganu, Manele Mentolate","Trotinete - From ""Romina VTM"" The Movie","Manele Mentolate",2,4,12,"156662"
3,"spotify:track:0EIUssA2gv881GM16RzSQy","RAVA, M.G.L.","SHOTGUN","Seek Music",3,5,3,"141770"
4,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,2,5,"140801"
5,"spotify:track:4i9Ul89UPf5YPppdOspCH6","Tzanca Uraganu","Havana","Boss Music",1,3,30,"136399"
6,"spotify:track:09Ylu166NCvXW8ZY4lA39W","Ian","Timeout","Ocult Records",6,6,55,"123590"
7,"spotify:track:7jOlpikiyyYEpPGeJQdcnM","Iuly Neamtu, Manele Mentolate","Lalele mentolate - From ""Romina VTM"" The Movie","Manele Mentolate",7,7,8,"123050"
8,"spotify:track:1b8wUmTTj17WAEHlu9UFsl","Iuly Neamtu, Manele Mentolate","Test Drive","Manele Mentolate",3,11,20,"113703"
9,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",1,8,11,"104233"
10,"spotify:track:4JjurgsSCdNejiuOZ98PyQ","Ian, Aerozen, FLORIS, Oscar","Gestu","New World Order",2,13,29,"93458"
11,"spotify:track:17AmTJ2vJJGi5cLU3TnccV","RAVA","Regina Nopții","Seek Music",1,12,25,"92533"
12,"spotify:track:7l1amnUcwOBdJQtLEmMKNi","Tzanca Uraganu, Manele Mentolate","Banii","Manele Mentolate",2,16,82,"90489"
13,"spotify:track:7q7KhsazHZG8EM8Qt08YmO","RAVA","BULIBA$HA","Seek Music",5,14,60,"90167"
14,"spotify:track:5jjPoxrz3NRainOx1DtAPv","Ian","Urgențe","New World Order",3,15,52,"90042"
15,"spotify:track:6JQt3qfbwSFlDantKaCkix","AlbertNbn","PDH","RUL",10,10,3,"89531"
16,"spotify:track:1YvYEbR7ITXJ0Msk4ORZxY","Ian","Lumea asta","New World Order",2,23,52,"88279"
17,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",12,19,10,"87511"
18,"spotify:track:0PrEHlFBgEsAxwJ3oKgxX3","Jador, Manele Mentolate","Skinny","Manele Mentolate",18,49,3,"85522"
19,"spotify:track:4XLLdFJdwmvdtkwQuXAFut","Ian","La san","New World Order",9,20,45,"84773"
