rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0SOgdDDCI704FegadgOfc1","23","Feeling Myself","Paid in Full Records",1,2,3,"1219082"
2,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,3,5,"1180130"
3,"spotify:track:1fOZciVVoZ1RqpuO5i2hbU","Einár","Du & Jag","Einár",1,1,4,"1143269"
4,"spotify:track:2eOLvT5HNiHZQb4BTSiwQl","Miriam Bryant, Veronica Maggio","Under någon ny","WM Sweden",4,-1,1,"1030530"
5,"spotify:track:4vOoQh9MhS9pyrbvc8LyMz","Zara Larsson","Can't Tame Her","Sommer House/Epic",5,5,3,"856100"
6,"spotify:track:74xfr2lyWfi2qZjWtqovBg","Rasmus Gozzi, FRÖKEN SNUSK","RID MIG SOM EN DALAHÄST","Gozzi Records",1,4,25,"805898"
7,"spotify:track:0xNm2tIbdqPfNUJhVfDHrO","Yasin","Hoodrich","GG",7,85,2,"797007"
8,"spotify:track:5g9gZGiXlk747pESQzmmRT","Miss Li","Hälsa Gud","Pistol Packin' Music",4,7,16,"677811"
9,"spotify:track:0u8AMrMBM6S3YBDfPYwMfe","Rasmus Gozzi, 1.Cuz, FRÖKEN SNUSK","TRAKTEN TILL EPAN (feat 1.Cuz & FRÖKEN SNUSK)","Gozzi Records",6,6,3,"597808"
10,"spotify:track:1Yn8nh3NeSEfA7Oo9dqCvR","Victor Leksell","Nätterna i Göteborg","Sony Music Local",1,9,6,"587434"
11,"spotify:track:6KOzO2mUwSwe8a9GiJAn7X","Bolaget","Kan Inte Gå","WM Sweden",1,8,59,"577366"
12,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",5,12,10,"557561"
13,"spotify:track:2ZfaBbRMcEgSF8JnJIaEBP","Hooja","Banan Melon Kiwi & Citron","Roxy Recordings",5,10,36,"538936"
14,"spotify:track:3xPsqMJQNM14OrawTBiK4G","Victor Leksell, Einár","Din låt","Sony Music Local",1,14,30,"529796"
15,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,13,25,"520389"
