rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:1tpWtFdAuY9chjl5YhzsTP","Calin, Viktor Sheen","Safír","WM Czech Republic",1,1,2,"274423"
2,"spotify:track:0Pl0foFNy1vuVgx1NHVjSE","Calin, Viktor Sheen","Dívej","WM Czech Republic",2,2,2,"150833"
3,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,3,5,"140375"
4,"spotify:track:0fP30PpvCS3AB4hBN91GPY","Pil C, Viktor Sheen","Inverzia","Universal Music s.r.o. Distributed Labels",4,-1,1,"126936"
5,"spotify:track:3PUpYDPhHjb5rG4b8t6RfT","Pil C","Crush Talk Freestyle","Universal Music s.r.o. Distributed Labels",5,-1,1,"107487"
6,"spotify:track:09MbMeMVENgLv6Z9ogzkuG","Samey","Valeriya","Universal Music s.r.o.",6,7,3,"105871"
7,"spotify:track:0oieWmZlfKdi2oxJP9ihk7","Pil C","Chcem mať s tebou bejby","Universal Music s.r.o. Distributed Labels",7,-1,1,"104296"
8,"spotify:track:1iOXr3xZSuF62boF7ygB6L","Calin, Viktor Sheen","Benz","WM Czech Republic",4,4,2,"103897"
9,"spotify:track:2fsN1mjdT4QCfRZhPQRkck","Pil C, Separ","Community service","Universal Music s.r.o. Distributed Labels",9,-1,1,"99130"
10,"spotify:track:1mDgpMsz6fDE7DDZIV9kW3","Calin, Viktor Sheen","Berlín","WM Czech Republic",5,5,2,"90899"
11,"spotify:track:5FXDsBtTJRSMmmWhFxhAI0","STEIN27","Habibi","WM Czech Republic",3,16,13,"90457"
12,"spotify:track:4enbO9cZhJLSZ6Tf21LRnv","Calin, Viktor Sheen","Cikády","WM Czech Republic",6,6,2,"89281"
13,"spotify:track:1gm2nmmLhkouryCsg4ZcFR","Pil C","Dnes večer (Lady)","Universal Music s.r.o. Distributed Labels",13,-1,1,"77553"
14,"spotify:track:1ke6pjpooJymwb1AXoPwhG","Pil C","S láskou, Lukáš","Universal Music s.r.o. Distributed Labels",14,-1,1,"75825"
15,"spotify:track:5RG6jLFbb40PrBDP5HWxzb","Pil C","Klub bývalých","Universal Music s.r.o. Distributed Labels",15,-1,1,"74929"
16,"spotify:track:72DJW9XvvzOMjhNwGvaNf6","Pil C, Ektor","Láska(nie)","Universal Music s.r.o. Distributed Labels",16,-1,1,"69864"
17,"spotify:track:4Fr0vY8vcyn4nSf4b1OTR9","Pil C","Neviem čo som mal","Universal Music s.r.o. Distributed Labels",17,-1,1,"67550"
18,"spotify:track:2gabYQpZMiMuujoHreQw2o","Pil C","Classy","Universal Music s.r.o. Distributed Labels",18,-1,1,"67349"
19,"spotify:track:7rVRO72e2V9R38yYD1dxPh","Pil C, LNLY J","Inverzia - Bonus","Universal Music s.r.o. Distributed Labels",19,-1,1,"66820"
20,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",1,24,25,"66188"
21,"spotify:track:6FAQzRCF0unjLA8DBurmKp","Calin, Viktor Sheen","Soundtrack","WM Czech Republic",9,9,2,"65722"
22,"spotify:track:72yR62gS5MI4bzYWM2J0I3","Calin, Viktor Sheen","Double Time","WM Czech Republic",8,8,2,"63485"
23,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,15,21,"62595"
24,"spotify:track:2sXnat46y10FtAbW2A0ira","Calin","Hannah Montana","WM Czech Republic",1,26,49,"61580"
25,"spotify:track:0Un7cx2TzJFQKPfhSQetNz","Samey, Saul","malaga (feat. Saul)","Universal Music s.r.o.",12,12,3,"58068"
26,"spotify:track:1CG53HQNX7yUZHVhXV9kH8","Pil C","Hocikedy","Universal Music s.r.o. Distributed Labels",26,-1,1,"57903"
27,"spotify:track:6nQsMDDFqeTFCVl9zl6NJ1","Calin, Viktor Sheen","Kudlu","WM Czech Republic",10,10,2,"55456"
28,"spotify:track:0EaSPogtxTeJl1xxrdIAqS","Calin, Viktor Sheen","Plán B","WM Czech Republic",11,11,2,"55380"
29,"spotify:track:0ILk1dfKSJpQ1QzMoZgau8","Samey, Taomi","stale hladam (feat. Taomi)","Universal Music s.r.o.",19,19,3,"53832"
30,"spotify:track:3BcxlM8GmeD0XWd22M0sJL","Pil C","Predmet záujmu","Universal Music s.r.o. Distributed Labels",30,-1,1,"52575"
31,"spotify:track:4UH117xLYeKWFlAtq9jsi2","Calin, Viktor Sheen","Limonáda","WM Czech Republic",13,13,2,"52497"
32,"spotify:track:1I03N1q3L9npQHuDzXklaF","Ektor","Upgrade","Universal Music s.r.o.",27,27,2,"52136"
33,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",3,28,11,"51994"
34,"spotify:track:4ToxkJ4VvWs026R3QfHDI3","Calin","Santé","WM Czech Republic",4,30,20,"50820"
35,"spotify:track:1J0NaJEBf2Ifp2f7GNudK0","Samey","5","Universal Music s.r.o.",14,14,3,"50766"
36,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",11,37,9,"49812"
37,"spotify:track:2MLspbafcpa876kiGpk8Ga","Calin, Viktor Sheen","Luna","WM Czech Republic",17,17,2,"49338"
38,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",7,32,109,"47874"
39,"spotify:track:3Uyoi79Ktby1lWsLXFyRlS","Samey, Separ, Adam Mišík","vic (feat. Separ & Adam Mišík)","Universal Music s.r.o.",20,20,3,"47188"
40,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",6,35,15,"46555"
41,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",5,33,19,"46508"
42,"spotify:track:163UXyyrFlAIQapVN3DqIp","Calin","Praha/Vídeň","WM Czech Republic",3,31,74,"46357"
43,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",43,-1,1,"46261"
44,"spotify:track:3rb0tMq42WfggucPm0HHkA","MEDUZA, James Carter, Elley Duhé, FAST BOY","Bad Memories (feat. Elley Duhé & FAST BOY)","Universal-Island Records Ltd.",13,39,29,"45832"
45,"spotify:track:4fYte8ZvTK14NEhAOZocBi","OneRepublic","I Ain't Worried","Interscope Records",5,38,37,"45510"
46,"spotify:track:6lKRMzNHxQmLxj8c8I5hbi","Samey, Luca Brassi10x, WEN, Porsche Boy","na mol (feat. Luca Brassi10x, WEN & Porsche Boy)","Universal Music s.r.o.",21,21,3,"45016"
47,"spotify:track:4WHvsDDIHyvuPeTmQxl4oQ","Samey, Rytmus","DREME (feat. Rytmus)","Universal Music s.r.o.",22,22,3,"44533"
48,"spotify:track:5mHdCZtVyb4DcJw8799hZp","RAYE, 070 Shake","Escapism.","Human Re Sources",11,36,12,"44454"
49,"spotify:track:1uoKL0wpV8Qy4oQXXslw4p","Calin, Viktor Sheen","Southside","WM Czech Republic",18,18,2,"44241"
50,"spotify:track:4Dvkj6JhhA12EX05fT7y2e","Harry Styles","As It Was","Columbia",1,40,46,"43432"
51,"spotify:track:7v78tneote8Wo4pqwfq4Mm","Samey, REDZED","dollar bill (feat. REDZED)","Universal Music s.r.o.",25,25,3,"42275"
52,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",52,190,2,"41016"
53,"spotify:track:73vIOb4Q7YN6HeJTbscRx5","Oliver Tree, Robin Schulz","Miss You","Atlantic Records",4,42,19,"40595"
54,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",4,41,49,"40022"
55,"spotify:track:4vuo2QS1fDei89gd7uwUYP","Gleb","workin workin","Universal Music s.r.o.",3,43,4,"39528"
56,"spotify:track:4nrPB8O7Y7wsOCJdgXkthe","Bizarrap, Shakira","Shakira: Bzrp Music Sessions, Vol. 53","DALE PLAY Records",6,34,5,"39479"
57,"spotify:track:2MOMH99Qp9lLslWjwfGbco","Samey","blessed","Universal Music s.r.o.",23,23,3,"38568"
58,"spotify:track:6BePGk3eCan4FqaW2X8Qy3","Tiësto, Tate McRae","10:35","Atlantic Records",23,44,13,"36790"
