rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:7p0ODIG60DRkcTiVlJPgck","Semicenk, Reynmen","Yana Yana","EVA RECORDS",1,1,2,"2654494"
2,"spotify:track:4OH5Cd8ZOI1eSgJSC9PYmU","Mert Demir, Mabel Matiz","Antidepresan","Pale Records",1,4,15,"2497137"
3,"spotify:track:3WCrBnWabeuTk2wr6UwaYV","BLOK3","AFFETMEM","Mundo Music",3,5,5,"2483482"
4,"spotify:track:4o4kbDP7DMVFPwAf5D5bj9","Simge","Aşkın Olayım","DOĞAN MÜZİK YAPIM",3,3,67,"2307035"
5,"spotify:track:7lOGCEsmoHqai3PHS9kbTa","Heijan, Muti","İMPARATOR","TFB Records",4,6,5,"2273213"
6,"spotify:track:4ist5GP5r7UDz9gdsiJmYd","Lvbel C5, Güneş","NKBİ X YAPAMAM - Remix","Lais Records & ℗ Universal Music Turkey; ℗ 2022 EMI - Kent Elektronik Sanayi ve Ticaret A.S. & M.O.B Entertainment",2,7,7,"2238314"
7,"spotify:track:0okYvXKPqzZpj3iZrJH6JK","Lvbel C5","DACIA","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",1,2,5,"2087056"
8,"spotify:track:1noP6QHaeHTFZfLcEQAtqm","Güneş","yok muydu vaktin bana?","SONY MUSIC TURKEY",8,8,2,"2057766"
9,"spotify:track:2Nt4eocAv9wi1vHshhSdpF","BLOK3","VUR","Mundo Music",7,9,14,"1969018"
10,"spotify:track:7Ebb2WheOGGauCH2wuQB55","cakal, Arem Ozguc, Arman Aydin","Diyardan Diyara","DOĞAN MÜZİK YAPIM",10,12,8,"1923921"
11,"spotify:track:7dWOeNUJfixlvUcpZD90YE","Semicenk","Sevecek Sandım","Eva Yapım & Eva Records",11,17,17,"1823972"
12,"spotify:track:7toL7Re9rApzIuIFDaLQSe","KÖFN","Bi' Tek Ben Anlarım","Hypers",1,10,48,"1771632"
13,"spotify:track:3QopdONAzZHRO1P4UQrNvw","Mabel Matiz","Fırtınadayım","Zoom",2,14,18,"1702326"
14,"spotify:track:5ATwkalJ9FnLp7Zcvxo1rl","Dedublüman, Mavzer Tabancas","Belki","AVRUPA MÜZİK YAPIM",1,13,22,"1688612"
15,"spotify:track:2Pe8d9oClBgLkkz2N35AiN","Semicenk","Unutmak Öyle Kolay Mı Sandın","EVA RECORDS",5,15,25,"1652333"
16,"spotify:track:4wLpDd099QT7TmNpMkFIvT","UZI","ZOR","Ava Music / Avrupa Müzik",9,18,23,"1570187"
17,"spotify:track:1MbZ6YY51arGV7mqeAb0y4","Motive","10MG","SAVANA",1,16,13,"1516368"
18,"spotify:track:5flH7FY4ledAQboO5a0XQ5","UZI, Mavi","SENIN UGRUNA","Ava Music / Avrupa Müzik",1,19,23,"1485296"
19,"spotify:track:4HuB9A0O1XwmwTVtTgODm8","Ati242","25","PMC",12,20,39,"1479977"
20,"spotify:track:3ABGx9FyeEdMCjDR5TyfdV","Mavi Gri, Ahmet Hatipoğlu","Ölümle Yaşam Arasında","Mavi Gri",6,22,28,"1413295"
21,"spotify:track:0K2nzvf5Pn6IO0Xyt36iNi","Halodayı","Özür","OSC ENM.",21,21,3,"1321600"
22,"spotify:track:1iFGzZThVz7rYr2uqaTffV","Barış Diri","Derinden / bazen hayat çok kötü gidiyor ve ben onu nasıl anlatacağımı bilemiyorum","Gloss Musik GmbH",22,54,24,"1249980"
23,"spotify:track:13THdxqHT11aSk3G8nUDzZ","Mavi Gri","Altüst Olmuşum","Mavi Gri",11,23,86,"1243013"
24,"spotify:track:01KdkKsCC3BkA4nsQQLwOm","DEHA INC., Reckol","TALIBANA","Reckol Music",3,168,7,"1236045"
25,"spotify:track:4yhO1qzAICkyoN0w2P2Za4","Mavi","deniyorum, ama","EMI - Kent Elektronik Sanayi ve Ticaret A.S.",20,25,15,"1221295"
26,"spotify:track:6t18CcJVpnFAoWfcZxiZtk","Dedublüman","Sakladığın Bir Şeyler Var","AVRUPA MÜZİK YAPIM",26,28,21,"1202822"
27,"spotify:track:05QuKF12UfS8ReyTQKbs4o","Semicenk","Masal Gibi","Eva Yapım & Eva Records",23,26,17,"1183140"
28,"spotify:track:755Pja1zaA687Vql25NHwP","Sakiler, Oğuzhan Koç","Yalanı Bırak","Zeyn Music",17,27,14,"1145026"
