rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",1,2,7,"395305"
2,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",1,1,9,"374615"
3,"spotify:track:0USeB0Tykai3QZj5YAUclG","Shi Shi","眼淚記得你 - 電影《想見你》主題曲","Rock Records Co., Ltd.",3,4,8,"331133"
4,"spotify:track:72OVnXDzugvrCU25lMi9au","WeiBird","如果可以 - 電影""月老""主題曲","Sony Music Entertainment",1,3,67,"317863"
5,"spotify:track:0a4MMyCrzT0En247IhqZbD","NewJeans","Hype Boy","ADOR",5,6,29,"274915"
6,"spotify:track:07plVccQ0N6FTTTonk3c2M","EggPlantEgg","閣愛妳一擺","茄子蛋EggPlantEgg",2,7,62,"271108"
7,"spotify:track:6jNy9WM3zyvG9E5bdVALl8","告五人","好不容易 (《華燈初上》片尾曲)","Bin Music International Limited",2,5,62,"269080"
8,"spotify:track:2VEt42QSQxILgEf9B50xxm","理想混蛋","不是因為天氣晴朗才愛你","何樂音樂有限公司",5,8,173,"250255"
9,"spotify:track:6XBL9naPxZjATbmGAWGJ9V","Ren Ran","飞鸟和蝉","北京千和世纪文化传播有限公司",1,9,129,"247456"
10,"spotify:track:6akVETVeqqPVvuBS5e0EB1","Eason Chan","孤勇者 - 《英雄聯盟:雙城之戰》動畫劇集中文主題曲","Universal Music Ltd.",5,10,48,"241489"
11,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",11,11,5,"238681"
12,"spotify:track:1IVj6CsBbTgOEpo0W6hgwN","张远","嘉宾","华声时代",6,12,76,"231859"
13,"spotify:track:4fJlSLYLiu5trFCMZdSQDC","EggPlantEgg","愛情你比我想的閣較偉大 -《當男人戀愛時》電影主題曲","茄子蛋EggPlantEgg",1,15,101,"218837"
14,"spotify:track:1pbb71pOKB5iqfkju4NmPj","space x","0321","北京千和世纪文化传播有限公司",13,13,65,"214931"
15,"spotify:track:70ywpHtaToCmnULRT9Vu4p","Jolin Tsai","親愛的對象 - 《關於我和鬼變成家人的那件事》電影主題曲","Eternal Music Production Company Ltd",10,47,10,"210904"
16,"spotify:track:6la3Kme7O7D01fJPxgpAS5","詹雯婷","訣愛 (劇集《蒼蘭訣》片頭曲)","AsiaMuse Entertainment Co., Ltd.",3,17,26,"206372"
17,"spotify:track:2TYYKysNZDTFzrm7Mr443o","告五人","又到天黑","Bin Music International Limited",17,37,3,"205878"
18,"spotify:track:0Eh0C7rpC5E0sPy4OcLdsq","理想混蛋","我就想你","何樂音樂有限公司",14,14,65,"205389"
19,"spotify:track:0KWnRv3wxjltYVB3MqjNd2","高爾宣 OSN","Without You","史科特音樂股份有限公司 SKR Co., Ltd.",1,16,202,"204715"
20,"spotify:track:0FfNFvy5KRRyB2snvK39zL","W.M.L, Vicky Chen","I'm Alive","史科特音樂股份有限公司 SKR Co., Ltd.",12,24,53,"195021"
21,"spotify:track:3CEkc8f1UDvI7kohz3ARpA","Vicky Chen","炙愛 - 女聲版","史科特音樂股份有限公司 SKR Co., Ltd.",10,18,153,"192776"
22,"spotify:track:27FOde2nUw0pFuj7hlPbaS","告五人","愛人錯過","Bin Music International Limited",15,20,132,"191794"
23,"spotify:track:53yiHIP3ptxWtT4ambRcgb","TRASH","終究還是因為愛","WM Taiwan",13,19,73,"187079"
24,"spotify:track:3t5edAHbyFEW67wFApp7EO","小阿七","从前说","一寸光年",5,29,54,"186320"
25,"spotify:track:7IiSESHLOtsoEXTlXa0bjJ","Nicky Lee","想太多","音岄有限公司 iNmusic Ltd.",22,22,18,"184217"
26,"spotify:track:7tgzj2IqzSgUpxUhjmcF5m","告五人","披星戴月的想你","Bin Music International Limited",16,27,219,"180316"
27,"spotify:track:2OR5FUKy3GQ7I9DCbRnfsW","Eric Chou","最後一堂課 - 《媽,別鬧了!》影集片尾曲","M.Star Entertainment Ltd.",3,32,30,"180286"
28,"spotify:track:4QZMBVrBLAvBryj8ZJIIY2","LBI利比","小城夏天","Cheerful Music 青风音乐",19,26,30,"179708"
29,"spotify:track:6FSOibqLCbhFrmGdqMbwiZ","Tanya Chua","Letting Go","AsiaMuse",17,30,35,"179080"
30,"spotify:track:3V2v19gDm4rmRkMwcgS4X2","颜人中","有些","中视鸣达",21,21,85,"176329"
31,"spotify:track:69AvckyixY1AIGRYDZ1QnO","Power Station","Love Me True","HIM International Music Inc.",6,28,97,"174345"
32,"spotify:track:39HrUxcvKF3jtLz7fUDWXc","Hikaru Utada","First Love","Universal Music LLC",1,23,13,"173938"
33,"spotify:track:567e29TDzLwZwfDuEpGTwo","The Kid LAROI, Justin Bieber","STAY (with Justin Bieber)","Columbia",1,33,84,"171921"
34,"spotify:track:6pFxVcn6T4BdP8mfZpTQHZ","陳華","想和你看五月的晚霞","鮪魚肚影音股份有限公司 The Way We Do Productions Co., Ltd.",34,44,17,"169052"
35,"spotify:track:4fsQ0K37TOXa3hEQfjEic1","LE SSERAFIM","ANTIFRAGILE","SOURCE MUSIC",7,31,18,"168197"
36,"spotify:track:69zgyr5HVKdInjeKpq1qHa","831","想見你想見你想見你(電視劇""想見你""片尾曲)","Rock Records Co., Ltd.",1,34,170,"166641"
37,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",35,35,9,"165129"
38,"spotify:track:6gOZzuHIApHtAPTelkOMUc","高爾宣 OSN","Somebody Else","龍大謝音樂有限公司",30,41,29,"163775"
39,"spotify:track:6whxKQ0Ocn1FmzpDc7lTHq","Eric Chou","想知道你在想什麼 - 《我吃了那男孩一整年的早餐》電影主題曲","Sony Music Entertainment",3,39,55,"159286"
40,"spotify:track:4Rt9k4SE8dbfKzngxKJPq9","Jay Chou","擱淺","JVR",35,49,78,"158652"
41,"spotify:track:3OC84eKMxRJ4x0Hcwl9i4i","Crowd Lu","刻在我心底的名字 (Your Name Engraved Herein) - 電影<刻在你心底的名字>主題曲","Team Ear Music",1,38,130,"157299"
42,"spotify:track:4U0bL1ouvksMgvXU2aKq4O","en","间距","长沙听感时代",15,25,72,"156376"
43,"spotify:track:6ZxvapmYLdLdRCdIFR0NRQ","星野","晚风告白","漫吞吞文化",31,43,11,"154611"
44,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",41,45,21,"151926"
45,"spotify:track:5zwwW9Oq7ubSxoCGyW1nbY","BLACKPINK","Pink Venom","YG Entertainment/Interscope Records",1,40,26,"150529"
46,"spotify:track:7eBpUuPnDTfbeP1P4P93CS","BSS, Lee Young Ji","Fighting (Feat. Lee Young Ji)","PLEDIS Entertainment",46,97,2,"148026"
47,"spotify:track:5Y47GrCrjQY44qFv8Gt0Gm","Eric Chou","你不屬於我 - 《比悲傷更悲傷的故事》影集版片尾曲","Sony Music Entertainment",2,50,69,"147792"
