rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:61BaxM1NIcadLu3gtWm2uT","SadSvit, СТРУКТУРА ЩАСТЯ","Силуети","Svit music",1,1,16,"187511"
2,"spotify:track:1N8TTK1Uoy7UvQNUazfUt5","ThxSoMch","SPIT IN MY FACE!","Elektra (NEK)",1,2,14,"140026"
3,"spotify:track:2ksyzVfU0WJoBpu8otr4pz","INTERWORLD","METAMORPHOSIS","INTERWORLD",3,5,31,"128593"
4,"spotify:track:4PGzoH4hL1vORGOTxHdWjB","INSTASAMKA","ЗА ДЕНЬГИ ДА","NaMneCash Music",1,4,12,"119224"
5,"spotify:track:3h9XZd7ZON6LubTC3AqwzT","Parfeniuk","Провела екскурсію","ShowTime Music",4,7,10,"118186"
6,"spotify:track:4g22x3fIQVUlY39ICUBB7Z","Big Baby Tape, Aarne","HOODAK MP3","Effective Records",3,3,3,"111659"
7,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",2,6,5,"110658"
8,"spotify:track:6qyS9qBy0mEk3qYaH8mPss","Kordhell","Murder In My Mind","Kordhell",3,8,44,"107093"
9,"spotify:track:4Yzlz45QgjUKZmN2KrK4AP","Skofka","Чути гімн","Columbia Local",1,9,29,"105858"
10,"spotify:track:4MQmxIxM5CXKjdq4IrCWhd","SadSvit","Касета","Independent",9,11,44,"99241"
11,"spotify:track:0NZPBYD5qbEWRs3PrGiRkT","Sam Smith, Kim Petras","Unholy (feat. Kim Petras)","EMI",1,10,21,"85245"
12,"spotify:track:7mLWNwcvwRdEviz6SfYp8A","g3ox_em","GigaChad Theme - Phonk House Version","g3ox_em",11,13,17,"84729"
13,"spotify:track:373gDROnujxNTFa1FojYIl","Linkin Park","Lost","Warner Records",13,-1,1,"81605"
14,"spotify:track:7krNeHssTmY3ijTox4OBbD","DOROFEEVA","Щоб не було","MOЗGI Entertainment",11,15,10,"79833"
15,"spotify:track:21LIoC4ZxT3F8xq9gidNbX","xxxmanera","Never Broke Again","steezy",1,12,35,"74973"
16,"spotify:track:44FopWyaddRoiuNrD8hlUw","Antytila","Фортеця Бахмут","ANTYTILA",16,99,2,"74595"
17,"spotify:track:0ePYZtHRuP9NZqlkEDCaC4","Scally Milano, 163ONMYNECK, MAYOT","Йупи Йо","Scally Milano",4,17,9,"74473"
18,"spotify:track:7iGdK8FeeKfWiLR3Ax6phw","DOROFEEVA","вотсап","MOЗGI Entertainment",15,18,3,"73045"
19,"spotify:track:7kKTYTHULdERuHGCkVyLVD","KALUSH, Skofka","Додому (feat. Skofka)","Columbia Local",2,30,86,"72706"
20,"spotify:track:3TzPVU3jj6YdTunVdKimiQ","phonk.me, KIIXSHI","GHOST!","phonk.me x KIIXSHI",16,19,7,"72428"
21,"spotify:track:37F7E7BKEw2E4O2L7u0IEp","Freddie Dredd","Limbo","Doomshop Records/RCA Records",8,16,16,"71878"
22,"spotify:track:0R848ny5sEpVuR1tMXZNFr","INSTASAMKA","КАК MOMMY","NaMneCash Music",5,14,8,"71281"
23,"spotify:track:6JrGELYUIbZvBV74j4Q5LN","ENLEO","інша любов","SADNESS RCRDS",6,21,31,"71005"
24,"spotify:track:54ipXppHLA8U4yqpOFTUhr","Imagine Dragons","Bones","Kid Ina Korner / Interscope",8,22,40,"70992"
25,"spotify:track:5FkJHVudUByVjanCqFXRql","Mr.Kitty","After Dark","Negative Gain Productions",12,23,121,"69786"
26,"spotify:track:5Sk39LuvdwuvL84jD01Dum","MUPP, Sadfriendd","vendetta!","Sadfriendd x MUPP",3,25,38,"67300"
27,"spotify:track:5Zlb01Jcn0Ld49zazzZJSB","TWISTED, Oliver Tree","WORTH NOTHING - Fast & Furious: Drift Tape/Phonk Vol 1","APG Inc – FF10",11,24,16,"66250"
28,"spotify:track:3IuQWB6BsGFc55IOCOGzBK","SadSvit","Персонажі","Independent",28,42,17,"65395"
29,"spotify:track:561jH07mF1jHuk7KlaeF0s","Eminem","Mockingbird","Aftermath",2,26,18,"65271"
30,"spotify:track:2QjOHCTQ1Jl3zawyYOpxh6","The Neighbourhood","Sweater Weather","Columbia",16,28,124,"64419"
31,"spotify:track:20SSuP71R4A88qHQu4BKY6","KOLA","Біля серця","Universal Music Polska Sp. Z.o.o (Ukraine Distribution Deals)",13,35,22,"63878"
32,"spotify:track:30IlQpX7dVokqnMeuf31Wj","Clonnex","Sidnytseїd","CLONNEX",12,20,3,"63468"
33,"spotify:track:4oHEJ5KPf9hW1pDyQYIRIw","Aarne, BUSHIDO ZHO, ANIKV","Тесно","AA Team",1,36,28,"63276"
34,"spotify:track:3hzelPptWzx0OrSDTyIuuy","Hensonn","Flare","Hensonn",20,27,6,"62497"
35,"spotify:track:0wGbyS1tExQSwOYu6UceyE","ONIMXRU, SMITHMANE","SHADOW","ONIMXRU x SMITHMANE",13,33,27,"62027"
36,"spotify:track:3gVhsZtseYtY1fMuyYq06F","Rammstein","Sonne","Vertigo Berlin",26,34,23,"61235"
37,"spotify:track:7g9brrz6mR8dm1kwYFwnRx","YARMAK, ALISA","ДИКЕ ПОЛЕ","Yarmak music",29,29,38,"61045"
38,"spotify:track:2BH3j05ZXWr5PR30sW079d","Isolate.exe","Crystals","Isolate.exe",30,38,24,"60689"
39,"spotify:track:01kfSdF9zfcDLri5sSWEoL","Dxrk ダーク","RAVE","Dxrk",5,39,46,"59180"
40,"spotify:track:4VXIryQMWpIdGgYR4TrjT1","Juice WRLD","All Girls Are The Same","Juice WRLD Mixtape / ISR P&D",40,133,3,"58756"
41,"spotify:track:0VGLb6IeeG5ZqonN5EavDu","КАКАЯ РАЗНИЦА","Рассвет","Какая Разница",29,67,61,"58451"
42,"spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW","XXXTENTACION","Revenge","Bad Vibes Forever / EMPIRE",34,45,51,"58376"
43,"spotify:track:3XOcTnIA8aGpil8h76eH7N","zxcursed","mana break","zxcursed",2,40,18,"58286"
44,"spotify:track:0olubSy8HbZBrCJlSHV7ex","Кишлак","Я уёбываю в джаз","KISS KOALA",44,55,36,"58020"
45,"spotify:track:7jtQIBanIiJOMS6RyCx6jZ","Tom Odell","Another Love","ITNO/Columbia",14,46,74,"57972"
46,"spotify:track:4uUG5RXrOk84mYEfFvj3cK","David Guetta, Bebe Rexha","I'm Good (Blue)","Parlophone UK",25,44,24,"57821"
47,"spotify:track:2fDvxV1N7SxQYbWNrN7YJl","SAY3AM","JUDAS","SAY3AM",47,-1,1,"57351"
48,"spotify:track:3bKxhUuoRvSRwIdyZfQa3F","Artem Pivovarov, DOROFEEVA","Думи","MOЗGI Entertainment",32,43,37,"57160"
49,"spotify:track:2kLmAwQCBSlvtcptioAoTv","LOVV66","5IVE","LOVV66",15,37,8,"57053"
50,"spotify:track:2vHzOWRKYPLu8umRPIFuOq","KALUSH, Kalush Orchestra","Stefania (Kalush Orchestra)","Columbia Local",1,48,53,"56705"
51,"spotify:track:0pWMr82unREASQGFJrrI5S","Artem Pivovarov","Маніфест","BEST MUSIC",40,65,7,"56095"
