rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:46HNZY1i7O6jwTA7Slo2PI","Coldplay, BTS","My Universe","Parlophone UK",1,126,73,"597819"
2,"spotify:track:0bgJPIvefuRnEU4MNJuJSA","Đức Phúc, 911","Em Đồng Ý (I Do)","Sony Music Entertainment",2,-1,1,"506807"
3,"spotify:track:4CUvVaAYuXtvYURLFz7EIL","Emcee L (Da LAB), Muộii (Starry Night)","Chuyện Đôi Ta (feat. Muộii)","Yin Yang Media",3,4,63,"395495"
4,"spotify:track:76dD9BdSOzsRJSGGBjOcUf","HIEUTHUHAI, Negav, Kewtiie","ngủ một mình (tình rất tình)","Universal Music Indochina Distributed Labels",2,2,9,"380741"
5,"spotify:track:1RDvyOk4WtPCtoqciJwVn8","Jung Kook, BTS, FIFA Sound","Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack]","Katara Studios | 2101 Records under exclusive license to UnitedMasters LLC",1,12,13,"370664"
6,"spotify:track:6VXVYATpQXEIoZ97NnWCmn","Madihu, Vũ.","Vì Anh Đâu Có Biết","WM Vietnam",2,8,28,"365884"
7,"spotify:track:3QD2NfLEIvMRbzv2uTu4B7","Myra Trần","Anh Chưa Thương Em Đến Vậy Đâu","Sony Music Entertainment",7,7,6,"328268"
8,"spotify:track:3a2Oftcs10wtzw6AmxuTMU","O.lew","Rồi Ta Sẽ Ngắm Pháo Hoa Cùng Nhau","LOOPS Music",8,9,4,"320863"
9,"spotify:track:25h0TqC9H3BcMA7KjK5nHK","GREY D, tlinh","vaicaunoicokhiennguoithaydoi","Universal Music Indochina Distributed Labels",2,11,35,"320768"
10,"spotify:track:27fqy8VruqYZlKiK1qfwEd","tlinh, 2pillz, Wokeupat4am","ghệ iu dấu của em ơi","Universal Music Indochina Distributed Labels",10,-1,1,"311416"
11,"spotify:track:3ukrFH17Zl6iEZ2QJ1Zwiy","RPT Orijinn, Ronboogz","Don't Côi","Rapital",3,3,8,"303515"
12,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",6,10,10,"300451"
13,"spotify:track:76zJmpyMFX49tGT3u06JaK","Đen, Cheng","Luôn yêu đời","Đen",13,-1,1,"296642"
14,"spotify:track:5YiqPAVbiFUj1G1qvbXo0X","Chillies","Giấc Mơ Khác","WM Vietnam",14,-1,1,"296463"
15,"spotify:track:4ih9noxBfg7euMjCPO0qNH","RPT MCK, Trung Trần","Chìm Sâu","CDSL",1,18,51,"286681"
16,"spotify:track:7bFFUPBiF15n8m8RziqS4o","GREY D","dự báo thời tiết hôm nay mưa","Universal Music Indochina Distributed Labels",7,16,13,"282146"
17,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",7,15,5,"275180"
18,"spotify:track:4X2iEvLVDm1Acd8Xmxw1ZC","Hoang Thuy Linh","Bo Xì Bo","Sony Music Entertainment",5,13,12,"273781"
19,"spotify:track:3wn8HJNjkY4wzTBy35ZvQ6","14 Casper, Bon Nghiêm","bao tiền một mớ bình yên?","DANDERLÉON",9,14,95,"270666"
20,"spotify:track:5iZHnufFUgATzrpGgH1K0W","T.R.I","Ánh Sao Và Bầu Trời","Yin Yang Media",1,17,67,"269515"
21,"spotify:track:2anWKmV4Je8175CHvemHV9","Kai Đinh, MIN, GREY D","để tôi ôm em bằng giai điệu này","Yin Yang Media",21,21,8,"261497"
22,"spotify:track:65FftemJ1DbbZ45DUfHJXE","NewJeans","OMG","ADOR",3,6,7,"260790"
23,"spotify:track:3r8RuvgbX9s7ammBn07D3W","NewJeans","Ditto","ADOR",1,5,9,"253057"
24,"spotify:track:5BTzf3doGTigDIYUFtbkI9","Emcee L (Da LAB), Da LAB, Badbies","Sinh Ra Đã Là Thứ Đối Lập Nhau (feat. Badbies)","Yin Yang Media",5,32,112,"246150"
25,"spotify:track:5hkAuvgkOrd4KpDOlCNsvW","MONO, Onionn.","Waiting For You","Universal Music Indochina Distributed Labels",1,19,26,"243529"
26,"spotify:track:6Hs2xIgB8nzyGFDvVA8lFa","Madihu, Low G","Có Em (feat. Low G)","NGUYEN CHI PHONG",4,20,43,"231676"
27,"spotify:track:5Odq8ohlgIbQKMZivbWkEo","Charlie Puth, Jung Kook, BTS","Left and Right (Feat. Jung Kook of BTS)","Atlantic Records",1,34,34,"228151"
28,"spotify:track:45Mswno1F7FoZkcmQkp7fi","Wren Evans","Thích Em Hơi Nhiều","Universal Music Indochina",1,26,87,"221635"
29,"spotify:track:1dUmmBh2nw8XzEI3au0uFs","Thịnh Suy","Chết Trong Em","InQ International",4,22,16,"218152"
30,"spotify:track:54UNNgtE3zzERwTuWSQLqd","MONSTAR, GREY-D","có hẹn với thanh xuân","Yin Yang Media",5,30,83,"212872"
31,"spotify:track:7AD5F85waSb3yZxZxEXhJM","Tóc Tiên, Touliver","Có Ai Thương Em Như Anh (feat. Touliver)","Yin Yang Media",31,31,37,"209745"
32,"spotify:track:0Nz6SyAceTkTy4lCDgqFJ7","Andiez, AMEE","Anh Đánh Rơi Người Yêu Này","Andiez",19,27,15,"202165"
33,"spotify:track:5ECHJ1llWBNYLVCYrllD3x","Da LAB, Phuong Ly","Chạy Khỏi Thế Giới Này","LOOPS Music",11,25,33,"199493"
34,"spotify:track:4AgFXIVT7hVhBZ5DEOaLu3","Thịnh Suy","tiny love","Yin Yang Media",3,23,63,"194870"
35,"spotify:track:7h2zqUH4bYyknNUxsYnS5V","PhucXP, Freak D","Như Anh Đã Thấy Em","DAO Entertainment",33,33,8,"189881"
36,"spotify:track:307iMiCYAKX6sUG7P4UKWt","Hoang Thuy Linh","See Tình","Sony Music Entertainment",7,48,52,"187460"
37,"spotify:track:5odlY52u43F5BjByhxg7wg","JVKE","golden hour","JVKE",6,29,19,"183790"
38,"spotify:track:5yrPkBvOBvqfSjDhoRzDlO","RPT MCK","Tại Vì Sao","CDSL",3,35,21,"183359"
39,"spotify:track:0Cy7uOfTjJrmHkNEPBBZxf","Tăng Duy Tân","Bên Trên Tầng Lầu","StarNation",1,38,33,"182311"
40,"spotify:track:5Msoarj5hk9LguTtiIyqug","Đức Phúc","Ngày Đầu Tiên","Duc Phuc",2,57,53,"179361"
41,"spotify:track:17iGUekw5nFt5mIRJcUm3R","Sơn Tùng M-TP","Chúng Ta Của Hiện Tại","M-TP Entertainment Ltd",1,28,113,"178088"
42,"spotify:track:6A1IbMKwjvXibcrU1sdqKH","MONO, Onionn.","Em Là","Universal Music Indochina Distributed Labels",8,24,23,"177370"
43,"spotify:track:5gBLuVQ6Ba7Ab6nlTROxFY","Pháo, Sterry","Kìa Bóng Dáng Ai","MIXUS",43,59,3,"176077"
44,"spotify:track:7opF2QJ8gzlxbV0eBIqszE","HIEUTHUHAI, Negav, Kewtiie","ngủ một mình","Universal Music Indochina Distributed Labels",21,37,13,"175949"
45,"spotify:track:3wUp8eCTshIrJcYbjWaoyP","Phuong Ly","ThichThich","Phuong Ly",9,43,30,"171778"
46,"spotify:track:1EmMFSLRVkOszCa4ul9z0F","W/N, Duongg, Nau, titie","3107 3","Universal Music Indochina Distributed Labels",1,41,81,"170941"
47,"spotify:track:769IjpjHNrN36SPvj2ZBKu","HIEUTHUHAI","Nghe Như Tình Yêu","Universal Music Indochina Distributed Labels",46,58,74,"168833"
48,"spotify:track:1izPmgSW7FV6XFdEOiTvOY","Changg, Minh Huy","Em Không Hiểu","Universal Music Indochina Distributed Labels",27,46,85,"166080"
49,"spotify:track:1xoadYaxtOp9gHDwgmPDuz","JSOL, Hoàng Duyên","Sài Gòn Hôm Nay Mưa","Universal Music Indochina",3,44,90,"164346"
