rank,uri,artist_names,track_name,source,peak_rank,previous_rank,weeks_on_chart,streams
1,"spotify:track:0yLdNVWF3Srea0uzk55zFn","Miley Cyrus","Flowers","Columbia",1,1,5,"253090"
2,"spotify:track:1y5eHXBYiLgNv00KoHXm4o","Soa mattrix, Mashudu, Happy Jazzman, Emotionz DJ","Mina Nawe","Soa Family",1,2,18,"233417"
3,"spotify:track:0AY3sNqV7qAdAZ8j6TRVBd","2Point1, Ntate Stunna, Nthabi Sings","Stimela","Penya Play Productions",3,3,8,"220490"
4,"spotify:track:58u8z6ia8GTm9yZlkmtCtV","Aymos, Ami Faku","Fatela","Lyf Styl Entertainment",3,4,13,"200471"
5,"spotify:track:26b3oVLrRUaaybJulow9kz","Libianca","People","5K Records Limited",5,5,9,"196672"
6,"spotify:track:6PqdJb18ssWDcROvnsEqy6","AKA, Nasty C","Lemons (Lemonade)","Sound African Recordings",2,62,22,"189232"
7,"spotify:track:1Qrg8KqiBpW07V7PNxwwwL","SZA","Kill Bill","Top Dawg Entertainment/RCA Records",5,6,10,"188234"
8,"spotify:track:3Pv1NcASIE987vF8t1VWVu","Lwah Ndlunkulu","Ngiyeza","Nkabi Records",8,9,4,"162312"
9,"spotify:track:1xs8bOvm3IzEYmcLJVOc34","Ayra Starr","Rush","Mavin Records",7,7,20,"161847"
10,"spotify:track:0WtM2NBVQNNJLh6scP13H8","Rema, Selena Gomez","Calm Down (with Selena Gomez)","Mavin Records / Jonzing World",7,10,25,"153886"
11,"spotify:track:4FEi7i9oDxDzcYbx53IHwq","Kelvin Momo, Babalwa M, Sfarzo Rtee","Sukakude","Kelvin Momo Productions",7,8,10,"152860"
12,"spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2","SZA","Snooze","Top Dawg Entertainment/RCA Records",12,17,10,"148465"
13,"spotify:track:0JXXNGljqupsJaZsgSbMZV","Miguel","Sure Thing","Jive",13,13,111,"143125"
14,"spotify:track:2dHHgzDwk4BJdRwy9uXhTO","Metro Boomin, The Weeknd, 21 Savage","Creepin' (with The Weeknd & 21 Savage)","Republic Records",2,12,11,"142501"
15,"spotify:track:3VBwoaePYGdOmG1YHgGOHi","Ice Beats Slide, Sbuda Maleather, 2woBunnies","JAGERMEISTER","Kreativekornerr",14,14,6,"137402"
16,"spotify:track:4VmIqdbPsBUMAxCf2nnLD3","AKA","Fela In Versace","Beam Group",16,-1,41,"131451"
17,"spotify:track:65NAMIdsZkxYIM5ui8SJSw","K.O, Young Stunna, Blxckie","SETE (feat. Young Stunna & Blxckie)","Sound African Recordings",1,11,26,"131255"
18,"spotify:track:5CaUga1xSORieHUwZ5urnG","AKA","Jika","Beam Group",18,-1,6,"127050"
19,"spotify:track:6AQbmUe0Qwf5PZnt4HmTXv","PinkPantheress, Ice Spice","Boy's a liar Pt. 2","Warner Records",19,137,2,"125726"
20,"spotify:track:13Z8di7Br7OsZn5GmtesIf","Pcee, Justin99, EeQue, Mr JazziQ","ZoTata (feat. Mr JazziQ)","Sound African Recordings",7,19,10,"122929"
