,track_id,artist_names,track_name_ed,lyrics
0,0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,"TranslationsEspañolPortuguêsKiswahiliDeutschItalianoСрпскиNederlandsSvenskaPolskiTürkçeΕλληνικάFrançaisDanskFlowers Lyrics
We were good, we were gold
Kinda dream that can't be sold
We were right 'til we weren't
Built a home and watched it burn

Mm, I didn't wanna leave you, I didn't wanna lie
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours
Say things you don't understand
I can take myself dancing
And I can hold my own hand
Yeah, I can love me better than you can
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby

Paint my nails cherry-red
Match the roses that you left
No remorse, no regret
I forgive every word you said

Ooh, I didn't wanna leave you, baby, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers
Write my name in the sand
Talk to myself for hours, yeah
Say things you don't understand
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than you can

Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I can love me better, baby
Can love me better, I (Ooh, I)
You might also like
I didn't wanna leave you, I didn't wanna fight
Started to cry, but then remembered I

I can buy myself flowers (Uh-huh)
Write my name in the sand
Talk to myself for hours (Yeah)
Say things you don't understand (Better than you)
I can take myself dancing, yeah
I can hold my own hand
Yeah, I can love me better than
Yeah, I can love me better than you can

Can love me better, I can love me better, baby (Uh)
Can love me better, I can love me better, baby (Than you can)
Can love me better, I can love me better, baby
Can love me better, I32Embed"
1,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,"TranslationsEspañolPortuguêsItalianoTürkçeDeutschNederlands日本語සිංහලKill Bill Lyrics
I'm still a fan even though I was salty
Hate to see you with some other broad, know you happy
Hate to see you happy if I'm not the one drivin'

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one should, I might
I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone

I get the sense that it's a lost cause
I get the sense that you might really love her
The text gon' be evidence, this text is evidence
I try to ration with you, no murders, no crime of passion
But, damn, you was out of reach
You was at the farmer's market with your perfect peach
Now I'm in amazement, playin' on my patience
Now you layin' face-down, got me singin' over a beat

I'm so mature, I'm so mature
I'm so mature, I got me a therapist to tell me there's other men
I don't want none, I just want you
If I can't have you, no one will, I (I might)

I might kill my ex, not the best idea
His new girlfriend's next, how'd I get here?
I might kill my ex, I still love him, though
Rather be in jail than alone
See SZA LiveGet tickets as low as $109You might also like
I did it all for love (Love)
I did it all on no drugs (Drugs)
I did all of this sober
I did it all for us, oh
I did it all for love (Love)
I did all of this on no drugs (Drugs)
I did all of this sober
Don't you know I did it all for us? (I'm gon' kill your ass tonight)

Oh, I just killed my ex, not the best idea (Idea)
Killed his girlfriend next, how'd I get here?
I just killed my ex, I still love him, though (I do)
Rather be in hell than alone66Embed"
2,6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,"TranslationsPortuguêsTürkçeBoy’s a liar Pt. 2 Lyrics
Take a look inside your heart
Is there any room for me (Is there any room for me?)
I won't have to hold my breath
Till you get down on one knee (Till you get down on one knee)
Because you only want to hold me
When I'm looking good enough (When I'm looking good enough)
Did you ever feel me?
Would you ever picture us? (Would you ever picture us?)

Every time I pull my hair
Well, it's only out of fear (Only out of fear)
That you'll find me ugly
And one day you'll disappear because
What's the point of crying?
It was nеver even lovе (It was never even love)
Did you ever want me?
Was I ever good enough? (Ever good enough?)
The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy

Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough

He say that I'm good enough, grabbin' my duh-duh-duh
Thinkin' 'bout shit that I shouldn't have (Huh)
So I tell him there's one of me, he makin' fun of me (Ha-ha)
His girl is a bum to me (Grrah)
Like that boy is a cap
Sayin' he home, but I know where he at, like
Bet he blowin' her back
Thinkin' 'bout me 'cause he know that ass fat (Damn)
And it been what it been (Huh)
Callin' his phone like, ""Yo, send me a pin""
Duckin' my shit, 'cause he know what I'm on (Grrah)
But when he hit me I'm not gon' respond (Grrah)
But I don't sleep enough without you
And I can't eat enough without you (Huh)
If you don't speak, does that mean we're through? (Huh)
Don't like sneaky shit that you do (Grrah)
You might also like
The-the boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy
The boy's a liar, the boy's a liar
He doesn't see ya, you're not looking at me, boy

Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough
Good eno-o-ough, good eno-o-ough8Embed"
3,0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down,"TranslationsPortuguêsCalm Down (Remix) Lyrics
Vibez
Oh, no
Another banger

Baby, calm down, calm down
Girl, this your body e put in my heart for lockdown, for lockdown, oh, lockdown
Girl, you sweet like Fanta, ooh, Fanta, ooh
If I tell you say, ""I love you"", you no dey form yanga-oh, oh, yanga-oh
No, tell me no, no, no, no, woah, woah, woah, woah
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-love
You got me like woah-woah-woah-woah-woah-woah-woah-woah-woah
Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-love, hmm
I see this fine girl, for my party, she wear yellow
Every other girl they dey do too much, but this girl mellow
Naim, I dey find situation, I go use take tell am ""Hello""
Finally, I find way to talk to the girl, but she no wan' follow
Who you come dey form for? Woah (Mhmm)
Why you no wan' conform? Woah (Mhmm)
Then I start to feel her bum-bum, woah (Mhmm)
But she dey gimme small, small, woah
I know say shе sabi pass that one, one (Mhmm)
But she feeling insеcure, woah
'Cause her friends go dey gum her like chewing gum, woah (Mhmm)
Go dey gum her like chewing gum, oh-woah

Yeah, I know I look shy but for you I get down, oh, woah
And my hips make you cry when I'm moving around you (Yeah)
Do it once, do it twice (Do it twice)
I push back, you hold me tight
Get a taste for a night

Baby, show me you can calm down, calm down
Dance with me and take the lead now, lead now (Lead now)
Got you so high that you can't come down, come down
Don't you ask, you know you're allowed, allowed (Oh, no)
When it's you, I can't say no-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh
Baby, give me lo-lo-lo-lo-lo-lo-lo-lo-love
You got me like woah-woah-woah-woah-woah-woah-woah-woah-woah
Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-love, mm-hmm
You might also like
As I reach my house, I say make a rest small, oh-woah (Make a rest small, oh-woah)
As me I wake up na she dey my mind, oh-woah (Na she dey my mind, oh-woah)
Day one, day two-wo, I no fit foc-o-us (I no fit focus)
Na so me I call am, say ""Make we link up"", oh-woah (I say make we link up, oh-woah)
Got my hand on your heart, now, I can feel it race
If I leave then you say you can never love again
Wanna give you it all but can't promise that I'll stay
And that's the risk you take (You take)

Baby, calm down, calm down
Girl, this your body e put in my heart for lockdown, for lockdown, oh, lockdown
Girl, you sweet like Fanta, ooh, Fanta, ooh
If I tell you say, ""I love you"", you no dey form yanga, oh, oh, yanga, oh
No tell me no, no, no, no, woah, woah, woah, woah
Oh-oh-oh-oh-oh-oh-oh-oh-oh-oh-oh (Your love, your love)
Baby, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-love
You got me like woah-woah-woah-woah-woah-woah-woah-woah-woah
Shawty, come gimme your lo-lo-lo-lo-lo-lo-lo-lo-love (Oh, woah), hmm

Your love3Embed"
4,2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin',"TranslationsPortuguêsEspañolTürkçeفارسیCreepin’ Lyrics
Ooh, ooh-ooh
Ooh-ooh-ooh, ooh, ooh-ooh (Just can't believe this, man)
(Metro Boomin want some more, nigga)
Somebody said they saw you
The person you were kissing wasn't me
And I would never ask you
I just kept it to myself
I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please, don't let it show
Oh, baby, I don't wanna know
Oh-oh, oh-oh, ooh-woah
Oh-oh, oh-oh, oh-oh

Oh, yeah
I think about it when I hold you
When lookin' in your eyes, I can't believe
And I don't need to know the truth
Baby, keep it to yourself

I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please, don't let it show
Oh, baby, I don't wanna know

Did he touch you better than me? (Touch you better than me)
Did he watch you fall asleep? (Watch you fall asleep)
Did you show him all those things, that you used to do to me?
If you're better off that way (Better off that way)
There ain't more that I can say (More that I can say)
Just go on and do your thing and don't come back to me
Ooh, ooh-ooh
Ooh-ooh-ooh, ooh-ooh, ooh-ooh
You might also like
Woah, woah, woah, 21
Had me crushin', I was cuffin' like the precinct
How you go from housewife to a sneaky link?
Got you riding 'round in all type of Benzes and Rovers
Girl, you used to ride in the rinky dink
I'm the one put you in Eliantte (On God)
Fashion Nova model, I put you on the runway (On God)
You was rockin' Coach bags, got you Chane'-ne'
Side bitch in Frisco, I call her my Bay-bae (21)
I got a girl but I still feel alone (On God)
If you playin' me that mean my home ain't home (On God)
Havin' nightmares of goin' through your phone (21)
Can't even record, you got me out my zone

I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please, don't let it show
Oh, baby, I don't wanna know
If you're playin' me, keep it on the low
'Cause my heart can't take it anymore
And if you're creepin', please, don't let it show
Oh, baby, I don't wanna know
If you creepin', just don't let me find out (On God)
Get a hotel, never bring 'em to the house (On God)
If you're better off that way
Baby, all that I can say
If you're gonna do your thing then don't come back to me33Embed"
5,5mHdCZtVyb4DcJw8799hZp,"RAYE, 070 Shake",Escapism.,"TranslationsTürkçeEspañolPortuguêsEscapism. Lyrics
Sleazin' and teasin', I'm sittin' on him
All of my diamonds are drippin' on him
I met him at the bar, it was twelve or something
I ordered two more wines 'cause tonight, I want him

A little context if you care to listen
I find myself in a shit position
The man that I love sat me down last night
And he told me that it's over, dumb decision
And I don't wanna feel how my heart is rippin'
In fact, I don't wanna feel, so I stick to sippin'
And I'm out on the town with a simple mission
In my little black dress and this shit is sittin'
Just a heart broke bitch, high heels six inch
In the back of the nightclub, sippin' champagne
I don't trust any of these bitches I'm with
In the back of the taxi sniffin' cocaine
Drunk calls, drunk texts, drunk tears, drunk sex
I was lookin' for a man who was on the same page
Now it's back to the intro, back to the bar
To the Bentley, to the hotel, to my old ways

'Cause I don't wanna feel how I did last night
I don't wanna feel how I did last night
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
Take this pain away
You're askin' me my symptoms, doctor, I don't wanna feel

Toke this joint how I'm blowin' this steam
Back to my ways like 2019
Not twenty-four hours since my ex did dead it
I got a new man on me, it's about to get sweaty
Last night really was the cherry on the cake
Been some dark days lately and I'm findin' it cripplin'
Excuse my state, I'm as high as your hopes
That you'll make it to my bed, get me hot and sizzlin'
If I take a step back to see the glass half-full
At least it's the Prada two-piece that I'm trippin' in
And I'm already actin' like a dick, know what I mean?
So you might as well stick it in
You might also like
Just a heart broke bitch, high heels six inch
In the back of the nightclub, sippin' champagne
I don't trust any of these bitches I'm with
In the back of the taxi sniffin' cocaine
Drunk calls, drunk texts, drunk tears, drunk sex
I was lookin' for a man who was on the same page
Now it's back to the intro, back to the bar
To the Bentley, to the hotel, to my old ways

'Cause I don't wanna feel how I did last night
I don't wanna feel how I did last night
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
Take this pain away
You're askin' me my symptoms, doctor, I don't wanna feel, mm (What?)

'Cause I don't wanna feel like I felt last night
I don't wanna feel like I felt last night
Be at peace with the things you can't change (Last night)
I'll be naked when I leave and I was naked when I came, yeah
Out of reach, out of touch
Too numb, I don't feel no way
Toast up, so what?
Street small, but it go both ways
So, you'll run, yeah
But you'll never escape
Sunset in the maze
(You're askin' me my symptoms, doctor, I don't wanna feel)
I don't wanna feel how I did last night
I don't wanna feel how I did last night, oh
Doctor, doctor, anything, please
Doctor, doctor, have mercy on me
You're askin' me my symptoms, doctor, I don't wanna feel

I don't wanna feel how I did last night
I don't wanna feel how I did last night
I don't wanna feel how I did last night

Mm, lipstick smudged like modern art
I don't know where the fuck I am or who's drivin' the fuckin' car
Speedin' down the highway, sippin'
Mixin' pills with the liquor 'cah fuck these feelings
I left everyone I love on read (Uh-huh)
Spilling secrets to the stranger in my bed (Uh-huh)
I remember nothing so there's nothing to regret (Uh-uh)
Other than this 4/4 kick drum poundin' in my head15Embed"
6,3l6K9SW5VFJyA5jBtioFFt,3GAR BABY,HUSTLE NA MUST,None
7,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,"TranslationsTürkçeEspañolPortuguês日本語ItalianoΕλληνικάDeutschFrançaisEnglishEnglishNederlandsShqipPolski한국어As It Was Lyrics
Come on, Harry, we wanna say goodnight to you

Holdin' me back
Gravity's holdin' me back
I want you to hold out the palm of your hand
Why don't we leave it at that?
Nothin' to say
When everything gets in the way
Seems you cannot be replaced
And I'm the one who will stay, oh-oh-oh
In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same

Answer the phone
""Harry, you're no good alone
Why are you sitting at home on the floor?
What kind of pills are you on?""
Ringin' the bell
And nobody's coming to help
Your daddy lives by himself
He just wants to know that you're well, oh-oh-oh

In this world, it's just us
You know it's not the same as it was
In this world, it's just us
You know it's not the same as it was
As it was, as it was
You know it's not the same
See Harry Styles LiveGet tickets as low as $55You might also like
Go home, get ahead, light-speed internet
I don't wanna talk about the way that it was
Leave America, two kids follow her
I don't wanna talk about who's doin' it first

(Hey)
As it was
You know it's not the same as it was
As it was, as it was184Embed"
8,0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy,"TranslationsFrançaisEspañolNederlandsDeutschالعربيةPolskiPortuguêsUnholy Lyrics
Mummy don't know Daddy's getting hot
At the Body Shop
Doing something unholy
He like it, like it, yeah (Ooh)
He like it, like it, yeah (Yeah, yeah)
He like it, like it, yeah (Uh)
He like it, like it, yeah

A lucky, lucky girl
She got married to a boy like you
She'd kick you out if she ever, ever knew
'Bout all the **** you tell me that you do
Dirty, dirty boy
You know everyone is talkin' on the scene
I hear them whisperin' 'bout the places that you've been
And how you don't know how to keep your business clean
Mummy don't know Daddy's getting hot
At the Body Shop
Doin' something unholy
He's sat back while she's droppin' it
She be poppin' it
Yeah, she put it down slowly
Oh-ee-oh-ee-oh, he left his kids at
Ho-ee-oh-ee-ome so he can get that
Mummy don't know Daddy's getting hot
At the Body Shop
Doin' something unholy (Woo)

Mm, daddy, daddy, if you want it, drop the addy (Yeah, yeah)
Give me love, give me Fendi, my Balenciaga daddy
You gon' need to bag it up 'cause I'm spendin' on Rodeo (Woo)
You can watch me back it up, I'll be gone in the A.M. (Yeah)
And he, he get me Prada, get me Miu Miu like Rihanna (Ah)
He always call me 'cause I never cause no drama (Drama)
And when you want it, baby, I know I got you covered (Yeah, yeah)
And when you need it, baby, just jump under the covers (Yeah)

Mummy don't know Daddy's getting hot (Hot)
At the Body Shop (Shop)
Doin' something unholy
He's sat back while she's droppin' it (She)
She be poppin' it (She)
Yeah, she put it down slowly
Oh-ee-oh-ee-oh, he left his kids at
Ho-ee-oh-ee-ome so he can get that
Mummy don't know Daddy's getting hot (Unholy)
At the Body Shop (Ah)
Doin' something unholy (Unholy)
You might also like
Oh-oh, oh-ee-oh-ee, ee-oh (Unholy)
Oh-oh, oh-ee-oh-ee, ee-oh (Unholy)
Oh-oh, oh-ee-oh-ee, ee-oh (Yeah, yeah)
Oh-oh, oh-ee-oh-ee, ee-oh42Embed"
9,2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,"TranslationsPortuguêsفارسیTürkçeEspañolDie for You Lyrics
I'm findin' ways to articulate the feelin' I'm goin' through
I just can't say I don't love you (Yeah)
'Cause I love you, yeah
It's hard for me to communicate the thoughts that I hold
But tonight, I'm gon' let you know
Let me tell the truth
Baby, let me tell the truth, yeah

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
You're scared to be lonely, 'specially in the night
I'm scared that I'll miss you, happens every time
I don't want this feelin', I can't afford love
I try to find a reason to pull us apart
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah (Say)

I'm findin' ways to manipulate the feelin' you're goin' through
But, baby girl, I'm not blamin' you
Just don't blame me, too, yeah
'Cause I can't take this pain forever
And you won't find no one that's better
'Cause I'm right for you, babe
I think I'm right for you, babe

You know what I'm thinkin', see it in your eyes
You hate that you want me, hate it when you cry
It ain't workin' 'cause you're perfect
And I know that you're worth it
I can't walk away, oh
See The Weeknd LiveGet tickets as low as $83You might also like
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you, uh
Baby, I would die for you, yeah

I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
I'm just sayin', yeah
I would die for you, I would lie for you
Keep it real with you, I would kill for you, my baby
Na-na-na, na-na-na, na-na-na
Even though we're goin' through it
And it makes you feel alone
Just know that I would die for you
Baby, I would die for you, yeah
The distance and the time between us
It'll never change my mind 'cause
Baby, I would die for you
Baby, I would die for you, yeah (Oh, babe)
(Die for you)186Embed"
