,track_id,artist_names,track_name,source,rank,peak_rank,previous_rank,weeks_on_chart,streams,country,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,album_release_date,lyrics
0,0yLdNVWF3Srea0uzk55zFn,Miley Cyrus,Flowers,Columbia,1,1,1,5,124198,UAE,0yLdNVWF3Srea0uzk55zFn,0.707,0.681,0,-4.325,1,0.0668,0.0632,5.15e-06,0.0322,0.646,117.999,200455,4,2023-01-13,we were good we were gold kinda dream that cant be sold we were right til we werent built a home and watched it burn mm i didnt wanna leave you i didnt wanna lie started to cry but then remembered i i can buy myself flowers write my name in the sand talk to myself for hours say things you dont understand i can take myself dancing and i can hold my own hand yeah i can love me better than you can can love me better i can love me better baby can love me better i can love me better baby paint my nails cherryred match the roses that you left no remorse no regret i forgive every word you said ooh i didnt wanna leave you baby i didnt wanna fight started to cry but then remembered i i can buy myself flowers write my name in the sand talk to myself for hours yeah say things you dont understand i can take myself dancing yeah i can hold my own hand yeah i can love me better than you can can love me better i can love me better baby can love me better i can love me better baby can love me better i can love me better baby can love me better i ooh i you might also like i didnt wanna leave you i didnt wanna fight started to cry but then remembered i i can buy myself flowers uhhuh write my name in the sand talk to myself for hours yeah say things you dont understand better than you i can take myself dancing yeah i can hold my own hand yeah i can love me better than yeah i can love me better than you can can love me better i can love me better baby uh can love me better i can love me better baby than you can can love me better i can love me better baby can love me better
1,1Qrg8KqiBpW07V7PNxwwwL,SZA,Kill Bill,Top Dawg Entertainment/RCA Records,2,1,2,10,106927,UAE,1Qrg8KqiBpW07V7PNxwwwL,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,88.98,153947,4,2022-12-08,im still a fan even though i was salty hate to see you with some other broad know you happy hate to see you happy if im not the one drivin im so mature im so mature im so mature i got me a therapist to tell me theres other men i dont want none i just want you if i cant have you no one should i might i might kill my ex not the best idea his new girlfriends next howd i get here i might kill my ex i still love him though rather be in jail than alone i get the sense that its a lost cause i get the sense that you might really love her the text gon be evidence this text is evidence i try to ration with you no murders no crime of passion but damn you was out of reach you was at the farmers market with your perfect peach now im in amazement playin on my patience now you layin facedown got me singin over a beat see sza liveget tickets as low as 184you might also like im so mature im so mature im so mature i got me a therapist to tell me theres other men i dont want none i just want you if i cant have you no one will i i might i might kill my ex not the best idea his new girlfriends next howd i get here i might kill my ex i still love him though rather be in jail than alone i did it all for love love i did it all on no drugs drugs i did all of this sober i did it all for us oh i did it all for love love i did all of this on no drugs drugs i did all of this sober dont you know i did it all for us im gon kill your ass tonight oh i just killed my ex not the best idea idea killed his girlfriend next howd i get here i just killed my ex i still love him though i do rather be in hell than alone64
2,6AQbmUe0Qwf5PZnt4HmTXv,"PinkPantheress, Ice Spice",Boy's a liar Pt. 2,Warner Records,3,3,59,2,83627,UAE,6AQbmUe0Qwf5PZnt4HmTXv,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,132.962,131013,4,2023-02-03,take a look inside your heart is there any room for me is there any room for me i wont have to hold my breath till you get down on one knee till you get down on one knee because you only want to hold me when im looking good enough when im looking good enough did you ever feel me would you ever picture us would you ever picture us every time i pull my hair well its only out of fear only out of fear that youll find me ugly and one day youll disappear because whats the point of crying it was nеver even lovе it was never even love did you ever want me was i ever good enough ever good enough thethe boys a liar the boys a liar he doesnt see ya youre not looking at me boy the boys a liar the boys a liar he doesnt see ya youre not looking at me boy good enooough good enooough good enooough good enooough good enooough good enooough good enooough good enooough he say that im good enough grabbin my duhduhduh thinkin bout shit that i shouldnt have huh so i tell him theres one of me he makin fun of me haha his girl is a bum to me grrah like that boy is a cap sayin he home but i know where he at like bet he blowin her back thinkin bout me cause he know that ass fat damn and it been what it been huh callin his phone like yo send me a pin duckin my shit cause he know what im on grrah but when he hit me im not gon respond grrah but i dont sleep enough without you and i cant eat enough without you huh if you dont speak does that mean were through huh dont like sneaky shit that you do grrah you might also like thethe boys a liar the boys a liar he doesnt see ya youre not looking at me boy the boys a liar the boys a liar he doesnt see ya youre not looking at me boy good enooough good enooough good enooough good enooough good enooough good enooough good enooough good enooough6
3,0WtM2NBVQNNJLh6scP13H8,"Rema, Selena Gomez",Calm Down (with Selena Gomez),Mavin Records / Jonzing World,4,2,4,25,79714,UAE,0WtM2NBVQNNJLh6scP13H8,0.801,0.806,11,-5.206,1,0.0381,0.382,0.000669,0.114,0.802,106.999,239318,4,2022-08-25,vibez oh no another banger baby calm down calm down girl this your body e put in my heart for lockdown for lockdown oh lockdown girl you sweet like fanta ooh fanta ooh if i tell you say i love you you no dey form yangaoh oh yangaoh no tell me no no no no woah woah woah woah ohohohohohohohohohohoh baby come gimme your lololololololololove you got me like woahwoahwoahwoahwoahwoahwoahwoahwoah shawty come gimme your lololololololololove hmm i see this fine girl for my party she wear yellow every other girl they dey do too much but this girl mellow naim i dey find situation i go use take tell am hello finally i find way to talk to the girl but she no wan follow who you come dey form for woah mhmm why you no wan conform woah mhmm then i start to feel her bumbum woah mhmm but she dey gimme small small woah i know say shе sabi pass that one one mhmm but she feeling insеcure woah cause her friends go dey gum her like chewing gum woah mhmm go dey gum her like chewing gum ohwoah yeah i know i look shy but for you i get down oh woah and my hips make you cry when im moving around you yeah do it once do it twice do it twice i push back you hold me tight get a taste for a night baby show me you can calm down calm down dance with me and take the lead now lead now lead now got you so high that you cant come down come down dont you ask you know youre allowed allowed oh no when its you i cant say noohohohohohohohohohoh baby give me lololololololololove you got me like woahwoahwoahwoahwoahwoahwoahwoahwoah shawty come gimme your lololololololololove mmhmm you might also like as i reach my house i say make a rest small ohwoah make a rest small ohwoah as me i wake up na she dey my mind ohwoah na she dey my mind ohwoah day one day twowo i no fit focous i no fit focus na so me i call am say make we link up ohwoah i say make we link up ohwoah got my hand on your heart now i can feel it race if i leave then you say you can never love again wanna give you it all but cant promise that ill stay and thats the risk you take you take baby calm down calm down girl this your body e put in my heart for lockdown for lockdown oh lockdown girl you sweet like fanta ooh fanta ooh if i tell you say i love you you no dey form yanga oh oh yanga oh no tell me no no no no woah woah woah woah ohohohohohohohohohohoh your love your love baby come gimme your lololololololololove you got me like woahwoahwoahwoahwoahwoahwoahwoahwoah shawty come gimme your lololololololololove oh woah hmm your love3
4,2dHHgzDwk4BJdRwy9uXhTO,"Metro Boomin, The Weeknd, 21 Savage",Creepin' (with The Weeknd & 21 Savage),Republic Records,5,1,3,11,79488,UAE,2dHHgzDwk4BJdRwy9uXhTO,0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,97.95,221520,4,2022-12-02,ooh oohooh oohoohooh ooh oohooh just cant believe this man metro boomin want some more nigga somebody said they saw you the person you were kissing wasnt me and i would never ask you i just kept it to myself i dont wanna know if youre playin me keep it on the low cause my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna know ohoh ohoh oohwoah ohoh ohoh ohoh oh yeah i think about it when i hold you when lookin in your eyes i cant believe and i dont need to know the truth baby keep it to yourself i dont wanna know if youre playin me keep it on the low cause my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna know did he touch you better than me touch you better than me did he watch you fall asleep watch you fall asleep did you show him all those things that you used to do to me if youre better off that way better off that way there aint more that i can say more that i can say just go on and do your thing and dont come back to me ooh oohooh oohoohooh oohooh oohooh you might also like woah woah woah 21 had me crushin i was cuffin like the precinct how you go from housewife to a sneaky link got you riding round in all type of benzes and rovers girl you used to ride in the rinky dink im the one put you in eliantte on god fashion nova model i put you on the runway on god you was rockin coach bags got you chanene side bitch in frisco i call her my baybae 21 i got a girl but i still feel alone on god if you playin me that mean my home aint home on god havin nightmares of goin through your phone 21 cant even record you got me out my zone i dont wanna know if youre playin me keep it on the low cause my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna know if youre playin me keep it on the low cause my heart cant take it anymore and if youre creepin please dont let it show oh baby i dont wanna know if you creepin just dont let me find out on god get a hotel never bring em to the house on god if youre better off that way baby all that i can say if youre gonna do your thing then dont come back to me33
5,5mHdCZtVyb4DcJw8799hZp,"RAYE, 070 Shake",Escapism.,Human Re Sources,6,5,6,12,63718,UAE,5mHdCZtVyb4DcJw8799hZp,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,272373,4,2023-02-03,sleazin and teasin im sittin on him all of my diamonds are drippin on him i met him at the bar it was twelve or something i ordered two more wines cause tonight i want him a little context if you care to listen i find myself in a shit position the man that i love sat me down last night and he told me that its over dumb decision and i dont wanna feel how my heart is rippin in fact i dont wanna feel so i stick to sippin and im out on the town with a simple mission in my little black dress and this shit is sittin just a heart broke bitch high heels six inch in the back of the nightclub sippin champagne i dont trust any of these bitches im with in the back of the taxi sniffin cocaine drunk calls drunk texts drunk tears drunk sex i was lookin for a man who was on the same page now its back to the intro back to the bar to the bentley to the hotel to my old ways cause i dont wanna feel how i did last night i dont wanna feel how i did last night doctor doctor anything please doctor doctor have mercy on me take this pain away youre askin me my symptoms doctor i dont wanna feel toke this joint how im blowin this steam back to my ways like 2019 not twentyfour hours since my ex did dead it i got a new man on me its about to get sweaty last night really was the cherry on the cake been some dark days lately and im findin it cripplin excuse my state im as high as your hopes that youll make it to my bed get me hot and sizzlin if i take a step back to see the glass halffull at least its the prada twopiece that im trippin in and im already actin like a dick know what i mean so you might as well stick it in you might also like just a heart broke bitch high heels six inch in the back of the nightclub sippin champagne i dont trust any of these bitches im with in the back of the taxi sniffin cocaine drunk calls drunk texts drunk tears drunk sex i was lookin for a man who was on the same page now its back to the intro back to the bar to the bentley to the hotel to my old ways cause i dont wanna feel how i did last night i dont wanna feel how i did last night doctor doctor anything please doctor doctor have mercy on me take this pain away youre askin me my symptoms doctor i dont wanna feel mm what cause i dont wanna feel like i felt last night i dont wanna feel like i felt last night be at peace with the things you cant change last night ill be naked when i leave and i was naked when i came yeah out of reach out of touch too numb i dont feel no way toast up so what street small but it go both ways so youll run yeah but youll never escape sunset in the maze youre askin me my symptoms doctor i dont wanna feel i dont wanna feel how i did last night i dont wanna feel how i did last night oh doctor doctor anything please doctor doctor have mercy on me youre askin me my symptoms doctor i dont wanna feel i dont wanna feel how i did last night i dont wanna feel how i did last night i dont wanna feel how i did last night mm lipstick smudged like modern art i dont know where the fuck i am or whos drivin the fuckin car speedin down the highway sippin mixin pills with the liquor cah fuck these feelings i left everyone i love on read uhhuh spilling secrets to the stranger in my bed uhhuh i remember nothing so theres nothing to regret uhuh other than this 44 kick drum poundin in my head15
6,3l6K9SW5VFJyA5jBtioFFt,3GAR BABY,HUSTLE NA MUST,TGFG ENTERTAINMENT,7,7,-1,1,60525,UAE,3l6K9SW5VFJyA5jBtioFFt,0.735,0.648,3,-7.862,1,0.044,0.1,0.0135,0.161,0.865,104.996,152040,4,2023-02-10,none
7,4Dvkj6JhhA12EX05fT7y2e,Harry Styles,As It Was,Columbia,8,1,7,46,59032,UAE,4Dvkj6JhhA12EX05fT7y2e,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,173.93,167303,4,2022-05-20,come on harry we wanna say goodnight to you holdin me back gravitys holdin me back i want you to hold out the palm of your hand why dont we leave it at that nothin to say when everything gets in the way seems you cannot be replaced and im the one who will stay ohohoh in this world its just us you know its not the same as it was in this world its just us you know its not the same as it was as it was as it was you know its not the same answer the phone harry youre no good alone why are you sitting at home on the floor what kind of pills are you on ringin the bell and nobodys coming to help your daddy lives by himself he just wants to know that youre well ohohoh in this world its just us you know its not the same as it was in this world its just us you know its not the same as it was as it was as it was you know its not the same see harry styles liveget tickets as low as 55you might also like go home get ahead lightspeed internet i dont wanna talk about the way that it was leave america two kids follow her i dont wanna talk about whos doin it first hey as it was you know its not the same as it was as it was as it was184
8,0NZPBYD5qbEWRs3PrGiRkT,"Sam Smith, Kim Petras",Unholy (feat. Kim Petras),EMI,9,1,5,21,58257,UAE,0NZPBYD5qbEWRs3PrGiRkT,0.712,0.463,2,-7.399,1,0.0797,0.011,2.96e-06,0.301,0.206,131.199,156943,4,2023-01-27,mummy dont know daddys getting hot at the body shop doing something unholy he like it like it yeah ooh he like it like it yeah yeah yeah he like it like it yeah uh he like it like it yeah a lucky lucky girl she got married to a boy like you shed kick you out if she ever ever knew bout all the  you tell me that you do dirty dirty boy you know everyone is talkin on the scene i hear them whisperin bout the places that youve been and how you dont know how to keep your business clean mummy dont know daddys getting hot at the body shop doin something unholy hes sat back while shes droppin it she be poppin it yeah she put it down slowly oheeoheeoh he left his kids at hoeeoheeome so he can get that mummy dont know daddys getting hot at the body shop doin something unholy woo mm daddy daddy if you want it drop the addy yeah yeah give me love give me fendi my balenciaga daddy you gon need to bag it up cause im spendin on rodeo woo you can watch me back it up ill be gone in the am yeah and he he get me prada get me miu miu like rihanna ah he always call me cause i never cause no drama drama and when you want it baby i know i got you covered yeah yeah and when you need it baby just jump under the covers yeah mummy dont know daddys getting hot hot at the body shop shop doin something unholy hes sat back while shes droppin it she she be poppin it she yeah she put it down slowly oheeoheeoh he left his kids at hoeeoheeome so he can get that mummy dont know daddys getting hot unholy at the body shop ah doin something unholy unholy you might also like ohoh oheeohee eeoh unholy ohoh oheeohee eeoh unholy ohoh oheeohee eeoh yeah yeah ohoh oheeohee eeoh42
9,2LBqCSwhJGcFQeTHMVGwy3,The Weeknd,Die For You,Universal Republic Records,10,10,10,75,47326,UAE,2LBqCSwhJGcFQeTHMVGwy3,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,133.629,260253,4,2016-11-24,im findin ways to articulate the feelin im goin through i just cant say i dont love you yeah cause i love you yeah its hard for me to communicate the thoughts that i hold but tonight im gon let you know let me tell the truth baby let me tell the truth yeah you know what im thinkin see it in your eyes you hate that you want me hate it when you cry youre scared to be lonely specially in the night im scared that ill miss you happens every time i dont want this feelin i cant afford love i try to find a reason to pull us apart it aint workin cause youre perfect and i know that youre worth it i cant walk away oh even though were goin through it and it makes you feel alone just know that i would die for you baby i would die for you yeah the distance and the time between us itll never change my mind cause baby i would die for you baby i would die for you yeah say im findin ways to manipulate the feelin youre goin through but baby girl im not blamin you just dont blame me too yeah cause i cant take this pain forever and you wont find no one thats better cause im right for you babe i think im right for you babe you know what im thinkin see it in your eyes you hate that you want me hate it when you cry it aint workin cause youre perfect and i know that youre worth it i cant walk away oh see the weeknd liveget tickets as low as 58you might also like even though were goin through it and it makes you feel alone just know that i would die for you baby i would die for you yeah the distance and the time between us itll never change my mind cause baby i would die for you uh baby i would die for you yeah i would die for you i would lie for you keep it real with you i would kill for you my baby im just sayin yeah i would die for you i would lie for you keep it real with you i would kill for you my baby nanana nanana nanana even though were goin through it and it makes you feel alone just know that i would die for you baby i would die for you yeah the distance and the time between us itll never change my mind cause baby i would die for you baby i would die for you yeah oh babe die for you186
